,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time
0,produces,0.06,0.5,0.44,0.02,0,8,0.055,0.3378041537143436,0.020000000000000018,0.28
1,a,0.52,0.56,0.04,0.0599999999999999,0,1,0.04,0.1935604480664917,0.05999999999999994,0.54
2,certain,0.62,0.88,0.26,0.04,0,7,0.037142857142857144,0.392436904142702,0.040000000000000036,0.75
3,model,0.92,1.2,0.2799999999999999,0.0,0,5,0.05599999999999998,0.5213440304815639,0.0,1.06
4,of,1.2,1.24,0.04,0.06,0,2,0.02,0.1474713571494164,0.06000000000000005,1.22
5,car,1.3,1.56,0.26,0.02,0,3,0.08666666666666667,0.3426398885137818,0.020000000000000018,1.4300000000000002
6,out,1.58,1.68,0.0999999999999998,0.02,0,3,0.033333333333333263,0.2340670933881461,0.020000000000000018,1.63
7,the,1.7,1.76,0.06,0.04,0,3,0.02,0.1389055012592606,0.040000000000000036,1.73
8,sam,1.8,2.04,0.24,0.04,0,3,0.08,0.2256050531002776,0.040000000000000036,1.92
9,doesn't,2.08,2.3,0.2199999999999997,0.06,0,7,0.03142857142857138,0.2006892767552491,0.06000000000000005,2.19
10,step,2.36,2.58,0.2200000000000002,0.06,0,4,0.05500000000000005,0.248072807135992,0.06000000000000005,2.4699999999999998
11,in,2.64,2.7,0.06,0.04,0,2,0.03,0.3496069490932417,0.040000000000000036,2.67
12,and,2.74,2.78,0.0399999999999995,0.06,0,3,0.013333333333333168,0.1872209887680254,0.06000000000000005,2.76
13,buy,2.84,3.04,0.2000000000000001,0.04,0,3,0.0666666666666667,0.2968583325078424,0.040000000000000036,2.94
14,up,3.08,3.16,0.08,0.04,0,2,0.04,0.1178159410850926,0.040000000000000036,3.12
15,the,3.2,3.26,0.0599999999999996,0.04,0,3,0.01999999999999987,0.0064833648069149,0.040000000000000036,3.23
16,surplus,3.3,3.76,0.4599999999999999,0.3399999999999998,0,7,0.0657142857142857,0.13550504023345,0.33999999999999986,3.53
17,why,4.1,4.26,0.1600000000000001,0.04,0,3,0.053333333333333365,0.3643542324832933,0.040000000000000036,4.18
18,this,4.3,4.44,0.1400000000000005,0.0599999999999996,0,4,0.03500000000000013,0.2921843819680896,0.05999999999999961,4.37
19,constant,4.5,4.94,0.4400000000000004,0.1399999999999996,0,8,0.05500000000000005,0.1852343487232478,0.13999999999999968,4.720000000000001
20,courting,5.08,5.44,0.3600000000000003,0.0199999999999995,0,8,0.04500000000000004,0.351142692512868,0.019999999999999574,5.26
21,of,5.46,5.52,0.0599999999999996,0.0200000000000004,0,2,0.0299999999999998,0.1362709772979442,0.020000000000000462,5.49
22,the,5.54,5.58,0.04,0.0599999999999996,0,3,0.013333333333333334,0.2481684497335105,0.05999999999999961,5.5600000000000005
23,farmer,5.64,6.0,0.3600000000000003,0.4400000000000004,0,6,0.06000000000000005,0.1449147641934855,0.4400000000000004,5.82
24,well,6.44,6.6,0.1599999999999992,0.04,1,4,0.0399999999999998,0.349470388478419,0.040000000000000036,6.52
25,because,6.64,7.0,0.3600000000000003,0.0199999999999995,1,7,0.051428571428571476,0.2955243599226384,0.019999999999999574,6.82
26,i,7.02,7.06,0.04,0.0600000000000005,1,1,0.04,0.6104377234047522,0.0600000000000005,7.039999999999999
27,think,7.12,7.26,0.1399999999999996,0.0200000000000004,1,5,0.02799999999999992,0.2625349950454723,0.020000000000000462,7.1899999999999995
28,that,7.28,7.38,0.0999999999999996,0.0200000000000004,1,4,0.0249999999999999,0.2457984041217211,0.020000000000000462,7.33
29,if,7.4,7.48,0.08,0.0399999999999991,1,2,0.04,0.214748950564319,0.03999999999999915,7.44
30,the,7.52,7.56,0.04,0.0600000000000005,1,3,0.013333333333333334,0.040464418012586,0.0600000000000005,7.539999999999999
31,federal,7.62,7.82,0.2000000000000001,0.04,1,7,0.028571428571428584,0.3674857570271104,0.040000000000000036,7.720000000000001
32,government,7.86,8.18,0.3199999999999994,0.0400000000000009,1,10,0.03199999999999994,0.3975208283112461,0.040000000000000924,8.02
33,moved,8.22,8.44,0.2199999999999988,0.0200000000000013,1,5,0.04399999999999976,0.3935306989509234,0.02000000000000135,8.33
34,out,8.46,8.6,0.1399999999999988,0.0,1,3,0.046666666666666266,0.5488977743534424,0.0,8.530000000000001
35,of,8.6,8.64,0.0400000000000009,0.0199999999999995,1,2,0.02000000000000045,0.2779905832245816,0.019999999999999574,8.620000000000001
36,the,8.66,8.7,0.0399999999999991,0.0600000000000005,1,3,0.013333333333333032,0.1953752197201611,0.0600000000000005,8.68
37,program,8.76,9.28,0.5199999999999996,0.5600000000000005,1,7,0.07428571428571422,0.1896745957727928,0.5600000000000005,9.02
38,and,9.84,9.96,0.120000000000001,0.0399999999999991,1,3,0.040000000000000334,0.1131232924336753,0.03999999999999915,9.9
39,with,10.0,10.1,0.0999999999999996,0.0400000000000009,1,4,0.0249999999999999,0.3601951922968932,0.040000000000000924,10.05
40,jewish,10.14,10.44,0.2999999999999989,0.0400000000000009,1,6,0.049999999999999815,0.3408623752305625,0.040000000000000924,10.29
41,support,10.48,11.02,0.5399999999999991,0.9000000000000004,1,7,0.07714285714285703,0.2555684408565956,0.9000000000000004,10.75
42,then,11.92,12.04,0.1199999999999992,0.0400000000000009,1,4,0.0299999999999998,0.3609471539567038,0.040000000000000924,11.98
43,i,12.08,12.12,0.0399999999999991,0.08,1,1,0.0399999999999991,0.5107383704976531,0.08000000000000007,12.1
44,think,12.2,12.36,0.1600000000000001,0.0400000000000009,1,5,0.032000000000000015,0.2017185846366665,0.040000000000000924,12.28
45,you,12.4,12.44,0.0399999999999991,0.0400000000000009,1,3,0.013333333333333032,0.0994147674254977,0.040000000000000924,12.42
46,would,12.48,12.54,0.0599999999999987,0.0400000000000009,1,5,0.01199999999999974,0.3180173777074239,0.040000000000000924,12.51
47,have,12.58,12.68,0.0999999999999996,0.0400000000000009,1,4,0.0249999999999999,0.3563187672952328,0.040000000000000924,12.629999999999999
48,complete,12.72,13.12,0.3999999999999986,0.0200000000000013,1,8,0.04999999999999982,0.1753165250818596,0.02000000000000135,12.92
49,the,13.14,13.18,0.0399999999999991,0.08,1,3,0.013333333333333032,0.1327405317617488,0.08000000000000007,13.16
50,economic,13.26,13.7,0.4399999999999995,0.08,1,8,0.05499999999999994,0.2463581719252919,0.08000000000000007,13.48
51,chaos,13.78,14.2,0.4199999999999999,0.6800000000000015,1,5,0.08399999999999998,0.3470529691354967,0.6800000000000015,13.989999999999998
52,the,14.88,14.96,0.08,0.1199999999999992,1,3,0.02666666666666667,0.0832207925933004,0.11999999999999922,14.920000000000002
53,farm,15.08,15.34,0.2599999999999998,0.0199999999999995,1,4,0.06499999999999995,0.5277486060478536,0.019999999999999574,15.21
54,of,15.36,15.42,0.0600000000000005,0.0600000000000005,1,2,0.03000000000000025,0.3267280329290623,0.0600000000000005,15.39
55,plants,15.48,15.84,0.3599999999999994,0.0400000000000009,1,6,0.059999999999999894,0.1961479232559397,0.040000000000000924,15.66
56,in,15.88,15.94,0.0599999999999987,0.0200000000000013,1,2,0.02999999999999935,0.162372941598419,0.02000000000000135,15.91
57,the,15.96,16.02,0.0599999999999987,0.0399999999999991,1,3,0.019999999999999567,0.2309832640186524,0.03999999999999915,15.99
58,spring,16.06,16.38,0.3200000000000003,0.0199999999999995,1,6,0.05333333333333338,0.188925703602919,0.019999999999999574,16.22
59,and,16.4,16.46,0.0600000000000022,0.0599999999999987,1,3,0.020000000000000732,0.3027006707520079,0.05999999999999872,16.43
60,harvest,16.52,16.9,0.379999999999999,0.0200000000000031,1,7,0.054285714285714146,0.3001743955097832,0.020000000000003126,16.71
