Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,yeah,12.36,12.36,0.0,6.18,1,4,0.0,
1,the,18.54,18.54,0.0,0.5199999999999996,1,3,0.0,
2,president,19.06,19.38,0.3200000000000003,1.4600000000000009,1,9,0.1975308641975236,0.23177277761170656
3,mister,20.84,21.02,0.1799999999999997,0.0399999999999991,0,6,0.16666666666666008,0.08095555089911127
4,vice,21.06,21.28,0.2200000000000024,0.0399999999999991,0,4,0.30555555555554736,0.5208054523516751
5,president,21.32,21.74,0.4199999999999981,1.16,0,9,0.2592592592592483,0.36963958549387615
6,governor,22.9,23.28,0.3800000000000025,1.7999999999999972,0,8,0.2638888888888807,0.41635244976925107
7,congressman,25.08,25.5,0.4200000000000017,0.0599999999999987,1,11,0.212121212121205,0.15566474520540094
8,thomas,25.56,26.0,0.4400000000000013,1.120000000000001,1,6,0.4074074074073932,0.32617654105312954
9,senator,27.12,27.4,0.2799999999999976,0.0600000000000022,1,7,0.2222222222222119,0.12525969271373907
10,wylley,27.46,27.88,0.4199999999999981,0.0199999999999995,1,6,0.38888888888887246,0.5966532790476672
11,and,27.9,27.94,0.0400000000000027,0.0599999999999987,1,3,0.07407407407407628,0.11896926847127297
12,congressman,28.0,28.46,0.4600000000000008,0.0399999999999991,1,11,0.23232323232322397,0.12716852131909617
13,miller,28.5,28.78,0.2800000000000011,0.9800000000000004,1,6,0.2592592592592505,0.48303754930985127
14,mister,29.76,29.98,0.2199999999999988,0.0599999999999987,0,6,0.2037037037036949,0.0
15,webb,30.04,30.42,0.3800000000000025,0.9399999999999976,0,4,0.5277777777777614,0.5937092431273274
16,now,31.36,31.68,0.3200000000000003,1.3400000000000034,0,3,0.5925925925925707,0.6554225357386325
17,scientists,33.02,33.64,0.6199999999999974,0.740000000000002,1,10,0.34444444444443,0.25525163955135216
18,distinguished,34.38,34.78,0.3999999999999986,0.0600000000000022,1,13,0.1709401709401639,0.11352722330656179
19,gas,34.84,35.12,0.279999999999994,0.1799999999999997,1,3,0.5185185185184878,0.3734339113787726
