,Word,Start,End,time_spent,post_pause,speaker,intensity,length,std_time_spent,amplitude,post_space,time
0,by,0.16,0.38,0.22,0.06,0,0.0610275095552543,2,0.11,0.7414416628958719,0.06,0.27
1,his,0.44,0.54,0.1,0.0399999999999999,0,0.0428818960038442,3,0.03333333333333333,0.4956585518226706,0.039999999999999925,0.49
2,luck,0.58,0.84,0.26,0.04,0,0.0579069607673297,4,0.065,0.6991736961953346,0.040000000000000036,0.71
3,ran,0.88,1.08,0.2,0.0599999999999998,0,0.0515289721845769,3,0.06666666666666667,0.6127835682552121,0.05999999999999983,0.98
4,out,1.14,1.4,0.26,0.1400000000000001,0,0.0234718183021405,3,0.08666666666666667,0.2327482197922299,0.14000000000000012,1.27
5,that's,1.54,1.82,0.28,0.02,0,0.0353899610672021,6,0.04666666666666667,0.3941799729105347,0.020000000000000018,1.6800000000000002
6,the,1.84,1.92,0.0799999999999998,0.04,0,0.0337902250744047,3,0.0266666666666666,0.3725114805175084,0.040000000000000036,1.88
7,subject,1.96,2.52,0.56,0.02,0,0.0391812004778892,7,0.08,0.4455324727608132,0.020000000000000018,2.24
8,of,2.54,2.62,0.08,0.06,0,0.056400852679125,2,0.04,0.6787733977715482,0.06000000000000005,2.58
9,tonight's,2.68,3.1,0.4199999999999999,0.02,0,0.0387299437461616,9,0.046666666666666655,0.4394201810434513,0.020000000000000018,2.89
10,water's,3.12,3.48,0.3599999999999999,0.06,0,0.0458405279158104,7,0.051428571428571414,0.535733347518239,0.06000000000000005,3.3
11,words,3.54,4.0,0.4599999999999999,0.4400000000000004,0,0.0244526735697109,5,0.09199999999999998,0.2460339463119182,0.4400000000000004,3.77
12,by,4.44,4.58,0.1399999999999996,0.0599999999999996,0,0.0427730302035248,2,0.0699999999999998,0.4941839599045652,0.05999999999999961,4.51
13,his,4.64,4.74,0.1000000000000005,0.0599999999999996,0,0.0492000865287521,3,0.0333333333333335,0.5812387125135942,0.05999999999999961,4.6899999999999995
14,always,4.8,5.02,0.2199999999999997,0.04,0,0.0532844526156816,6,0.03666666666666662,0.6365616257214208,0.040000000000000036,4.91
15,been,5.06,5.18,0.1200000000000001,0.0200000000000004,0,0.045072185029068,4,0.030000000000000027,0.5253261102793623,0.020000000000000462,5.119999999999999
16,a,5.2,5.24,0.04,0.08,0,0.0556545646823182,1,0.04,0.6686648949594453,0.08000000000000007,5.220000000000001
17,lucky,5.32,5.78,0.4599999999999999,0.08,0,0.0447809188708884,5,0.09199999999999998,0.5213808977184924,0.08000000000000007,5.550000000000001
18,guy,5.86,6.2,0.3399999999999998,0.08,0,0.0557307985857103,3,0.11333333333333327,0.6696974864390266,0.08000000000000007,6.03
19,his,6.28,6.42,0.1399999999999996,0.04,0,0.0548345567649492,3,0.04666666666666653,0.6575578526726368,0.040000000000000036,6.35
20,whole,6.46,6.62,0.1600000000000001,0.04,0,0.051688166162054,5,0.032000000000000015,0.6149398574838774,0.040000000000000036,6.54
21,political,6.66,7.1,0.4399999999999995,0.04,0,0.0418031763671673,9,0.048888888888888836,0.481047248240842,0.040000000000000036,6.88
22,life,7.14,7.48,0.3400000000000007,0.3799999999999999,0,0.0367348986306762,4,0.08500000000000017,0.4123972096886306,0.3799999999999999,7.3100000000000005
23,he,7.86,7.94,0.08,0.0599999999999996,0,0.0062885414175435,2,0.04,0.0,0.05999999999999961,7.9
24,wanted,8.0,8.26,0.2599999999999998,0.0600000000000005,0,0.0507168399711647,6,0.0433333333333333,0.6017832027150948,0.0600000000000005,8.129999999999999
25,senate,8.32,8.66,0.3399999999999998,0.0399999999999991,0,0.0419586739318123,6,0.056666666666666636,0.4831534693997165,0.03999999999999915,8.49
26,seat,8.7,8.92,0.2200000000000006,0.0400000000000009,0,0.0468748269978564,4,0.05500000000000015,0.5497429727891172,0.040000000000000924,8.809999999999999
27,because,8.96,9.26,0.2999999999999989,0.0400000000000009,0,0.0368288070436507,7,0.0428571428571427,0.4136692031558915,0.040000000000000924,9.11
28,a,9.3,9.34,0.0399999999999991,0.0999999999999996,0,0.0783050779312376,1,0.0399999999999991,0.975467064968821,0.09999999999999964,9.32
29,union,9.44,9.82,0.3800000000000008,0.08,0,0.0539552056002636,5,0.07600000000000015,0.6456470035646729,0.08000000000000007,9.629999999999999
30,strike,9.9,10.28,0.379999999999999,0.1000000000000014,0,0.037222350862974,6,0.06333333333333317,0.4189997710081633,0.10000000000000142,10.09
31,just,10.38,10.66,0.2799999999999993,0.0999999999999996,0,0.040321844389495,4,0.06999999999999983,0.4609825432931144,0.09999999999999964,10.52
32,happened,10.76,11.4,0.6400000000000006,0.4199999999999999,0,0.0292699007220279,8,0.08000000000000007,0.3112834939719228,0.41999999999999993,11.08
33,to,11.82,11.9,0.08,0.0600000000000005,0,0.0267254143885744,2,0.04,0.2768183178373392,0.0600000000000005,11.86
34,knock,11.96,12.24,0.2799999999999993,0.0600000000000005,0,0.0364330305341072,5,0.05599999999999986,0.4083083934191633,0.0600000000000005,12.100000000000001
35,out,12.3,12.48,0.1799999999999997,0.0399999999999991,0,0.0495888269587348,3,0.059999999999999894,0.5865042182519588,0.03999999999999915,12.39
36,as,12.52,12.6,0.08,0.0400000000000009,0,0.0427403179696357,2,0.04,0.4937408712984602,0.040000000000000924,12.559999999999999
37,opponents,12.64,13.14,0.5,0.08,0,0.0315413190015589,9,0.05555555555555555,0.3420499516455623,0.08000000000000007,12.89
38,mailings,13.22,13.68,0.4599999999999991,0.0600000000000005,0,0.0465995805874433,8,0.057499999999999885,0.5460147483964065,0.0600000000000005,13.45
