Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,tonight,1.42,1.68,0.26,0.08,2,7,0.19548872180451365,0.3837352279446879
1,president,1.76,2.18,0.4200000000000001,0.04,2,9,0.2456140350877223,0.3816083625913508
2,byden,2.22,2.52,0.2999999999999998,0.06,2,5,0.3157894736842142,0.4514838680912256
3,facing,2.58,2.94,0.3599999999999999,0.08,2,6,0.31578947368421423,0.3621187267246182
4,back,3.02,3.28,0.2599999999999998,0.0,2,4,0.3421052631578986,0.3219454045479896
5,last,3.28,3.6,0.3200000000000003,0.02,2,4,0.42105263157895284,0.48486040555967025
6,with,3.62,3.74,0.1200000000000001,0.0599999999999996,2,4,0.1578947368421073,0.45484780322040097
7,ukraine,3.8,4.44,0.6400000000000006,0.0199999999999995,2,7,0.48120300751880324,0.3976679556750256
8,on,4.46,4.52,0.0599999999999996,0.04,2,2,0.15789473684210614,0.3716785435581449
9,the,4.56,4.6,0.04,0.0600000000000005,2,3,0.07017543859649208,0.49350885045331205
10,break,4.66,4.94,0.2800000000000002,0.0199999999999995,2,5,0.2947368421052669,0.37447026102459186
11,of,4.96,5.0,0.04,0.04,2,2,0.10526315789473811,0.3567467608750042
12,a,5.04,5.08,0.04,0.04,2,1,0.21052631578947623,0.46417894391182946
13,potential,5.12,5.62,0.5,0.0599999999999996,2,9,0.292397660818717,0.38651168774183203
14,russian,5.68,6.08,0.4000000000000003,0.0599999999999996,2,7,0.300751879699252,0.48787799749938554
15,invasion,6.14,6.7,0.5600000000000005,0.2800000000000002,2,8,0.36842105263158376,0.6179270301247997
16,the,6.98,7.02,0.0399999999999991,0.04,2,3,0.07017543859649049,0.5755693035236646
17,president,7.06,7.48,0.4200000000000008,0.0599999999999996,2,9,0.24561403508772275,0.48129435348977045
18,clarifying,7.54,8.14,0.6000000000000005,0.0599999999999987,2,10,0.3157894736842146,0.41847996962074463
19,comments,8.2,8.68,0.4800000000000004,0.0199999999999995,2,8,0.3157894736842146,0.45497541093555616
20,he,8.7,8.76,0.0600000000000005,0.0600000000000005,2,2,0.15789473684210847,0.6439751467211159
21,made,8.82,9.04,0.2199999999999988,0.0200000000000013,2,4,0.28947368421052827,0.5219419703194854
22,it,9.06,9.14,0.08,0.0199999999999995,2,2,0.21052631578947623,0.4601484538634343
23,as,9.16,9.26,0.0999999999999996,0.08,2,2,0.26315789473684426,0.32960063357705366
24,news,9.34,9.58,0.2400000000000002,0.0399999999999991,2,4,0.3157894736842146,0.5058589325707393
25,conference,9.62,10.06,0.4400000000000013,0.0199999999999995,2,10,0.23157894736842455,0.3211778550289606
26,at,10.08,10.16,0.08,0.0600000000000005,2,2,0.21052631578947623,0.3591394603170977
27,critics,10.22,10.58,0.3599999999999994,0.0,2,7,0.2706766917293261,0.4142727133040751
28,say,10.58,10.72,0.1400000000000005,0.1199999999999992,2,3,0.24561403508772317,0.5370620032917427
29,open,10.84,11.18,0.3399999999999998,0.0199999999999995,2,4,0.44736842105263674,0.5593868500804238
30,the,11.2,11.26,0.0600000000000005,0.0600000000000005,2,3,0.105263157894739,0.6549229683281304
31,door,11.32,11.62,0.2999999999999989,0.0400000000000009,2,4,0.39473684210526644,0.5470391255626902
32,for,11.66,11.78,0.1199999999999992,0.08,2,3,0.21052631578947484,0.4523097463924124
33,russia,11.86,12.24,0.3800000000000008,0.0600000000000005,2,6,0.33333333333333803,0.47878203283309106
34,to,12.3,12.42,0.1199999999999992,0.0999999999999996,2,2,0.3157894736842123,0.45613863524227954
35,invade,12.52,13.02,0.5,0.4400000000000013,2,6,0.4385964912280755,0.48407501002089437
36,today,13.46,13.68,0.2199999999999988,0.0400000000000009,2,5,0.2315789473684226,0.568564239585765
37,the,13.72,13.78,0.0599999999999987,0.0400000000000009,2,3,0.10526315789473584,0.4169203360008289
38,president,13.82,14.28,0.4599999999999991,0.0400000000000009,2,9,0.2690058479532191,0.430533123470085
39,saying,14.32,14.56,0.2400000000000002,0.0399999999999991,2,6,0.21052631578947642,0.46574266799084574
40,russia,14.6,14.94,0.3399999999999998,0.0600000000000005,2,6,0.29824561403509114,0.4320584720335114
41,will,15.0,15.16,0.1600000000000001,0.0600000000000005,2,4,0.21052631578947634,0.5773271235391986
42,pay,15.22,15.38,0.1600000000000001,0.0199999999999995,2,3,0.28070175438596845,0.49883994214688393
43,a,15.4,15.44,0.0399999999999991,0.0400000000000009,2,1,0.21052631578947148,0.5128917100330811
44,heavy,15.48,15.74,0.2599999999999998,0.0600000000000005,2,5,0.27368421052631886,0.483218879178651
45,price,15.8,16.2,0.3999999999999986,0.0199999999999995,2,5,0.42105263157895095,0.4136936430788687
46,if,16.22,16.3,0.0800000000000018,0.0199999999999995,2,2,0.210526315789481,0.30358573004775585
47,it,16.32,16.42,0.1000000000000014,0.0399999999999991,2,2,0.263157894736849,0.28326093269421276
48,sends,16.46,16.76,0.3000000000000007,0.0599999999999987,2,5,0.3157894736842151,0.4798621001053966
49,forces,16.82,17.26,0.4400000000000013,0.0399999999999991,2,6,0.3859649122807075,0.4483925540926761
50,in,17.3,17.46,0.1600000000000001,0.3399999999999998,2,2,0.4210526315789527,0.530684385376527
51,plus,17.8,18.1,0.3000000000000007,0.0799999999999983,2,4,0.3947368421052689,0.4893494817256841
52,our,18.18,18.4,0.2199999999999988,0.0400000000000027,2,3,0.3859649122807043,0.5848193123493615
53,new,18.44,18.6,0.1600000000000001,0.139999999999997,2,3,0.28070175438596845,0.7840472394557972
54,n,18.74,18.82,0.0800000000000018,0.1000000000000014,2,1,0.421052631578962,0.6619950799373588
55,b,18.92,19.0,0.0799999999999983,0.1000000000000014,2,1,0.4210526315789435,0.6215068757549637
56,c,19.1,19.22,0.1199999999999974,0.1000000000000014,2,1,0.631578947368415,0.542617441536456
57,news,19.32,19.62,0.3000000000000007,0.0399999999999991,2,4,0.3947368421052689,0.6631326950483561
58,paul,19.66,19.96,0.3000000000000007,0.0799999999999983,2,4,0.3947368421052689,0.5382951556663655
59,how,20.04,20.16,0.120000000000001,0.0799999999999983,2,3,0.210526315789478,0.4479656057836989
60,many,20.24,20.44,0.2000000000000028,0.0599999999999987,2,4,0.263157894736849,0.5682868546639722
61,americans,20.5,21.14,0.6400000000000006,0.120000000000001,2,9,0.37426900584795814,0.46369245775877843
62,approve,21.26,21.8,0.5399999999999991,0.0199999999999995,2,7,0.40601503759398927,0.4388102006297795
63,of,21.82,21.88,0.0599999999999987,0.0600000000000022,2,2,0.15789473684210376,0.4507894834413395
64,the,21.94,22.0,0.0599999999999987,0.0599999999999987,2,3,0.10526315789473584,0.45158171771642414
65,job,22.06,22.32,0.2600000000000015,0.0399999999999991,2,3,0.4561403508772012,0.44609782799071546
66,the,22.36,22.42,0.0600000000000022,0.0599999999999987,2,3,0.10526315789474197,0.3652154720914258
67,president,22.48,22.92,0.4400000000000013,0.0599999999999987,2,9,0.2573099415204717,0.4602479595933401
68,is,22.98,23.12,0.1400000000000005,0.0799999999999983,2,2,0.36842105263158476,0.5913977211025563
69,doing,23.2,23.54,0.3399999999999998,0.5199999999999996,2,5,0.35789473684210943,0.4261819517776499
70,and,24.06,24.28,0.2200000000000024,0.0599999999999987,2,3,0.3859649122807106,0.42633662597317706
71,my,24.34,24.46,0.120000000000001,0.0999999999999978,2,2,0.31578947368421695,0.550861396634084
72,one,24.56,24.72,0.1600000000000001,0.0400000000000027,2,3,0.28070175438596845,0.6030169232226964
