,Unnamed: 0.1,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,time,post_space
0,0,tonight,1.42,1.68,0.26,0.08,2,7,0.037142857142857144,0.3837352279446879,1.5499999999999998,0.08000000000000007
1,1,president,1.76,2.18,0.4200000000000001,0.04,2,9,0.046666666666666676,0.3816083625913508,1.9700000000000002,0.040000000000000036
2,2,byden,2.22,2.52,0.2999999999999998,0.06,2,5,0.05999999999999996,0.4514838680912256,2.37,0.06000000000000005
3,3,facing,2.58,2.94,0.3599999999999999,0.08,2,6,0.05999999999999998,0.3621187267246182,2.76,0.08000000000000007
4,4,back,3.02,3.28,0.2599999999999998,0.0,2,4,0.06499999999999995,0.3219454045479896,3.15,0.0
5,5,last,3.28,3.6,0.3200000000000003,0.02,2,4,0.08000000000000007,0.4848604055596702,3.44,0.020000000000000018
6,6,with,3.62,3.74,0.1200000000000001,0.0599999999999996,2,4,0.030000000000000027,0.4548478032204009,3.68,0.05999999999999961
7,7,ukraine,3.8,4.44,0.6400000000000006,0.0199999999999995,2,7,0.09142857142857151,0.3976679556750256,4.12,0.019999999999999574
8,8,on,4.46,4.52,0.0599999999999996,0.04,2,2,0.0299999999999998,0.3716785435581449,4.49,0.040000000000000036
9,9,the,4.56,4.6,0.04,0.0600000000000005,2,3,0.013333333333333334,0.493508850453312,4.58,0.0600000000000005
10,10,break,4.66,4.94,0.2800000000000002,0.0199999999999995,2,5,0.056000000000000036,0.3744702610245918,4.800000000000001,0.019999999999999574
11,11,of,4.96,5.0,0.04,0.04,2,2,0.02,0.3567467608750042,4.98,0.040000000000000036
12,12,a,5.04,5.08,0.04,0.04,2,1,0.04,0.4641789439118294,5.0600000000000005,0.040000000000000036
13,13,potential,5.12,5.62,0.5,0.0599999999999996,2,9,0.05555555555555555,0.386511687741832,5.37,0.05999999999999961
14,14,russian,5.68,6.08,0.4000000000000003,0.0599999999999996,2,7,0.05714285714285718,0.4878779974993855,5.88,0.05999999999999961
15,15,invasion,6.14,6.7,0.5600000000000005,0.2800000000000002,2,8,0.07000000000000006,0.6179270301247997,6.42,0.28000000000000025
16,16,the,6.98,7.02,0.0399999999999991,0.04,2,3,0.013333333333333032,0.5755693035236646,7.0,0.040000000000000036
17,17,president,7.06,7.48,0.4200000000000008,0.0599999999999996,2,9,0.04666666666666676,0.4812943534897704,7.27,0.05999999999999961
18,18,clarifying,7.54,8.14,0.6000000000000005,0.0599999999999987,2,10,0.06000000000000005,0.4184799696207446,7.84,0.05999999999999872
19,19,comments,8.2,8.68,0.4800000000000004,0.0199999999999995,2,8,0.06000000000000005,0.4549754109355561,8.44,0.019999999999999574
20,20,he,8.7,8.76,0.0600000000000005,0.0600000000000005,2,2,0.03000000000000025,0.6439751467211159,8.73,0.0600000000000005
21,21,made,8.82,9.04,0.2199999999999988,0.0200000000000013,2,4,0.0549999999999997,0.5219419703194854,8.93,0.02000000000000135
22,22,it,9.06,9.14,0.08,0.0199999999999995,2,2,0.04,0.4601484538634343,9.100000000000001,0.019999999999999574
23,23,as,9.16,9.26,0.0999999999999996,0.08,2,2,0.0499999999999998,0.3296006335770536,9.21,0.08000000000000007
24,24,news,9.34,9.58,0.2400000000000002,0.0399999999999991,2,4,0.06000000000000005,0.5058589325707393,9.46,0.03999999999999915
25,25,conference,9.62,10.06,0.4400000000000013,0.0199999999999995,2,10,0.04400000000000013,0.3211778550289606,9.84,0.019999999999999574
26,26,at,10.08,10.16,0.08,0.0600000000000005,2,2,0.04,0.3591394603170977,10.120000000000001,0.0600000000000005
27,27,critics,10.22,10.58,0.3599999999999994,0.0,2,7,0.05142857142857134,0.4142727133040751,10.4,0.0
28,28,say,10.58,10.72,0.1400000000000005,0.1199999999999992,2,3,0.046666666666666835,0.5370620032917427,10.65,0.11999999999999922
29,29,open,10.84,11.18,0.3399999999999998,0.0199999999999995,2,4,0.08499999999999995,0.5593868500804238,11.01,0.019999999999999574
30,30,the,11.2,11.26,0.0600000000000005,0.0600000000000005,2,3,0.020000000000000167,0.6549229683281304,11.23,0.0600000000000005
31,31,door,11.32,11.62,0.2999999999999989,0.0400000000000009,2,4,0.07499999999999972,0.5470391255626902,11.469999999999999,0.040000000000000924
32,32,for,11.66,11.78,0.1199999999999992,0.08,2,3,0.03999999999999974,0.4523097463924124,11.719999999999999,0.08000000000000007
33,33,russia,11.86,12.24,0.3800000000000008,0.0600000000000005,2,6,0.06333333333333346,0.478782032833091,12.05,0.0600000000000005
34,34,to,12.3,12.42,0.1199999999999992,0.0999999999999996,2,2,0.0599999999999996,0.4561386352422795,12.36,0.09999999999999964
35,35,invade,12.52,13.02,0.5,0.4400000000000013,2,6,0.08333333333333333,0.4840750100208943,12.77,0.4400000000000013
36,36,today,13.46,13.68,0.2199999999999988,0.0400000000000009,2,5,0.04399999999999976,0.568564239585765,13.57,0.040000000000000924
37,37,the,13.72,13.78,0.0599999999999987,0.0400000000000009,2,3,0.019999999999999567,0.4169203360008289,13.75,0.040000000000000924
38,38,president,13.82,14.28,0.4599999999999991,0.0400000000000009,2,9,0.05111111111111101,0.430533123470085,14.05,0.040000000000000924
39,39,saying,14.32,14.56,0.2400000000000002,0.0399999999999991,2,6,0.040000000000000036,0.4657426679908457,14.440000000000001,0.03999999999999915
40,40,russia,14.6,14.94,0.3399999999999998,0.0600000000000005,2,6,0.056666666666666636,0.4320584720335114,14.77,0.0600000000000005
41,41,will,15.0,15.16,0.1600000000000001,0.0600000000000005,2,4,0.04000000000000002,0.5773271235391986,15.08,0.0600000000000005
42,42,pay,15.22,15.38,0.1600000000000001,0.0199999999999995,2,3,0.053333333333333365,0.4988399421468839,15.3,0.019999999999999574
43,43,a,15.4,15.44,0.0399999999999991,0.0400000000000009,2,1,0.0399999999999991,0.5128917100330811,15.42,0.040000000000000924
44,44,heavy,15.48,15.74,0.2599999999999998,0.0600000000000005,2,5,0.051999999999999956,0.483218879178651,15.61,0.0600000000000005
45,45,price,15.8,16.2,0.3999999999999986,0.0199999999999995,2,5,0.07999999999999971,0.4136936430788687,16.0,0.019999999999999574
46,46,if,16.22,16.3,0.0800000000000018,0.0199999999999995,2,2,0.0400000000000009,0.3035857300477558,16.259999999999998,0.019999999999999574
47,47,it,16.32,16.42,0.1000000000000014,0.0399999999999991,2,2,0.0500000000000007,0.2832609326942127,16.37,0.03999999999999915
48,48,sends,16.46,16.76,0.3000000000000007,0.0599999999999987,2,5,0.060000000000000143,0.4798621001053966,16.61,0.05999999999999872
49,49,forces,16.82,17.26,0.4400000000000013,0.0399999999999991,2,6,0.07333333333333354,0.4483925540926761,17.04,0.03999999999999915
50,50,in,17.3,17.46,0.1600000000000001,0.3399999999999998,2,2,0.08000000000000004,0.530684385376527,17.380000000000003,0.33999999999999986
51,51,plus,17.8,18.1,0.3000000000000007,0.0799999999999983,2,4,0.07500000000000018,0.4893494817256841,17.950000000000003,0.0799999999999983
52,52,our,18.18,18.4,0.2199999999999988,0.0400000000000027,2,3,0.07333333333333293,0.5848193123493615,18.29,0.0400000000000027
53,53,new,18.44,18.6,0.1600000000000001,0.139999999999997,2,3,0.053333333333333365,0.7840472394557972,18.520000000000003,0.13999999999999702
54,54,n,18.74,18.82,0.0800000000000018,0.1000000000000014,2,1,0.0800000000000018,0.6619950799373588,18.78,0.10000000000000142
55,55,b,18.92,19.0,0.0799999999999983,0.1000000000000014,2,1,0.0799999999999983,0.6215068757549637,18.96,0.10000000000000142
56,56,c,19.1,19.22,0.1199999999999974,0.1000000000000014,2,1,0.1199999999999974,0.542617441536456,19.16,0.10000000000000142
57,57,news,19.32,19.62,0.3000000000000007,0.0399999999999991,2,4,0.07500000000000018,0.6631326950483561,19.47,0.03999999999999915
58,58,paul,19.66,19.96,0.3000000000000007,0.0799999999999983,2,4,0.07500000000000018,0.5382951556663655,19.810000000000002,0.0799999999999983
59,59,how,20.04,20.16,0.120000000000001,0.0799999999999983,2,3,0.040000000000000334,0.4479656057836989,20.1,0.0799999999999983
60,60,many,20.24,20.44,0.2000000000000028,0.0599999999999987,2,4,0.0500000000000007,0.5682868546639722,20.34,0.05999999999999872
61,61,americans,20.5,21.14,0.6400000000000006,0.120000000000001,2,9,0.07111111111111118,0.4636924577587784,20.82,0.120000000000001
62,62,approve,21.26,21.8,0.5399999999999991,0.0199999999999995,2,7,0.07714285714285703,0.4388102006297795,21.53,0.019999999999999574
63,63,of,21.82,21.88,0.0599999999999987,0.0600000000000022,2,2,0.02999999999999935,0.4507894834413395,21.85,0.060000000000002274
64,64,the,21.94,22.0,0.0599999999999987,0.0599999999999987,2,3,0.019999999999999567,0.4515817177164241,21.97,0.05999999999999872
65,65,job,22.06,22.32,0.2600000000000015,0.0399999999999991,2,3,0.08666666666666717,0.4460978279907154,22.189999999999998,0.03999999999999915
66,66,the,22.36,22.42,0.0600000000000022,0.0599999999999987,2,3,0.020000000000000732,0.3652154720914258,22.39,0.05999999999999872
67,67,president,22.48,22.92,0.4400000000000013,0.0599999999999987,2,9,0.04888888888888903,0.4602479595933401,22.700000000000003,0.05999999999999872
68,68,is,22.98,23.12,0.1400000000000005,0.0799999999999983,2,2,0.07000000000000026,0.5913977211025563,23.05,0.0799999999999983
69,69,doing,23.2,23.54,0.3399999999999998,0.5199999999999996,2,5,0.06799999999999996,0.4261819517776499,23.369999999999997,0.5199999999999996
70,70,and,24.06,24.28,0.2200000000000024,0.0599999999999987,2,3,0.07333333333333412,0.426336625973177,24.17,0.05999999999999872
71,71,my,24.34,24.46,0.120000000000001,0.0999999999999978,2,2,0.0600000000000005,0.550861396634084,24.4,0.09999999999999787
72,72,one,24.56,24.72,0.1600000000000001,0.0400000000000027,2,3,0.053333333333333365,0.6030169232226964,24.64,0.0400000000000027
73,73,on,24.76,24.86,0.0999999999999978,0.0800000000000018,2,2,0.0499999999999989,0.5141829218833046,24.810000000000002,0.08000000000000185
74,74,one,24.94,25.18,0.2399999999999984,0.0399999999999991,2,3,0.07999999999999947,0.5160636054118761,25.060000000000002,0.03999999999999915
75,75,with,25.22,25.32,0.1000000000000014,0.0399999999999991,2,4,0.02500000000000035,0.4647929072140417,25.27,0.03999999999999915
76,76,its,25.36,25.48,0.120000000000001,0.0599999999999987,2,3,0.040000000000000334,0.3898986901385781,25.42,0.05999999999999872
77,77,chief,25.54,25.76,0.2200000000000024,0.0199999999999995,2,5,0.044000000000000476,0.4790929902049415,25.65,0.019999999999999574
78,78,of,25.78,25.86,0.0799999999999983,0.0600000000000022,2,2,0.03999999999999915,0.4580200272968023,25.82,0.060000000000002274
79,79,staff,25.92,26.34,0.4199999999999981,0.379999999999999,2,5,0.08399999999999962,0.3418139973164669,26.130000000000003,0.379999999999999
80,80,also,26.72,27.02,0.3000000000000007,0.0800000000000018,2,4,0.07500000000000018,0.6079482236699267,26.869999999999997,0.08000000000000185
81,81,tonight,27.1,27.38,0.2799999999999976,0.0199999999999995,2,7,0.039999999999999654,0.4970413479759025,27.240000000000002,0.019999999999999574
82,82,the,27.4,27.46,0.0600000000000022,0.0599999999999987,2,3,0.020000000000000732,0.5051078585403542,27.43,0.05999999999999872
83,83,january,27.52,28.02,0.5,0.0800000000000018,2,7,0.07142857142857142,0.5541962193814893,27.77,0.08000000000000185
84,84,six,28.1,28.38,0.2799999999999976,0.0600000000000022,2,3,0.09333333333333253,0.4284888012975972,28.240000000000002,0.060000000000002274
85,85,panel,28.44,28.78,0.3399999999999998,0.3399999999999998,2,5,0.06799999999999996,0.4439081109711787,28.61,0.33999999999999986
86,86,asking,29.12,29.56,0.4399999999999977,0.0199999999999995,2,6,0.07333333333333296,0.4627281523619093,29.34,0.019999999999999574
