Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,good,2.08,2.22,0.1400000000000001,0.02,0,4,0.18292682926830584,0.692176447516852
1,evening,2.24,2.52,0.2799999999999998,0.02,0,7,0.21951219512196365,0.6211098461034695
2,you're,2.54,2.66,0.1200000000000001,0.06,0,6,0.07317073170733117,0.6714101018938747
3,looking,2.72,2.98,0.2599999999999998,0.08,0,7,0.19860627177701606,0.4568370437185202
4,live,3.06,3.48,0.4199999999999999,0.02,0,4,0.6951219512195204,0.459537047197421
5,at,3.5,3.6,0.1,0.06,0,2,0.2926829268292803,0.49164007198866977
6,times,3.66,4.12,0.4599999999999999,0.0199999999999995,0,5,0.6000000000000091,0.3204168814956095
7,square,4.14,4.52,0.3799999999999999,0.0600000000000005,0,6,0.39024390243903534,0.635835947299626
8,in,4.58,4.7,0.1200000000000001,0.0599999999999996,0,2,0.36585365853659707,0.2631401505904813
9,new,4.76,4.92,0.1600000000000001,0.0,0,3,0.31707317073171926,0.3605812462467864
10,york,4.92,5.32,0.4000000000000003,0.3599999999999994,0,4,0.6585365853658629,0.5718610809291922
11,where,5.68,5.82,0.1400000000000005,0.0199999999999995,0,5,0.13170731707318492,0.470362448120783
12,a,5.84,5.9,0.0600000000000005,0.0999999999999996,0,1,0.36585365853660035,0.8142844596823832
13,massive,6.0,6.46,0.4599999999999999,0.04,0,7,0.40766550522649164,0.3517751343750424
14,crowd,6.5,6.86,0.3600000000000003,0.04,0,5,0.45365853658537686,0.5851477936200649
15,has,6.9,7.02,0.1199999999999992,0.0,0,3,0.21951219512196193,0.6113741112107
16,been,7.02,7.14,0.1200000000000001,0.0600000000000005,0,4,0.14634146341464765,0.33103522694013654
17,gathered,7.2,7.56,0.3599999999999994,0.04,0,8,0.2560975609756215,0.5125247407037915
18,since,7.6,7.86,0.2600000000000007,0.08,0,5,0.3073170731707445,0.2641580696827638
19,early,7.94,8.2,0.2599999999999989,0.0400000000000009,0,5,0.307317073170742,0.5662600772080043
20,this,8.24,8.4,0.1600000000000001,0.0399999999999991,0,4,0.21951219512196402,0.35700739715167484
21,morning,8.44,8.8,0.3600000000000012,0.5199999999999996,0,7,0.3031358885017553,0.5209347389516071
22,waiting,9.32,9.66,0.3399999999999998,0.08,0,7,0.2822299651568063,0.6051401020235083
23,patiently,9.74,10.26,0.5199999999999996,0.120000000000001,0,9,0.3495934959349705,0.3922008842925014
24,for,10.38,10.46,0.08,0.0399999999999991,0,3,0.12195121951220866,0.10580182703109914
25,the,10.5,10.56,0.0600000000000005,0.0599999999999987,0,3,0.07317073170733226,0.5630153736379567
26,stroke,10.62,10.94,0.3200000000000003,0.0,0,6,0.31707317073171937,0.48563039520187534
27,of,10.94,11.0,0.0600000000000005,0.0600000000000005,0,2,0.14634146341464926,0.5772639375801196
28,midnight,11.06,11.54,0.4799999999999986,0.5800000000000001,0,8,0.36585365853659535,0.5774987388106534
29,now,12.12,12.4,0.2800000000000011,0.1399999999999988,0,3,0.6097560975609874,0.6117038814792667
30,less,12.54,12.72,0.1800000000000015,0.0199999999999995,0,4,0.2560975609756248,0.3466681930572478
31,than,12.74,12.88,0.1400000000000005,0.0999999999999996,0,4,0.18292682926830658,0.1645452958882841
32,six,12.98,13.18,0.1999999999999993,0.0400000000000009,0,3,0.41463414634147255,0.2454051900566244
33,hours,13.22,13.52,0.2999999999999989,0.0199999999999995,0,5,0.36585365853659507,0.6542084834086275
34,away,13.54,13.96,0.4200000000000017,0.3999999999999986,0,4,0.6951219512195237,0.6120179105189257
35,signalling,14.36,14.9,0.5400000000000009,0.4000000000000003,0,10,0.3219512195122075,0.4234813443281334
36,the,15.3,15.38,0.08,0.08,0,3,0.12195121951220866,0.48020129001914025
37,dawn,15.46,15.94,0.4799999999999986,0.5400000000000009,0,4,0.8048780487804926,0.5799406670436391
