,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time
0,good,2.08,2.22,0.1400000000000001,0.02,0,4,0.035000000000000024,0.692176447516852,0.020000000000000018,2.1500000000000004
1,evening,2.24,2.52,0.2799999999999998,0.02,0,7,0.03999999999999997,0.6211098461034695,0.020000000000000018,2.38
2,you're,2.54,2.66,0.1200000000000001,0.06,0,6,0.020000000000000018,0.6714101018938747,0.06000000000000005,2.6
3,looking,2.72,2.98,0.2599999999999998,0.08,0,7,0.03714285714285711,0.4568370437185202,0.08000000000000007,2.85
4,live,3.06,3.48,0.4199999999999999,0.02,0,4,0.10499999999999997,0.459537047197421,0.020000000000000018,3.27
5,at,3.5,3.6,0.1,0.06,0,2,0.05,0.4916400719886697,0.06000000000000005,3.55
6,times,3.66,4.12,0.4599999999999999,0.0199999999999995,0,5,0.09199999999999998,0.3204168814956095,0.019999999999999574,3.89
7,square,4.14,4.52,0.3799999999999999,0.0600000000000005,0,6,0.06333333333333331,0.635835947299626,0.0600000000000005,4.33
8,in,4.58,4.7,0.1200000000000001,0.0599999999999996,0,2,0.06000000000000005,0.2631401505904813,0.05999999999999961,4.640000000000001
9,new,4.76,4.92,0.1600000000000001,0.0,0,3,0.053333333333333365,0.3605812462467864,0.0,4.84
10,york,4.92,5.32,0.4000000000000003,0.3599999999999994,0,4,0.10000000000000007,0.5718610809291922,0.35999999999999943,5.12
11,where,5.68,5.82,0.1400000000000005,0.0199999999999995,0,5,0.0280000000000001,0.470362448120783,0.019999999999999574,5.75
12,a,5.84,5.9,0.0600000000000005,0.0999999999999996,0,1,0.0600000000000005,0.8142844596823832,0.09999999999999964,5.87
13,massive,6.0,6.46,0.4599999999999999,0.04,0,7,0.0657142857142857,0.3517751343750424,0.040000000000000036,6.23
14,crowd,6.5,6.86,0.3600000000000003,0.04,0,5,0.07200000000000006,0.5851477936200649,0.040000000000000036,6.68
15,has,6.9,7.02,0.1199999999999992,0.0,0,3,0.03999999999999974,0.6113741112107,0.0,6.96
16,been,7.02,7.14,0.1200000000000001,0.0600000000000005,0,4,0.030000000000000027,0.3310352269401365,0.0600000000000005,7.08
17,gathered,7.2,7.56,0.3599999999999994,0.04,0,8,0.04499999999999992,0.5125247407037915,0.040000000000000036,7.38
18,since,7.6,7.86,0.2600000000000007,0.08,0,5,0.052000000000000136,0.2641580696827638,0.08000000000000007,7.73
19,early,7.94,8.2,0.2599999999999989,0.0400000000000009,0,5,0.05199999999999978,0.5662600772080043,0.040000000000000924,8.07
20,this,8.24,8.4,0.1600000000000001,0.0399999999999991,0,4,0.04000000000000002,0.3570073971516748,0.03999999999999915,8.32
21,morning,8.44,8.8,0.3600000000000012,0.5199999999999996,0,7,0.0514285714285716,0.5209347389516071,0.5199999999999996,8.620000000000001
22,waiting,9.32,9.66,0.3399999999999998,0.08,0,7,0.04857142857142854,0.6051401020235083,0.08000000000000007,9.49
23,patiently,9.74,10.26,0.5199999999999996,0.120000000000001,0,9,0.057777777777777733,0.3922008842925014,0.120000000000001,10.0
24,for,10.38,10.46,0.08,0.0399999999999991,0,3,0.02666666666666667,0.1058018270310991,0.03999999999999915,10.420000000000002
25,the,10.5,10.56,0.0600000000000005,0.0599999999999987,0,3,0.020000000000000167,0.5630153736379567,0.05999999999999872,10.530000000000001
26,stroke,10.62,10.94,0.3200000000000003,0.0,0,6,0.05333333333333338,0.4856303952018753,0.0,10.78
27,of,10.94,11.0,0.0600000000000005,0.0600000000000005,0,2,0.03000000000000025,0.5772639375801196,0.0600000000000005,10.969999999999999
28,midnight,11.06,11.54,0.4799999999999986,0.5800000000000001,0,8,0.059999999999999824,0.5774987388106534,0.5800000000000001,11.3
29,now,12.12,12.4,0.2800000000000011,0.1399999999999988,0,3,0.0933333333333337,0.6117038814792667,0.1399999999999988,12.26
