,Word,Start,End,length,time_spent,std_time_spent,post_space
0,in,0.52,0.6,2,0.07999999999999996,0.03999999999999998,0.06000000000000005
1,two,0.66,0.76,3,0.09999999999999998,0.033333333333333326,0.020000000000000018
2,thousand,0.78,1.1,8,0.32000000000000006,0.04000000000000001,0.05999999999999983
3,four,1.16,1.44,4,0.28,0.07,0.16000000000000014
4,then,1.6,1.76,4,0.15999999999999992,0.03999999999999998,0.06000000000000005
5,illinois,1.82,2.3,8,0.47999999999999976,0.05999999999999997,0.06000000000000005
6,senate,2.36,2.6,6,0.2400000000000002,0.040000000000000036,0.040000000000000036
7,candidate,2.64,3.02,9,0.3799999999999999,0.04222222222222221,0.040000000000000036
8,barak,3.06,3.38,5,0.31999999999999984,0.06399999999999997,0.020000000000000018
9,obama,3.4,3.82,5,0.41999999999999993,0.08399999999999999,0.18000000000000016
10,delivered,4.0,4.4,9,0.40000000000000036,0.04444444444444448,0.040000000000000036
11,the,4.44,4.5,3,0.05999999999999961,0.01999999999999987,0.1200000000000001
12,key,4.62,4.8,3,0.17999999999999972,0.05999999999999991,0.020000000000000462
13,note,4.82,5.0,4,0.17999999999999972,0.04499999999999993,0.019999999999999574
14,address,5.02,5.4,7,0.3800000000000008,0.054285714285714395,0.040000000000000036
15,at,5.44,5.5,2,0.05999999999999961,0.029999999999999805,0.0
16,the,5.5,5.56,3,0.05999999999999961,0.01999999999999987,0.0600000000000005
17,democratic,5.62,6.1,10,0.47999999999999954,0.04799999999999995,0.0600000000000005
18,national,6.16,6.52,8,0.35999999999999943,0.04499999999999993,0.020000000000000462
19,convention,6.54,7.0,10,0.45999999999999996,0.046,0.040000000000000036
20,in,7.04,7.1,2,0.05999999999999961,0.029999999999999805,0.0600000000000005
21,boston,7.16,7.6,6,0.4399999999999995,0.07333333333333325,0.6799999999999997
22,he,8.28,8.36,2,0.08000000000000007,0.040000000000000036,0.040000000000000924
23,spoke,8.4,8.62,5,0.21999999999999886,0.043999999999999775,0.02000000000000135
24,about,8.64,8.82,5,0.17999999999999972,0.03599999999999994,0.019999999999999574
25,his,8.84,8.92,3,0.08000000000000007,0.02666666666666669,0.040000000000000924
26,personal,8.96,9.34,8,0.379999999999999,0.047499999999999876,0.0600000000000005
27,background,9.4,9.96,10,0.5600000000000005,0.05600000000000005,0.23999999999999844
28,and,10.2,10.34,3,0.14000000000000057,0.046666666666666856,0.019999999999999574
29,about,10.36,10.56,5,0.20000000000000107,0.040000000000000216,0.019999999999999574
30,the,10.58,10.62,3,0.03999999999999915,0.01333333333333305,0.040000000000000924
31,democratic,10.66,11.14,10,0.4800000000000004,0.04800000000000004,0.03999999999999915
32,party,11.18,11.48,5,0.3000000000000007,0.060000000000000143,0.6799999999999997
33,here,12.16,12.34,4,0.17999999999999972,0.04499999999999993,0.019999999999999574
34,is,12.36,12.46,2,0.10000000000000142,0.05000000000000071,0.03999999999999915
35,that,12.5,12.64,4,0.14000000000000057,0.03500000000000014,0.05999999999999872
36,speech,12.7,13.0,6,0.3000000000000007,0.05000000000000012,0.0600000000000005
37,in,13.06,13.12,2,0.05999999999999872,0.02999999999999936,0.040000000000000924
38,its,13.16,13.26,3,0.09999999999999964,0.033333333333333215,0.019999999999999574
39,entirety,13.28,13.76,8,0.4800000000000004,0.06000000000000005,4.3199999999999985
40,the,18.08,18.16,3,0.08000000000000185,0.026666666666667282,4.32
41,the,22.48,22.48,3,0.0,0.0,1.4400000000000013
42,the,23.92,23.92,3,0.0,0.0,0.6799999999999997
43,the,24.6,24.6,3,0.0,0.0,3.0799999999999983
44,the,27.68,27.68,3,0.0,0.0,1.1400000000000006
