,Unnamed: 0,Word,Start,End,length,time_spent,std_time_spent,post_space,time,speed
0,0,thank,2.84,3.06,5,0.2200000000000002,0.044,0.0,2.95,22.72727272727271
1,1,you,3.06,3.14,3,0.08,0.0266666666666666,0.06,3.1,37.5
2,2,so,3.2,3.32,2,0.1199999999999996,0.0599999999999998,0.08,3.26,16.666666666666725
3,3,much,3.4,3.66,4,0.2600000000000002,0.065,0.1799999999999997,3.53,15.384615384615374
4,4,thank,3.84,4.06,5,0.2199999999999997,0.0439999999999999,0.0200000000000004,3.95,22.72727272727276
5,5,you,4.08,4.26,3,0.1799999999999997,0.0599999999999998,5.859999999999999,4.17,16.666666666666696
6,6,very,10.12,10.3,4,0.1800000000000015,0.0450000000000003,0.0399999999999991,10.21,22.222222222222037
7,7,much,10.34,10.52,4,0.1799999999999997,0.0449999999999999,2.5600000000000005,10.43,22.22222222222226
8,8,it,13.08,13.22,2,0.1400000000000005,0.0700000000000002,0.0399999999999991,13.15,14.285714285714233
9,9,is,13.26,13.46,2,0.200000000000001,0.1000000000000005,0.2999999999999989,13.36,9.99999999999995
10,10,wonderful,13.76,14.26,9,0.5,0.0555555555555555,0.0400000000000009,14.01,18.0
11,11,to,14.3,14.34,2,0.0399999999999991,0.0199999999999995,0.0600000000000005,14.32,50.00000000000113
12,12,be,14.4,14.48,2,0.08,0.04,0.08,14.44,25.0
13,13,back,14.56,14.86,4,0.2999999999999989,0.0749999999999997,0.2400000000000002,14.71,13.333333333333384
14,14,in,15.1,15.36,2,0.2599999999999998,0.1299999999999999,0.4800000000000004,15.23,7.692307692307699
15,15,the,15.84,15.92,3,0.08,0.0266666666666666,0.08,15.88,37.5
16,16,u,16.0,16.14,1,0.1400000000000005,0.1400000000000005,0.0799999999999983,16.07,7.142857142857117
17,17,k,16.22,16.38,1,0.1600000000000001,0.1600000000000001,0.6400000000000006,16.299999999999997,6.2499999999999964
18,18,it,17.02,17.22,2,0.1999999999999993,0.0999999999999996,0.0199999999999995,17.119999999999997,10.000000000000036
19,19,is,17.24,17.52,2,0.2800000000000011,0.1400000000000005,0.9400000000000012,17.38,7.142857142857116
20,20,what's,18.46,18.64,6,0.1799999999999997,0.0299999999999999,0.0599999999999987,18.55,33.33333333333339
21,21,face,18.7,18.92,4,0.2200000000000024,0.0550000000000006,0.0199999999999995,18.81,18.181818181817984
22,22,is,18.94,19.04,2,0.0999999999999978,0.0499999999999989,0.0399999999999991,18.99,20.00000000000044
23,23,wonderful,19.08,19.52,9,0.4400000000000013,0.048888888888889,0.0199999999999995,19.3,20.454545454545396
24,24,to,19.54,19.6,2,0.0600000000000022,0.0300000000000011,0.0399999999999991,19.57,33.333333333332114
