,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude
0,0,i,14.61,14.73,100.0,0.12,1,0.7692307692307692,0.0,0.49691563535268246
1,1,met,14.73,14.94,100.0,0.21,3,0.3846153846153845,0.0,0.47905558212213156
2,2,a,14.94,15.0,100.0,0.06,1,0.30769230769230765,0.02999999999999936,0.2550840578030566
3,3,traveller,15.03,15.54,100.0,0.51,9,0.28205128205128205,0.030000000000001137,0.37411004588874947
4,4,from,15.57,15.75,100.0,0.18,4,0.1923076923076923,0.0,0.4298531678705975
5,5,the,15.75,15.84,100.0,0.09,3,0.07692307692307691,0.0,0.48750180199682924
6,6,antique,15.84,16.32,100.0,0.48,7,0.37362637362637363,0.0,0.3754926777889622
7,7,land,16.32,16.77,100.0,0.45,4,0.7115384615384615,0.0,0.3809943139705911
8,8,who,16.77,16.89,100.0,0.12,3,0.15384615384615385,0.0,0.32591204566014514
9,9,said,16.89,17.31,100.0,0.42,4,0.6538461538461537,0.5700000000000003,0.325591585694596
10,10,too,17.88,18.24,83.9807,0.36,3,0.7692307692307692,0.08999999999999986,0.4710880916577868
11,11,fast,18.33,18.9,100.0,0.57,4,0.9423076923076922,0.0,0.4438567460641288
12,12,and,18.9,19.02,100.0,0.12,3,0.15384615384615385,0.0,0.3527028248159722
13,13,trunk,19.02,19.41,100.0,0.39,5,0.4461538461538461,0.0,0.34742327299634873
14,14,less,19.41,19.589308,89.1598,0.179308,4,0.19097692307692304,0.0,0.488299463859906
15,15,legs,19.589308,19.95,100.0,0.360692,4,0.5397923076923077,0.0,0.35447565086374744
16,16,of,19.95,20.07,100.0,0.12,2,0.30769230769230765,0.0,0.3483483927966661
17,17,stone,20.07,20.58,100.0,0.51,5,0.6307692307692307,0.030000000000001137,0.48485188838665
18,18,stand,20.61,21.03,100.0,0.42,5,0.49230769230769217,0.0,0.40628297524524104
19,19,in,21.03,21.12,100.0,0.09,2,0.1923076923076923,0.0,0.4357222713890154
20,20,the,21.12,21.18,54.1292,0.06,3,0.0,0.0,0.24299084828285214
21,21,desert,21.18,21.66,100.0,0.48,6,0.4615384615384615,0.9899999999999984,0.19193435481622298
22,22,near,22.65,22.92,100.0,0.27,4,0.36538461538461536,0.0,0.6625861336371264
23,23,them,22.92,23.1,100.0,0.18,4,0.1923076923076923,0.0,0.2624485114873261
24,24,on,23.1,23.25,100.0,0.15,2,0.423076923076923,0.0,0.4221778525206893
25,25,the,23.25,23.34,100.0,0.09,3,0.07692307692307691,0.0,0.3411968627983913
26,26,sand,23.34,23.88,100.0,0.54,4,0.8846153846153846,0.0,0.39737602380167614
27,27,half,23.88,24.27,100.0,0.39,4,0.5961538461538461,0.0,0.2315769876129406
28,28,sunk,24.27,24.78,100.0,0.51,4,0.8269230769230769,0.23999999999999844,0.32161162641652613
29,29,a,25.02,25.11,100.0,0.09,1,0.5384615384615384,0.0,0.1812192491163037
30,30,shattered,25.11,25.59,100.0,0.48,9,0.25641025641025633,0.0,0.34997266531512433
31,31,visage,25.59,26.04,100.0,0.45,6,0.423076923076923,0.0,0.30927724221232017
32,32,lies,26.04,26.61,100.0,0.57,4,0.9423076923076922,0.6900000000000013,0.32626733023998433
33,33,whose,27.3,27.57,100.0,0.27,5,0.26153846153846155,0.0,0.3123718541439283
34,34,frown,27.57,28.2,100.0,0.63,5,0.8153846153846154,0.15000000000000213,0.36013159649552384
35,35,and,28.35,28.53,100.0,0.18,3,0.30769230769230765,0.0,0.5118461199866775
36,36,wrinkled,28.53,28.98,100.0,0.45,8,0.27884615384615385,0.0,0.4061469725718453
37,37,lip,28.98,29.37,100.0,0.39,3,0.8461538461538461,0.4499999999999993,0.3156493454374321
38,38,and,29.82,30.0,100.0,0.18,3,0.30769230769230765,0.0,0.4357460016171135
39,39,sneer,30.0,30.57,100.0,0.57,5,0.723076923076923,0.0,0.5445380911344458
40,40,of,30.57,30.72,100.0,0.15,2,0.423076923076923,0.030000000000001137,0.08407511260002495
41,41,cold,30.75,31.14,100.0,0.39,4,0.5961538461538461,0.0,0.37416768893225155
42,42,command,31.14,31.77,100.0,0.63,7,0.5384615384615384,0.08999999999999986,0.30901664812275614
43,43,tell,31.86,32.28,100.0,0.42,4,0.6538461538461537,0.0,0.268348458744841
44,44,that,32.28,32.49,100.0,0.21,4,0.25,0.0,0.08041283261082412
45,45,it's,32.49,32.61,100.0,0.12,4,0.07692307692307691,0.0,0.24656685101651518
46,46,sculptor,32.61,33.12,100.0,0.51,8,0.3365384615384615,0.0,0.307949208842782
47,47,well,33.12,33.48,100.0,0.36,4,0.5384615384615384,0.0,0.32521889823249384
48,48,those,33.48,33.72,100.0,0.24,5,0.21538461538461537,0.0,0.11941396728992755
49,49,passions,33.72,34.2,100.0,0.48,8,0.30769230769230765,0.0,0.11119196194745849
50,50,read,34.2,34.53,100.0,0.33,4,0.4807692307692307,0.0,0.11737434946950336
51,51,which,34.53,34.74,100.0,0.21,5,0.16923076923076918,0.0,0.0
52,52,yet,34.74,34.98,100.0,0.24,3,0.4615384615384615,0.0,0.145562571461609
53,53,survive,34.98,35.64,100.0,0.66,7,0.5714285714285714,0.7199999999999989,0.12276850263028637
54,54,stamped,36.36,37.02,100.0,0.66,7,0.5714285714285714,0.0,0.3149835034749653
55,55,on,37.02,37.14,100.0,0.12,2,0.30769230769230765,0.0,0.25770741506829103
56,56,these,37.14,37.32,100.0,0.18,5,0.12307692307692304,0.0,0.17710285419378463
57,57,lifeless,37.32,38.01,100.0,0.69,8,0.5096153846153845,0.0,0.28401996162657084
58,58,things,38.01,38.58,100.0,0.57,6,0.5769230769230768,0.8100000000000023,0.43207914107022255
59,59,the,39.39,39.54,100.0,0.15,3,0.23076923076923073,0.0,0.4765781166690644
60,60,hand,39.54,39.99,100.0,0.45,4,0.7115384615384615,0.0,0.6493633969573909
61,61,that,39.99,40.17,100.0,0.18,4,0.1923076923076923,0.0,0.33355209849624207
62,62,mocked,40.17,40.62,100.0,0.45,6,0.423076923076923,0.0,0.4294518028322963
63,63,them,40.62,40.83,100.0,0.21,4,0.25,0.0,0.42076791759116067
64,64,and,40.83,40.92,77.2929,0.09,3,0.07692307692307691,0.0,0.4189918122129919
65,65,the,40.92,40.98,100.0,0.06,3,0.0,0.0,0.21557517312044278
66,66,heart,40.98,41.37,100.0,0.39,5,0.4461538461538461,0.030000000000001137,0.2727223503206778
67,67,that,41.4,41.58,100.0,0.18,4,0.1923076923076923,0.0,0.2082441751675902
68,68,fed,41.58,42.03,100.0,0.45,3,1.0,1.6799999999999997,0.2973633018141812
69,69,and,43.71,43.89,100.0,0.18,3,0.30769230769230765,0.0,0.48031884781671963
70,70,on,43.89,44.04,100.0,0.15,2,0.423076923076923,0.0,0.8090903779352822
71,71,the,44.04,44.13,100.0,0.09,3,0.07692307692307691,0.0,0.4562071206417997
72,72,pedestal,44.13,44.73,100.0,0.6,8,0.423076923076923,0.0,0.3808906790072251
73,73,these,44.73,45.12,100.0,0.39,5,0.4461538461538461,0.0,0.34099364799092347
74,74,words,45.12,45.48,100.0,0.36,5,0.3999999999999999,0.0,0.2795210058089597
75,75,appear,45.48,45.99,100.0,0.51,6,0.5,1.0799999999999983,0.1074021144654277
76,76,my,47.07,47.34,100.0,0.27,2,0.8846153846153846,0.0,0.3609892850311775
77,77,name,47.34,47.85,100.0,0.51,4,0.8269230769230769,0.030000000000001137,0.5951516667125173
78,78,is,47.88,48.09,100.0,0.21,2,0.6538461538461537,0.02999999999999403,0.39357044567369043
79,79,ozymandias,48.12,48.96,100.0,0.84,10,0.49230769230769217,0.0899999999999963,0.4869739016766805
80,80,king,49.05,49.44,100.0,0.39,4,0.5961538461538461,0.0,0.4580864336786807
81,81,of,49.44,49.65,100.0,0.21,2,0.6538461538461537,0.0,0.28448831126026924
82,82,kings,49.65,50.37,100.0,0.72,5,0.9538461538461537,0.6300000000000026,0.3291251034160624
83,83,look,51.0,51.3,100.0,0.3,4,0.423076923076923,0.0,0.5525081035672368
84,84,on,51.3,51.51,100.0,0.21,2,0.6538461538461537,0.0,1.0
85,85,my,51.51,51.69,100.0,0.18,2,0.5384615384615384,0.0,0.5871172796777995
86,86,works,51.69,52.2,100.0,0.51,5,0.6307692307692307,0.0,0.5365832974583036
87,87,ye,52.2,52.35,100.0,0.15,2,0.423076923076923,0.0,0.5238084804240069
88,88,mighty,52.35,52.92,100.0,0.57,6,0.5769230769230768,0.030000000000001137,0.4439170919591081
89,89,and,52.95,53.1,100.0,0.15,3,0.23076923076923073,0.0,0.3964513287093783
90,90,despair,53.1,53.94,100.0,0.84,7,0.7692307692307692,1.5,0.4749273930971749
91,91,nothing,55.44,55.98,100.0,0.54,7,0.4395604395604396,0.0,0.2540563386530828
92,92,beside,55.98,56.43,100.0,0.45,6,0.423076923076923,0.0,0.2860079251675439
93,93,remains,56.43,57.15,100.0,0.72,7,0.6373626373626373,0.9299999999999997,0.21920822133412837
94,94,round,58.08,58.35,100.0,0.27,5,0.26153846153846155,0.0,0.45218525761154016
95,95,the,58.35,58.41,100.0,0.06,3,0.0,0.0,0.21445362807770962
96,96,decay,58.41,58.89,100.0,0.48,5,0.5846153846153845,0.0,0.22244167022867084
97,97,of,58.89,59.04,100.0,0.15,2,0.423076923076923,0.0,0.14575638129174764
98,98,that,59.04,59.25,100.0,0.21,4,0.25,0.0,0.16051908030750076
99,99,colossal,59.25,59.79,100.0,0.54,8,0.36538461538461536,0.0,0.32732354037515843
100,100,wreck,59.79,60.21,100.0,0.42,5,0.49230769230769217,0.4200000000000017,0.18489263655653312
101,101,boundless,60.63,61.26,100.0,0.63,9,0.38461538461538464,0.0,0.38546350075413716
102,102,and,61.26,61.41,100.0,0.15,3,0.23076923076923073,0.030000000000001137,0.4300223656936705
103,103,beth,61.44,61.95,67.5575,0.51,4,0.8269230769230769,0.038312999999995156,0.2584806002099876
104,104,lone,61.988313,62.58,100.0,0.591687,4,0.9840134615384615,0.030000000000001137,0.4117217835699465
105,105,and,62.61,62.82,100.0,0.21,3,0.3846153846153845,0.0,0.4055822388375397
106,106,level,62.82,63.24,100.0,0.42,5,0.49230769230769217,0.0,0.3992006229064465
107,107,sands,63.24,63.78,100.0,0.54,5,0.676923076923077,0.030000000000001137,0.43144418817280084
108,108,stretch,63.81,64.26,100.0,0.45,7,0.34065934065934067,0.0,0.23581182752852925
109,109,far,64.26,64.62,100.0,0.36,3,0.7692307692307692,0.0,0.12823271870992822
110,110,away,64.62,65.13,100.0,0.51,4,0.8269230769230769,0.0,0.16688062301768228
