,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,3.99,4.08,100.0,0.09,1,0.09,0.0,0.36729052876231755,4.035,99.71719215588212
1,1,1,met,4.08,4.26,100.0,0.18,3,0.06,0.0,0.5638236405078699,4.17,97.47493346710915
2,2,2,a,4.26,4.35,100.0,0.09,1,0.09,0.0,0.2967425063254558,4.305,93.21860302028688
3,3,3,traveller,4.35,5.01,100.0,0.66,9,0.07333333333333333,0.15000000000000036,0.3338962355975606,4.68,90.49011865124895
4,4,4,from,5.16,5.37,100.0,0.21,4,0.0525,0.0,0.131360866008542,5.265000000000001,84.87516728227455
5,5,5,an,5.37,5.46,100.0,0.09,2,0.045,0.0,0.2431787910545368,5.415,83.20883565811437
6,6,6,antique,5.46,5.97,100.0,0.51,7,0.07285714285714286,0.0,0.16170760208614365,5.715,82.66190344712966
7,7,7,land,5.97,6.45,100.0,0.48,4,0.12,0.0,0.19707379535329292,6.21,78.56016662379785
8,8,8,who,6.45,6.6,100.0,0.15,3,0.049999999999999996,0.0,0.14666851409737336,6.525,80.24606388894587
9,9,9,said,6.6,7.05,100.0,0.45,4,0.1125,0.7800000000000002,0.2108492456172313,6.824999999999999,109.37311572152912
10,10,10,two,7.83,8.1,100.0,0.27,3,0.09000000000000001,0.0,0.48664824869764,7.965,114.76787383329692
11,11,11,vast,8.1,8.61,100.0,0.51,4,0.1275,0.0,0.5128970465953593,8.355,87.9545649040137
12,12,12,and,8.61,8.73,100.0,0.12,3,0.04,0.0,0.18434376502565186,8.67,76.36768415974362
13,13,13,trunk,8.73,9.03,100.0,0.3,5,0.06,0.0,0.20456396864976054,8.879999999999999,89.39252509414499
14,14,14,lists,9.03,9.24,62.0029,0.21,5,0.041999999999999996,0.011398999999999049,0.17144874167393667,9.135,82.93140950317738
15,15,15,legs,9.251399,9.6,100.0,0.348601,4,0.08715025,0.0,0.2459335984620275,9.4256995,80.3967661764766
16,16,16,of,9.6,9.72,100.0,0.12,2,0.06,0.0,0.15290369552297406,9.66,
17,17,17,stone,9.72,10.14,100.0,0.42,5,0.08399999999999999,0.0,0.1979162674922696,9.93,81.83178440623081
18,18,18,stand,10.14,10.5,100.0,0.36,5,0.072,0.0,0.19880151439552157,10.32,79.58851646827216
19,19,19,in,10.5,10.62,100.0,0.12,2,0.06,0.0,0.10308950525657666,10.56,70.93624407349371
20,20,20,the,10.62,10.71,100.0,0.09,3,0.03,0.0,0.1283708064825726,10.665,79.67405098677541
21,21,21,desert,10.71,11.28,100.0,0.57,6,0.09499999999999999,0.9000000000000004,0.17342288258010702,10.995,75.98943616949096
22,22,22,near,12.18,12.39,100.0,0.21,4,0.0525,0.0,0.33573020625107897,12.285,101.61773906421628
23,23,23,them,12.39,12.69,100.0,0.3,4,0.075,0.0,0.19122934692656576,12.54,73.17926891435565
24,24,24,on,12.69,12.81,100.0,0.12,2,0.06,0.0,0.136731661732266,12.75,73.70812140379327
25,25,25,the,12.81,12.9,100.0,0.09,3,0.03,0.0,0.15313209953765625,12.855,70.03962080584577
26,26,26,sand,12.9,13.47,100.0,0.57,4,0.1425,0.4499999999999993,0.20066753646969063,13.185,78.57230139681681
27,27,27,half,13.92,14.25,100.0,0.33,4,0.0825,0.0,0.3290530030322593,14.085,100.59040580795593
28,28,28,sunk,14.25,14.64,100.0,0.39,4,0.0975,0.0,0.2657201836411773,14.445,80.93733178726644
29,29,29,a,14.64,14.73,100.0,0.09,1,0.09,0.0,0.22468423734379595,14.685,94.2651920417427
30,30,30,shattered,14.73,15.24,100.0,0.51,9,0.05666666666666667,0.0,0.3361413858618504,14.985,80.5450780130356
31,31,31,visage,15.24,15.72,100.0,0.48,6,0.08,0.0,0.24293769198266874,15.48,96.0350046522352
32,32,32,lies,15.72,16.32,100.0,0.6,4,0.15,0.4800000000000004,0.295906633428746,16.02,73.64434514818164
33,33,33,whose,16.8,17.04,100.0,0.24,5,0.048,0.0,0.23354514642137875,16.92,97.77803270007406
34,34,34,frown,17.04,17.55,100.0,0.51,5,0.10200000000000001,0.0,0.5140888659854846,17.295,84.23664006759456
35,35,35,and,17.55,17.67,100.0,0.12,3,0.04,0.0,0.12155869409443894,17.61,72.84535707737213
36,36,36,wrinkled,17.67,18.06,100.0,0.39,8,0.04875,0.0,0.2507534892766392,17.865000000000002,80.9973380078261
37,37,37,lip,18.06,18.51,100.0,0.45,3,0.15,0.2699999999999996,0.20966464276996982,18.285,95.27351031513102
38,38,38,and,18.78,18.96,100.0,0.18,3,0.06,0.0,0.21215870920350083,18.87,91.5608297383262
39,39,39,sneer,18.96,19.44,100.0,0.48,5,0.096,0.0,0.33511058545205724,19.200000000000003,85.44059474435433
40,40,40,of,19.44,19.56,100.0,0.12,2,0.06,0.0,0.06843261422581812,19.5,73.32169731569813
41,41,41,cold,19.56,19.95,100.0,0.39,4,0.0975,0.0,0.30447521169083,19.755,101.84461102855367
42,42,42,command,19.95,20.52,100.0,0.57,7,0.08142857142857142,0.4200000000000017,0.2862159722460646,20.235,77.834962565023
43,43,43,tell,20.94,21.18,100.0,0.24,4,0.06,0.0,0.4531084126347469,21.06,135.78925854104148
44,44,44,that,21.18,21.36,100.0,0.18,4,0.045,0.0,0.4694503559793606,21.27,95.88186321909207
45,45,45,it's,21.36,21.54,100.0,0.18,4,0.045,0.0,0.2866584724896544,21.45,179.54951712618015
46,46,46,sculptor,21.54,22.11,100.0,0.57,8,0.07125,0.0,0.28601715217602763,21.825,87.23021504968428
47,47,47,well,22.11,22.35,100.0,0.24,4,0.06,0.0,0.5744800059676392,22.23,83.87936639657045
48,48,48,those,22.35,22.59,100.0,0.24,5,0.048,0.0,0.2167561370867188,22.47,76.33757983513455
49,49,49,passions,22.59,23.13,100.0,0.54,8,0.0675,0.0,0.16879947455081837,22.86,80.53846797032875
50,50,50,read,23.13,23.43,100.0,0.3,4,0.075,0.0,0.28362981441828355,23.28,79.58527613405859
51,51,51,which,23.43,23.64,100.0,0.21,5,0.041999999999999996,0.0,0.11142668309442223,23.535,75.90013177778411
52,52,52,he,23.64,23.76,100.0,0.12,2,0.06,0.0,0.4251232802130779,23.700000000000003,91.78151120548557
53,53,53,he,23.76,23.789667,83.5399,0.029667,2,0.0148335,0.0,0.3657586343282027,23.7748335,88.59331883092821
54,54,54,has,23.789667,23.94,89.5789,0.150333,3,0.050110999999999996,0.0,0.16286836107171487,23.864833500000003,
55,55,55,survive,23.94,24.57,100.0,0.63,7,0.09,0.6000000000000014,0.26693979818267993,24.255000000000003,79.38154603694129
56,56,56,stamped,25.17,25.8,100.0,0.63,7,0.09,0.0,0.16577261826157172,25.485,78.00924487841246
57,57,57,on,25.8,25.95,100.0,0.15,2,0.075,0.0,0.17836072813574716,25.875,73.53758652362049
58,58,58,these,25.95,26.19,100.0,0.24,5,0.048,0.0,0.12425433794199155,26.07,77.28888914096969
59,59,59,lifeless,26.19,26.82,100.0,0.63,8,0.07875,0.0,0.19674808880582,26.505000000000003,113.41298973961553
60,60,60,things,26.82,27.45,100.0,0.63,6,0.105,0.4800000000000004,0.09519578010722153,27.135,74.15070105953158
61,61,61,a,27.93,28.02,90.5858,0.09,1,0.09,0.002822999999999354,0.08893913874875481,27.975,
62,62,62,hand,28.022823,28.41,100.0,0.387177,4,0.09679425,0.0,0.4046583899180981,28.2164115,82.70835757644808
63,63,63,that,28.41,28.53,100.0,0.12,4,0.03,0.0,0.13602207081737314,28.47,99.34664384045806
