,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,2.67,2.82,100.0,0.15,1,0.15,0.0,0.6088558454274666,2.745,78.19839663713145
1,1,1,met,2.82,3.03,100.0,0.21,3,0.06999999999999999,0.0,0.5236425249840615,2.925,84.81576139128816
2,2,2,a,3.03,3.09,100.0,0.06,1,0.06,0.0,0.27615573011802774,3.06,89.10357608970453
3,3,3,traveller,3.09,3.69,100.0,0.6,9,0.06666666666666667,0.0,0.4318454816122455,3.39,78.51518488195894
4,4,4,from,3.69,3.96,100.0,0.27,4,0.0675,0.0,0.7590476281630211,3.825,
5,5,5,an,3.96,4.08,100.0,0.12,2,0.06,0.0,0.6770067871050328,4.02,
6,6,6,antique,4.08,4.59,100.0,0.51,7,0.07285714285714286,0.0,0.5032150041499729,4.335,64.31212404426628
7,7,7,land,4.59,5.04,100.0,0.45,4,0.1125,0.0,0.3643846744503661,4.815,
8,8,8,who,5.04,5.16,100.0,0.12,3,0.04,0.0,0.13297329612756306,5.1,
9,9,9,said,5.16,5.55,100.0,0.39,4,0.0975,0.6600000000000001,0.28885552152492855,5.355,114.25904409450753
10,10,10,two,6.21,6.45,100.0,0.24,3,0.08,0.0,0.5573868172509514,6.33,111.03549618565972
11,11,11,vast,6.45,7.17,100.0,0.72,4,0.18,0.0,0.3373778656086948,6.8100000000000005,85.88833775574598
12,12,12,and,7.17,7.35,100.0,0.18,3,0.06,0.0600000000000005,0.22840411559848905,7.26,87.97406712487673
13,13,13,trunk,7.41,7.77,100.0,0.36,5,0.072,0.0,0.6654983126489342,7.59,
14,14,14,lists,7.77,8.01,95.5073,0.24,5,0.048,0.0,0.5283440076494433,7.89,
15,15,15,legs,8.01,8.52,100.0,0.51,4,0.1275,0.0,0.4003483277623827,8.265,77.2623253088397
16,16,16,of,8.52,8.67,100.0,0.15,2,0.075,0.0,0.19997018682630494,8.594999999999999,
17,17,17,stone,8.67,9.27,100.0,0.6,5,0.12,0.0,0.35899014867658285,8.969999999999999,85.52470064219429
18,18,18,stand,9.27,9.81,100.0,0.54,5,0.10800000000000001,0.0,0.7309474513977476,9.54,70.30925760058997
19,19,19,in,9.81,9.93,100.0,0.12,2,0.06,0.0,0.45146609185088643,9.87,69.97867902962558
20,20,20,the,9.93,10.05,100.0,0.12,3,0.04,0.0,0.32440643283926546,9.99,
21,21,21,desert,10.05,10.56,100.0,0.51,6,0.085,0.7199999999999989,0.25142206483278806,10.305,66.54067427574492
22,22,22,near,11.28,11.58,100.0,0.3,4,0.075,0.0,1.0,11.43,
23,23,23,them,11.58,12.0,100.0,0.42,4,0.105,0.11999999999999922,0.5454258330776491,11.79,
24,24,24,on,12.12,12.3,100.0,0.18,2,0.09,0.0,0.5661295337950482,12.21,70.22454064456896
25,25,25,the,12.3,12.39,100.0,0.09,3,0.03,0.0,0.4151051455518273,12.345,71.19058553008053
26,26,26,sand,12.39,13.05,100.0,0.66,4,0.165,0.14999999999999858,0.43479591657003225,12.72,77.58750609893517
27,27,27,half,13.2,13.47,100.0,0.27,4,0.0675,0.0,0.9317668527128615,13.335,
28,28,28,sunk,13.47,13.98,100.0,0.51,4,0.1275,0.17999999999999972,0.4944989360410096,13.725,
29,29,29,a,14.16,14.22,100.0,0.06,1,0.06,0.0,0.43386746011541444,14.19,
30,30,30,shattered,14.22,14.76,100.0,0.54,9,0.060000000000000005,0.0,0.45645180519862655,14.49,89.72193264196606
