,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,i,10.66,10.76,1,0.09999999999999964,0.09999999999999964,10.000000000000036,0.120000000000001
1,met,10.88,11.12,3,0.23999999999999844,0.07999999999999947,12.500000000000082,0.02000000000000135
2,a,11.14,11.18,1,0.03999999999999915,0.03999999999999915,25.000000000000533,0.09999999999999964
3,traveller,11.28,11.7,9,0.41999999999999993,0.04666666666666666,21.42857142857143,0.0600000000000005
4,from,11.76,11.9,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.019999999999999574
5,an,11.92,11.98,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.03999999999999915
6,antique,12.02,12.54,7,0.5199999999999996,0.07428571428571422,13.461538461538472,0.0600000000000005
7,land,12.6,13.16,4,0.5600000000000005,0.14000000000000012,7.142857142857136,0.03999999999999915
8,who,13.2,13.34,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.08000000000000007
9,said,13.42,13.76,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.9000000000000004
10,two,14.66,14.92,3,0.2599999999999998,0.0866666666666666,11.538461538461547,0.1999999999999993
11,vast,15.12,15.76,4,0.6400000000000006,0.16000000000000014,6.249999999999995,0.0600000000000005
12,and,15.82,15.92,3,0.09999999999999964,0.033333333333333215,30.000000000000107,0.1800000000000015
13,strengthless,16.1,16.7,12,0.5999999999999979,0.04999999999999982,20.00000000000007,0.10000000000000142
14,legs,16.8,17.28,4,0.4800000000000004,0.1200000000000001,8.333333333333327,0.019999999999999574
15,of,17.3,17.38,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.10000000000000142
16,stones,17.48,18.12,6,0.6400000000000006,0.10666666666666676,9.374999999999991,0.17999999999999972
17,standing,18.3,18.8,8,0.5,0.0625,16.0,0.0
18,in,18.8,18.82,2,0.019999999999999574,0.009999999999999787,100.00000000000213,0.03999999999999915
19,the,18.86,18.94,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.0799999999999983
20,desert,19.02,19.44,6,0.4200000000000017,0.07000000000000028,14.285714285714228,1.1600000000000001
21,near,20.6,20.86,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274
22,them,20.92,21.1,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.11999999999999744
23,on,21.22,21.34,2,0.120000000000001,0.0600000000000005,16.66666666666653,0.03999999999999915
24,the,21.38,21.44,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.0799999999999983
25,sand,21.52,22.16,4,0.6400000000000006,0.16000000000000014,6.249999999999995,0.4400000000000013
26,half,22.6,22.92,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.09999999999999787
27,sank,23.02,23.46,4,0.4400000000000013,0.11000000000000032,9.090909090909065,0.5399999999999991
28,a,24.0,24.08,1,0.0799999999999983,0.0799999999999983,12.500000000000266,0.10000000000000142
29,shattered,24.18,24.54,9,0.35999999999999943,0.03999999999999994,25.00000000000004,0.03999999999999915
30,visit,24.58,24.86,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.060000000000002274
31,lies,24.92,25.48,4,0.5599999999999987,0.13999999999999968,7.142857142857159,0.5199999999999996
32,was,26.0,26.14,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.05999999999999872
33,frown,26.2,26.68,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.019999999999999574
34,and,26.7,26.78,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.05999999999999872
35,wrinkled,26.84,27.24,8,0.3999999999999986,0.04999999999999982,20.00000000000007,0.060000000000002274
36,lip,27.3,27.56,3,0.259999999999998,0.086666666666666,11.538461538461627,0.0400000000000027
