,Unnamed: 0,Unnamed: 0.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,amplitude2,time
0,0,0,i,1.44,1.92,100.0,0.48,1,1.0,0.06,0.5485216939356624,0.6413447555547558,1.68
1,1,1,met,1.98,2.25,100.0,0.27,3,0.1333333333333357,0.0,0.3208187508669539,0.3834001202119202,2.115
2,2,2,a,2.25,2.34,100.0,0.0899999999999998,1,0.1333333333333352,0.0300000000000002,0.1544324660105311,0.22984071461170516,2.295
3,3,3,traveller,2.37,2.88,100.0,0.5099999999999998,9,0.0592592592592617,0.0,0.2132040285936157,0.3996575683171803,2.625
4,4,4,from,2.88,3.24,100.0,0.3600000000000003,4,0.1333333333333358,0.0,0.1545610704254712,0.34725752881163363,3.06
5,5,5,an,3.24,3.42,100.0,0.1799999999999997,2,0.1333333333333353,0.0899999999999998,0.243278408481002,0.2610424001948,3.33
6,6,6,antique,3.51,4.23,100.0,0.7200000000000006,7,0.1619047619047644,0.0,0.27450102178138,0.36281134794369946,3.87
7,7,7,land,4.23,4.89,100.0,0.6599999999999993,4,0.3000000000000015,0.7200000000000006,0.1520392535270376,0.28450194354318925,4.5600000000000005
8,8,8,who,5.61,5.88,100.0,0.2699999999999996,3,0.1333333333333354,0.0,0.2861294640449517,0.32513952175387295,5.745
9,9,9,said,5.88,6.42,100.0,0.54,4,0.2333333333333354,1.08,0.3555103576383631,0.46140582603438757,6.15
10,10,10,two,7.5,7.95,72.2581,0.4500000000000002,3,0.2666666666666688,0.0,0.5873551715968476,0.6457646308556548,7.725
11,11,11,vast,7.95,8.73,100.0,0.7800000000000002,4,0.3666666666666685,0.0,0.3155686831602096,0.483780642583763,8.34
12,12,12,and,8.73,8.88,100.0,0.1500000000000003,3,0.0444444444444472,0.0599999999999987,0.3559326812284384,0.3246543286662948,8.805
13,13,13,tranquil,8.94,9.45,100.0,0.5099999999999998,8,0.0750000000000024,0.0600000000000005,0.2251001266988401,0.3719489349746537,9.195
14,14,14,legs,9.51,9.96,100.0,0.450000000000001,4,0.1833333333333361,0.0,0.1858023013198416,0.3111478950761776,9.735
15,15,15,of,9.96,10.11,100.0,0.1499999999999985,2,0.1000000000000008,0.0,0.1174131962831256,0.22457625944559786,10.035
16,16,16,stone,10.11,10.83,100.0,0.7200000000000006,5,0.2533333333333357,0.0,0.2655281562885979,0.3333016325527597,10.469999999999999
17,17,17,stand,10.83,11.55,100.0,0.7200000000000006,5,0.2533333333333357,0.0,0.2103825670358079,0.32668570276427966,11.190000000000001
18,18,18,in,11.55,11.73,100.0,0.1799999999999997,2,0.1333333333333353,0.0,0.3255053315900325,0.3075813426079877,11.64
19,19,19,the,11.73,11.85,100.0,0.1199999999999992,3,0.0222222222222243,0.0,0.2032848713815102,0.20683235376388587,11.79
20,20,20,desert,11.85,12.39,100.0,0.5400000000000009,6,0.133333333333336,1.1399999999999988,0.0336670469488934,0.15113850976483617,12.120000000000001
21,21,21,near,13.53,13.86,100.0,0.33,4,0.1166666666666691,0.0,0.4641524371447651,0.550906436548607,13.695
22,22,22,them,13.86,14.25,100.0,0.3900000000000005,4,0.1500000000000026,0.7200000000000006,0.4381812080719687,0.4488641022500903,14.055
23,23,23,on,14.97,15.27,100.0,0.2999999999999989,2,0.2666666666666674,0.0,0.4233024672649335,0.575869093716451,15.120000000000001
24,24,24,the,15.27,15.36,100.0,0.0899999999999998,3,2.590520390792025e-15,0.0,0.3346444950172075,0.32070909118420216,15.315
25,25,25,sand,15.36,16.08,100.0,0.7199999999999989,4,0.3333333333333345,0.75,0.2517586610092442,0.3882830960012533,15.719999999999999
26,26,26,half,16.83,17.19,100.0,0.360000000000003,4,0.1333333333333373,0.0,0.2707822942442902,0.4646135746335641,17.009999999999998
27,27,27,sunk,17.19,17.7,100.0,0.509999999999998,4,0.2166666666666677,0.0,0.2263971747976529,0.3699192985126935,17.445
28,28,28,a,17.7,17.79,100.0,0.0899999999999998,1,0.1333333333333352,0.0,0.1153404584214467,0.25837847644721834,17.744999999999997
29,29,29,shattered,17.79,18.3,100.0,0.5100000000000016,9,0.0592592592592622,0.0,0.132134664045723,0.3011539630536462,18.045
30,30,30,visage,18.3,18.78,100.0,0.4800000000000004,6,0.1111111111111137,0.0,0.1921521209665543,0.310339589008476,18.54
31,31,31,lies,18.78,19.5,100.0,0.7199999999999989,4,0.3333333333333345,0.4499999999999993,0.0563320600419539,0.13568008965310419,19.14
32,32,32,whose,19.95,20.28,100.0,0.3300000000000018,5,0.0800000000000033,0.0,0.0636069374598116,0.16589944335181772,20.115000000000002
33,33,33,frown,20.28,21.06,100.0,0.7799999999999976,5,0.2800000000000009,0.5100000000000016,0.190321304654253,0.27312081986288583,20.67
