,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,1.44,1.92,100.0,0.48,1,0.48,0.06000000000000005,0.6471388130180756,1.68,118.43710466080077
1,1,1,met,1.98,2.25,100.0,0.27,3,0.09000000000000001,0.0,0.3471237817619065,2.115,109.90738791665562
2,2,2,a,2.25,2.34,100.0,0.0899999999999998,1,0.0899999999999998,0.03000000000000025,0.20963112643234633,2.295,117.53262312605062
3,3,3,traveller,2.37,2.88,100.0,0.5099999999999998,9,0.05666666666666664,0.0,0.36312208444017574,2.625,96.97396649288349
4,4,4,from,2.88,3.24,100.0,0.3600000000000003,4,0.09000000000000008,0.0,0.2863538548725003,3.06,103.1589789803833
5,5,5,an,3.24,3.42,100.0,0.1799999999999997,2,0.08999999999999984,0.08999999999999986,0.2721752349191341,3.33,99.04547439908254
6,6,6,antique,3.51,4.23,100.0,0.7200000000000006,7,0.10285714285714295,0.0,0.32891182585961176,3.87,101.72987540289546
7,7,7,land,4.23,4.89,100.0,0.6599999999999993,4,0.1649999999999998,0.7200000000000006,0.24879151883989473,4.5600000000000005,95.24621675315694
8,8,8,who,5.61,5.88,100.0,0.2699999999999996,3,0.08999999999999986,0.0,0.2910247012065116,5.745,107.83161744693108
9,9,9,said,5.88,6.42,100.0,0.54,4,0.135,1.08,0.4358816875615545,6.15,116.80863730843112
10,10,10,two,7.5,7.95,72.2581,0.4500000000000002,3,0.15000000000000005,0.0,0.6187075220374397,7.725,147.89280117369205
11,11,11,vast,7.95,8.73,100.0,0.7800000000000002,4,0.19500000000000006,0.0,0.4485406084122195,8.34,122.89809897362274
12,12,12,and,8.73,8.88,100.0,0.1500000000000003,3,0.0500000000000001,0.05999999999999872,0.3292643625447412,8.805,96.90985506625825
13,13,13,tranquil,8.94,9.45,100.0,0.5099999999999998,8,0.06374999999999997,0.0600000000000005,0.333446251723476,9.195,124.39425886436021
14,14,14,legs,9.51,9.96,100.0,0.450000000000001,4,0.11250000000000025,0.0,0.2854258631938407,9.735,100.80306966468639
15,15,15,of,9.96,10.11,100.0,0.1499999999999985,2,0.07499999999999925,0.0,0.18710527081187533,10.035,101.96021641621027
16,16,16,stone,10.11,10.83,100.0,0.7200000000000006,5,0.14400000000000013,0.0,0.31826096488978955,10.47,98.13547766504075
17,17,17,stand,10.83,11.55,100.0,0.7200000000000006,5,0.14400000000000013,0.0,0.2970123245616914,11.19,98.24614688387943
18,18,18,in,11.55,11.73,100.0,0.1799999999999997,2,0.08999999999999984,0.0,0.30818228361601835,11.64,92.6944445107692
19,19,19,the,11.73,11.85,100.0,0.1199999999999992,3,0.03999999999999974,0.0,0.2200339694291961,11.79,90.66753285969372
20,20,20,desert,11.85,12.39,100.0,0.5400000000000009,6,0.09000000000000015,1.1399999999999988,0.13279133180388522,12.12,90.21846773076247
21,21,21,near,13.53,13.86,100.0,0.33,4,0.0825,0.0,0.5204500653028766,13.695,106.03373724176271
22,22,22,them,13.86,14.25,100.0,0.3900000000000005,4,0.09750000000000013,0.7200000000000006,0.446527862851141,14.055,102.9749157868018
23,23,23,on,14.97,15.27,100.0,0.2999999999999989,2,0.14999999999999944,0.0,0.5341684491499183,15.12,100.00328916429184
24,24,24,the,15.27,15.36,100.0,0.0899999999999998,3,0.029999999999999933,0.0,0.32350707599389195,15.315,101.47021974192253
25,25,25,sand,15.36,16.08,100.0,0.7199999999999989,4,0.17999999999999972,0.75,0.3766914990705141,15.72,97.80699876845716
26,26,26,half,16.83,17.19,100.0,0.360000000000003,4,0.09000000000000075,0.0,0.4097545012076124,17.009999999999998,112.55968453809116
27,27,27,sunk,17.19,17.7,100.0,0.509999999999998,4,0.1274999999999995,0.0,0.3218561513653008,17.445,104.01220002032399
28,28,28,a,17.7,17.79,100.0,0.0899999999999998,1,0.0899999999999998,0.0,0.22808654125976252,17.744999999999997,95.16532996186503
29,29,29,shattered,17.79,18.3,100.0,0.5100000000000016,9,0.05666666666666684,0.0,0.2699018694760952,18.045,101.2144687375176
30,30,30,visage,18.3,18.78,100.0,0.4800000000000004,6,0.08000000000000007,0.0,0.2867968244556944,18.54,92.03941405715068
31,31,31,lies,18.78,19.5,100.0,0.7199999999999989,4,0.17999999999999972,0.4499999999999993,0.1284446286484998,19.14,87.78946382277913
32,32,32,whose,19.95,20.28,100.0,0.3300000000000018,5,0.06600000000000036,0.0,0.13536719855963839,20.115,91.98478745097097
33,33,33,frown,20.28,21.06,100.0,0.7799999999999976,5,0.15599999999999953,0.5100000000000016,0.2596478249747527,20.67,101.37032622548395
34,34,34,and,21.57,21.78,100.0,0.2100000000000008,3,0.07000000000000027,0.0,0.2751769691507754,21.675,99.81396008544453
35,35,35,wrinkled,21.78,22.35,100.0,0.5700000000000003,8,0.07125000000000004,0.0,0.3274059157434659,22.065,100.99020796707867
36,36,36,lip,22.35,22.8,100.0,0.4499999999999993,3,0.14999999999999977,0.7799999999999976,0.26808145823197477,22.575000000000003,102.26887484745362
37,37,37,and,23.58,23.76,100.0,0.1800000000000032,3,0.06000000000000107,0.0,0.31823461963067945,23.67,105.52730785960495
38,38,38,sneer,23.76,24.3,100.0,0.5399999999999991,5,0.10799999999999983,0.0,0.6921329895722467,24.03,105.5702078820426
39,39,39,of,24.3,24.45,100.0,0.1499999999999985,2,0.07499999999999925,0.0,0.22375469545304372,24.375,100.8523131600938
40,40,40,cold,24.45,24.99,100.0,0.5399999999999991,4,0.1349999999999998,0.060000000000002274,0.39270556021531505,24.72,97.69284967951066
41,41,41,command,25.05,25.89,100.0,0.8399999999999999,7,0.11999999999999998,0.5700000000000003,0.28072547623264343,25.47,102.0234303734341
42,42,42,tell,26.46,26.82,100.0,0.3599999999999994,4,0.08999999999999984,0.0,0.48332535812960536,26.64,108.55179250031954
43,43,43,that,26.82,27.03,100.0,0.2100000000000008,4,0.0525000000000002,0.0,0.31239829410097153,26.925,102.79136025007938
44,44,44,it's,27.03,27.24,100.0,0.2099999999999973,4,0.052499999999999325,0.0,0.21329674624611727,27.135,94.4769220828591
45,45,45,sculptor,27.24,27.99,100.0,0.75,8,0.09375,0.75,0.2744055050918347,27.615,102.0335516526288
46,46,46,well,28.74,29.13,100.0,0.3900000000000005,4,0.09750000000000013,0.0,0.5791718865955248,28.935,106.52605501802492
47,47,47,those,29.13,29.49,100.0,0.3599999999999994,5,0.07199999999999987,0.0,0.2384394231011923,29.31,106.16883463138893
48,48,48,passions,29.49,30.06,100.0,0.5700000000000003,8,0.07125000000000004,0.0,0.219706985342598,29.775,90.36153329913786
49,49,49,read,30.06,30.48,100.0,0.4200000000000017,4,0.10500000000000043,0.030000000000001137,0.16900305020680795,30.27,94.68540437526659
