,Word,Start,End,length,time_spent,std_time_spent,pitch,time,post_space,amplitude
0,i,9.36,9.44,1,0.08,0.08,84.71495813588297,9.4,0.08000000000000007,0.32012303926711017
1,met,9.52,9.68,3,0.16,0.05333333333333334,104.94923097229025,9.6,0.019999999999999574,0.4581139650102937
2,a,9.7,9.74,1,0.04,0.04,138.64222922689893,9.72,0.0600000000000005,0.7808675953682059
3,traveler,9.8,10.26,8,0.46,0.0575,101.06853707327747,10.03,0.08000000000000007,0.6727220007030753
4,from,10.34,10.48,4,0.14,0.035,104.13029795274177,10.41,0.019999999999999574,0.526509743035815
5,an,10.5,10.58,2,0.08,0.04,88.40580027126079,10.54,0.019999999999999574,0.7551646843068961
6,antique,10.6,11.06,7,0.46,0.06571428571428571,105.7381326260035,10.83,0.08000000000000007,0.5779301927321583
7,land,11.14,11.62,4,0.48,0.12,87.20136828760317,11.38,0.6600000000000001,0.57779451126104
8,who,12.28,12.4,3,0.12,0.04,104.6464849836791,12.34,0.08000000000000007,0.573527702491198
9,said,12.48,12.8,4,0.32,0.08,85.91061544198591,12.64,0.6600000000000001,0.6267355025167831
10,two,13.46,13.66,3,0.2,0.06666666666666667,107.37117457195224,13.56,0.09999999999999964,0.7180186824492832
11,vast,13.76,14.2,4,0.44,0.11,106.00148411027726,13.98,0.040000000000000924,0.6634635844751943
12,and,14.24,14.34,3,0.1,0.03333333333333333,90.37444116896546,14.29,0.08000000000000007,0.6371088598048213
13,trunkless,14.42,15.04,9,0.62,0.06888888888888889,101.90669671411221,14.73,0.10000000000000142,0.4781143125840868
14,legs,15.14,15.48,4,0.34,0.085,92.477004034929,15.31,0.019999999999999574,0.5506304049050742
15,of,15.5,15.58,2,0.08,0.04,82.72255418245027,15.54,0.08000000000000007,0.37227613021829653
16,stone,15.66,16.24,5,0.58,0.11599999999999999,90.57681418993985,15.95,0.46000000000000085,0.556918165327966
17,stand,16.7,17.06,5,0.36,0.072,98.82839179767241,16.88,0.019999999999999574,0.6745344405182021
18,in,17.08,17.14,2,0.06,0.03,85.90923813624052,17.11,0.03999999999999915,0.8117877043171317
19,the,17.18,17.24,3,0.06,0.02,84.36613057561183,17.21,0.0400000000000027,0.7746850472121576
20,desert,17.28,17.68,6,0.4,0.06666666666666667,93.39207294336015,17.48,1.2199999999999989,0.45437850127088025
21,near,18.9,19.08,4,0.18,0.045,115.17355329138948,18.99,0.0400000000000027,0.9241225458082726
22,them,19.12,19.26,4,0.14,0.035,98.13052544452502,19.19,0.05999999999999872,0.8828512637939541
23,on,19.32,19.4,2,0.08,0.04,91.10972270863964,19.36,0.020000000000003126,0.7637724415544057
24,the,19.42,19.48,3,0.06,0.02,91.75093900473749,19.45,0.0799999999999983,0.6552873032123135
25,sand,19.56,20.08,4,0.52,0.13,87.25732940386577,19.82,0.360000000000003,0.517505047953866
26,half,20.44,20.76,4,0.32,0.08,103.79918417673508,20.6,0.05999999999999872,0.6280373119848757
27,sunk,20.82,21.22,4,0.4,0.1,91.9905234995348,21.02,0.5600000000000023,0.4601497749174136
28,a,21.78,21.88,1,0.1,0.1,,21.83,0.10000000000000142,0.4346156416958377
29,shattered,21.98,22.38,9,0.4,0.044444444444444446,95.38863539715408,22.18,0.0400000000000027,0.5258742241791257
30,visage,22.42,22.8,6,0.38,0.06333333333333334,91.18154540430966,22.61,0.05999999999999872,0.5915992137093296
31,lies,22.86,23.36,4,0.5,0.125,83.78058108307806,23.11,0.8599999999999994,0.5953163871360507
32,who's,24.22,24.46,5,0.24,0.048,103.26652770552805,24.34,0.0799999999999983,0.539494898931441
33,frown,24.54,25.02,5,0.48,0.096,96.85591028582203,24.78,0.03999999999999915,0.7251668918397648
34,and,25.06,25.16,3,0.1,0.03333333333333333,85.58381979746156,25.11,0.0799999999999983,0.63380164187497
35,rickled,25.24,25.64,7,0.4,0.05714285714285715,92.99589989339148,25.44,0.019999999999999574,0.6401977384376782
36,lip,25.66,26.0,3,0.34,0.11333333333333334,96.04096463362116,25.83,0.4400000000000013,0.4120353085809833
37,and,26.44,26.6,3,0.16,0.05333333333333334,90.37395799546302,26.52,0.0799999999999983,0.5444259846954603
38,sneer,26.68,27.26,5,0.58,0.11599999999999999,89.40197078155771,26.97,0.0799999999999983,0.7063267750396351
39,of,27.34,27.44,2,0.1,0.05,88.72029823997224,27.39,0.09999999999999787,0.6000219703955346
40,cold,27.54,27.84,4,0.3,0.075,93.8637732010626,27.69,0.03999999999999915,0.5040248256309308
41,command,27.88,28.46,7,0.58,0.08285714285714285,87.28154337672743,28.17,0.8000000000000007,0.5325208571288308
42,tell,29.26,29.5,4,0.24,0.06,101.29539036353044,29.38,0.05999999999999872,0.6745972045562896
43,that,29.56,29.68,4,0.12,0.03,83.01621997344144,29.62,0.019999999999999574,0.8175098825627385
44,it's,29.7,29.82,4,0.12,0.03,,29.76,0.0799999999999983,0.46018022582594603
