,Word,Start,End,length,time_spent,std_time_spent,pitch,amplitude2,time,post_space,speed
0,i,9.36,9.44,1,0.08,0.08,,0.372257988,9.399999999999999,0.08000000000000007,12.5
1,met,9.52,9.68,3,0.16,0.05333333333333334,,0.35917231,9.6,0.019999999999999574,18.75
2,a,9.7,9.74,1,0.04,0.04,,0.506630123,9.719999999999999,0.0600000000000005,25.0
3,traveler,9.8,10.26,8,0.46,0.0575,,0.494327194,10.030000000000001,0.08000000000000007,17.391304347826086
4,from,10.34,10.48,4,0.14,0.035,,0.434278886,10.41,0.019999999999999574,28.57142857142857
5,an,10.5,10.58,2,0.08,0.04,,0.512427012,10.54,0.019999999999999574,25.0
6,antique,10.6,11.06,7,0.46,0.06571428571428571,,0.424063253,10.83,0.08000000000000007,15.217391304347826
7,land,11.14,11.62,4,0.48,0.12,,0.391018368,11.379999999999999,0.6600000000000001,8.333333333333334
8,who,12.28,12.4,3,0.12,0.04,,0.503373345,12.34,0.08000000000000007,25.0
9,said,12.48,12.8,4,0.32,0.08,,0.457404409,12.64,0.6600000000000001,12.5
10,two,13.46,13.66,3,0.2,0.06666666666666667,,0.546798176,13.56,0.09999999999999964,15.0
11,vast,13.76,14.2,4,0.44,0.11,,0.485403864,13.98,0.040000000000000924,9.090909090909092
12,and,14.24,14.34,3,0.1,0.03333333333333333,,0.434521317,14.29,0.08000000000000007,30.0
13,trunkless,14.42,15.04,9,0.62,0.06888888888888889,,0.372241717,14.73,0.10000000000000142,14.516129032258064
14,legs,15.14,15.48,4,0.34,0.085,,0.408138139,15.31,0.019999999999999574,11.76470588235294
15,of,15.5,15.58,2,0.08,0.04,,0.285622736,15.54,0.08000000000000007,25.0
16,stone,15.66,16.24,5,0.58,0.11599999999999999,,0.393954544,15.95,0.46000000000000085,8.620689655172415
17,stand,16.7,17.06,5,0.36,0.072,,0.506337738,16.88,0.019999999999999574,13.88888888888889
18,in,17.08,17.14,2,0.06,0.03,,0.505352656,17.11,0.03999999999999915,33.333333333333336
19,the,17.18,17.24,3,0.06,0.02,,0.517290433,17.21,0.0400000000000027,50.0
20,desert,17.28,17.68,6,0.4,0.06666666666666667,,0.335419851,17.48,1.2199999999999989,15.0
21,near,18.9,19.08,4,0.18,0.045,,0.645549595,18.99,0.0400000000000027,22.22222222222222
22,them,19.12,19.26,4,0.14,0.035,,0.602178613,19.19,0.05999999999999872,28.57142857142857
23,on,19.32,19.4,2,0.08,0.04,,0.513542175,19.36,0.020000000000003126,25.0
24,the,19.42,19.48,3,0.06,0.02,,0.483353227,19.450000000000003,0.0799999999999983,50.0
25,sand,19.56,20.08,4,0.52,0.13,,0.359597184,19.82,0.360000000000003,7.692307692307692
26,half,20.44,20.76,4,0.32,0.08,,0.486471381,20.6,0.05999999999999872,12.5
27,sunk,20.82,21.22,4,0.4,0.1,,0.360841863,21.02,0.5600000000000023,10.0
28,a,21.78,21.88,1,0.1,0.1,,0.347814941,21.83,0.10000000000000142,10.0
29,shattered,21.98,22.38,9,0.4,0.044444444444444446,,0.416657897,22.18,0.0400000000000027,22.5
30,visage,22.42,22.8,6,0.38,0.06333333333333334,,0.463277221,22.61,0.05999999999999872,15.789473684210526
31,lies,22.86,23.36,4,0.5,0.125,,0.420544191,23.11,0.8599999999999994,8.0
32,who's,24.22,24.46,5,0.24,0.048,,0.431488276,24.34,0.0799999999999983,20.833333333333336
33,frown,24.54,25.02,5,0.48,0.096,,0.506844929,24.78,0.03999999999999915,10.416666666666668
34,and,25.06,25.16,3,0.1,0.03333333333333333,,0.454044282,25.11,0.0799999999999983,30.0
35,rickled,25.24,25.64,7,0.4,0.05714285714285715,,0.470427725,25.439999999999998,0.019999999999999574,17.5
36,lip,25.66,26.0,3,0.34,0.11333333333333334,,0.287241595,25.83,0.4400000000000013,8.823529411764705
37,and,26.44,26.6,3,0.16,0.05333333333333334,,0.410316467,26.520000000000003,0.0799999999999983,18.75
38,sneer,26.68,27.26,5,0.58,0.11599999999999999,,0.508812507,26.97,0.0799999999999983,8.620689655172415
39,of,27.34,27.44,2,0.1,0.05,,0.397426575,27.39,0.09999999999999787,20.0
40,cold,27.54,27.84,4,0.3,0.075,,0.397875071,27.689999999999998,0.03999999999999915,13.333333333333334
41,command,27.88,28.46,7,0.58,0.08285714285714285,,0.38023037,28.17,0.8000000000000007,12.06896551724138
42,tell,29.26,29.5,4,0.24,0.06,,0.541732216,29.380000000000003,0.05999999999999872,16.666666666666668
43,that,29.56,29.68,4,0.12,0.03,,0.63000927,29.619999999999997,0.019999999999999574,33.333333333333336
44,it's,29.7,29.82,4,0.12,0.03,,0.369086027,29.759999999999998,0.0799999999999983,33.333333333333336
45,scopped,29.9,30.34,7,0.44,0.06285714285714286,,0.395481034,30.119999999999997,0.03999999999999915,15.909090909090908
46,her,30.38,30.52,3,0.14,0.04666666666666667,,0.368151665,30.45,0.5800000000000018,21.428571428571427
47,well,31.1,31.36,4,0.26,0.065,,0.675156593,31.23,0.060000000000002274,15.384615384615383
48,those,31.42,31.66,5,0.24,0.048,,0.568279266,31.54,0.03999999999999915,20.833333333333336
49,passions,31.7,32.12,8,0.42,0.0525,,0.439463774,31.909999999999997,0.03999999999999915,19.047619047619047
50,read,32.16,32.46,4,0.3,0.075,,0.357825398,32.31,0.8599999999999994,13.333333333333334
51,which,33.32,33.52,5,0.2,0.04,,0.367203395,33.42,0.03999999999999915,25.0
52,yet,33.56,33.74,3,0.18,0.06,,0.574280441,33.650000000000006,0.03999999999999915,16.666666666666668
53,survive,33.78,34.42,7,0.64,0.09142857142857143,,0.444586652,34.1,0.7800000000000011,10.9375
54,stamps,35.2,35.82,6,0.62,0.10333333333333333,,0.364207904,35.510000000000005,0.03999999999999915,9.67741935483871
55,on,35.86,35.96,2,0.1,0.05,,0.453070492,35.91,0.03999999999999915,20.0
56,these,36.0,36.2,5,0.2,0.04,,0.464471658,36.1,0.05999999999999517,25.0
57,lifeless,36.26,36.78,8,0.52,0.065,,0.384923545,36.519999999999996,0.0799999999999983,15.384615384615383
58,things,36.86,37.36,6,0.5,0.08333333333333333,,0.384937105,37.11,1.1199999999999974,12.0
59,the,38.48,38.56,3,0.08,0.02666666666666667,,0.644551357,38.519999999999996,0.05999999999999517,37.5
60,hand,38.62,38.92,4,0.3,0.075,,0.659920472,38.769999999999996,0.03999999999999915,13.333333333333334
61,that,38.96,39.1,4,0.14,0.035,,0.478724996,39.03,0.05999999999999517,28.57142857142857
62,mocked,39.16,39.44,6,0.28,0.04666666666666667,,0.403007746,39.3,0.020000000000003126,21.428571428571427
63,them,39.46,39.68,4,0.22,0.055,,0.598757055,39.57,0.3999999999999986,18.181818181818183
64,and,40.08,40.2,3,0.12,0.04,,0.50334754,40.14,0.01999999999999602,25.0
65,the,40.22,40.28,3,0.06,0.02,,0.695924938,40.25,0.0799999999999983,50.0
66,heart,40.36,40.66,5,0.3,0.06,,0.440713772,40.51,0.020000000000003126,16.666666666666668
67,that,40.68,40.82,4,0.14,0.035,,0.383275906,40.75,0.10000000000000142,28.57142857142857
68,fed,40.92,41.3,3,0.38,0.12666666666666668,,0.388350904,41.11,0.6799999999999997,7.894736842105263
69,and,41.98,42.18,3,0.2,0.06666666666666667,,0.587083605,42.08,0.020000000000003126,15.0
70,on,42.2,42.3,2,0.1,0.05,,0.684727669,42.25,0.020000000000003126,20.0
71,the,42.32,42.38,3,0.06,0.02,,0.569989085,42.35,0.05999999999999517,50.0
72,pedestal,42.44,43.04,8,0.6,0.075,,0.473674444,42.739999999999995,0.35999999999999943,13.333333333333334
73,these,43.4,43.66,5,0.26,0.052000000000000005,,0.625480652,43.53,0.060000000000002274,19.23076923076923
74,words,43.72,44.06,5,0.34,0.068,,0.453013611,43.89,0.03999999999999915,14.705882352941176
75,appear,44.1,44.54,6,0.44,0.07333333333333333,,0.386781241,44.32,1.2000000000000028,13.636363636363637
76,my,45.74,45.94,2,0.2,0.1,,0.667355325,45.84,0.10000000000000142,10.0
77,name,46.04,46.4,4,0.36,0.09,,0.615595222,46.22,0.03999999999999915,11.11111111111111
78,is,46.44,46.58,2,0.14,0.07,,0.566559037,46.51,0.03999999999999915,14.285714285714285
79,aussie,46.62,46.88,6,0.26,0.043333333333333335,,0.557987387,46.75,0.01999999999999602,23.076923076923077
