,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,i,1.18,1.28,1,0.10000000000000009,0.10000000000000009,9.999999999999991,0.06000000000000005
1,made,1.34,1.44,4,0.09999999999999987,0.024999999999999967,40.00000000000006,0.020000000000000018
2,a,1.46,1.48,1,0.020000000000000018,0.020000000000000018,49.99999999999996,0.06000000000000005
3,traveler,1.54,1.98,8,0.43999999999999995,0.05499999999999999,18.181818181818183,0.040000000000000036
4,from,2.02,2.14,4,0.1200000000000001,0.030000000000000027,33.33333333333331,0.020000000000000018
5,an,2.16,2.2,2,0.040000000000000036,0.020000000000000018,49.99999999999996,0.020000000000000018
6,antique,2.22,2.54,7,0.31999999999999984,0.04571428571428569,21.87500000000001,0.0
7,gland,2.54,2.94,5,0.3999999999999999,0.07999999999999999,12.500000000000004,0.020000000000000018
8,who,2.96,3.02,3,0.06000000000000005,0.020000000000000018,49.99999999999996,0.08000000000000007
9,said,3.1,3.36,4,0.2599999999999998,0.06499999999999995,15.384615384615397,1.0800000000000005
10,two,4.44,4.58,3,0.13999999999999968,0.04666666666666656,21.428571428571477,0.05999999999999961
11,vast,4.64,5.08,4,0.4400000000000004,0.1100000000000001,9.090909090909083,0.040000000000000036
12,and,5.12,5.2,3,0.08000000000000007,0.02666666666666669,37.499999999999964,0.040000000000000036
13,trunkless,5.24,5.68,9,0.4399999999999995,0.048888888888888836,20.454545454545478,0.040000000000000036
14,slakes,5.72,6.06,6,0.33999999999999986,0.05666666666666664,17.64705882352942,0.020000000000000462
15,of,6.08,6.16,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.05999999999999961
16,stone,6.22,6.68,5,0.45999999999999996,0.092,10.869565217391305,0.5200000000000005
17,stand,7.2,7.6,5,0.39999999999999947,0.07999999999999989,12.500000000000016,0.020000000000000462
18,in,7.62,7.68,2,0.05999999999999961,0.029999999999999805,33.33333333333355,0.040000000000000036
19,the,7.72,7.76,3,0.040000000000000036,0.013333333333333345,74.99999999999993,0.040000000000000036
20,desert,7.8,8.12,6,0.3199999999999994,0.05333333333333323,18.750000000000036,1.120000000000001
