,Word,Start,End,length,time_spent,std_time_spent,pitch,time,post_space,amplitude
0,i,1.18,1.28,1,0.1,0.1,,1.23,0.06000000000000005,0.10959391101463846
1,made,1.34,1.44,4,0.1,0.025,166.43487505610716,1.39,0.020000000000000018,0.6375206954224961
2,a,1.46,1.48,1,0.02,0.02,138.95606490867692,1.47,0.06000000000000005,0.45235923841276876
3,traveler,1.54,1.98,8,0.44,0.055,104.92783081042528,1.76,0.040000000000000036,0.36806559514374737
4,from,2.02,2.14,4,0.12,0.03,87.48742582378053,2.08,0.020000000000000018,0.07408965869393673
5,an,2.16,2.2,2,0.04,0.02,96.74163412299565,2.18,0.020000000000000018,0.24991227531520133
6,antique,2.22,2.54,7,0.32,0.045714285714285714,102.44148370822472,2.38,0.0,0.2650904258416845
7,gland,2.54,2.94,5,0.4,0.08,99.8678029008463,2.74,0.020000000000000018,0.35549683952127664
8,who,2.96,3.02,3,0.06,0.02,,2.99,0.08000000000000007,0.18563448653515088
9,said,3.1,3.38,4,0.28,0.07,,3.24,1.0600000000000005,0.3037728229153779
10,to,4.44,4.54,2,0.1,0.05,144.96935731179892,4.49,0.1200000000000001,0.3829979760029587
11,vast,4.66,5.08,4,0.42,0.105,169.3335126734667,4.87,0.040000000000000036,0.49242672707101187
12,and,5.12,5.2,3,0.08,0.02666666666666667,83.24887078963015,5.16,0.040000000000000036,0.45011486767231873
13,trunkless,5.24,5.68,9,0.44,0.04888888888888889,150.14791020716305,5.46,0.040000000000000036,0.4784734480272426
14,slakes,5.72,6.06,6,0.34,0.05666666666666667,129.67743171875662,5.89,0.020000000000000462,0.5164361655686615
15,of,6.08,6.16,2,0.08,0.04,112.89348893526403,6.12,0.05999999999999961,0.363054520216863
16,stone,6.22,6.68,5,0.46,0.092,113.29903021364427,6.45,0.5200000000000005,0.39953217021061094
17,stand,7.2,7.6,5,0.4,0.08,107.18503411241566,7.4,0.020000000000000462,0.3304603986594835
18,in,7.62,7.68,2,0.06,0.03,99.63400290747283,7.65,0.040000000000000036,0.12548397402547712
19,the,7.72,7.76,3,0.04,0.013333333333333334,83.29416780371658,7.74,0.040000000000000036,0.1278221185410178
20,desert,7.8,8.12,6,0.32,0.05333333333333334,93.85650224007719,7.96,1.1400000000000006,0.1768796587258442
21,and,9.26,9.34,3,0.08,0.02666666666666667,72.97338962764276,9.3,0.040000000000000924,0.055285479063114894
22,beside,9.38,9.76,6,0.38,0.06333333333333334,126.33334417264662,9.57,0.040000000000000924,0.6515927664640796
23,them,9.8,9.92,4,0.12,0.03,135.45990814999755,9.86,0.9399999999999995,0.23997964773814912
24,on,10.86,10.98,2,0.12,0.06,126.46157745151412,10.92,0.019999999999999574,0.28380388018240243
25,the,11.0,11.06,3,0.06,0.02,119.84725270459892,11.03,0.05999999999999872,0.40167887190515644
26,sand,11.12,11.58,4,0.46,0.115,122.31925281757059,11.35,1.3200000000000003,0.5161105685473624
27,a,12.9,12.96,1,0.06,0.06,,12.93,0.05999999999999872,0.05750802038613194
28,shattered,13.02,13.38,9,0.36,0.04,141.57059255045286,13.2,0.019999999999999574,0.6389079188527893
29,visage,13.4,13.74,6,0.34,0.05666666666666667,112.3179503462217,13.57,0.0600000000000005,0.3963030959992746
30,lies,13.8,14.3,4,0.5,0.125,160.0377239278426,14.05,1.2399999999999984,0.19052761271407656
31,whose,15.54,15.76,5,0.22,0.044,140.62888634539487,15.65,0.040000000000000924,0.46083985371810116
32,frown,15.8,16.36,5,0.56,0.11200000000000002,140.58955841231034,16.08,0.03999999999999915,0.49979473257335344
33,and,16.4,16.48,3,0.08,0.02666666666666667,109.38786735004552,16.44,0.05999999999999872,0.24926848031050033
34,wrinkled,16.54,16.94,8,0.4,0.05,110.68740871992784,16.74,0.03999999999999915,0.30050032725269016
35,lip,16.98,17.26,3,0.28,0.09333333333333334,115.53192095861542,17.12,0.09999999999999787,0.33423007563936274
36,in,17.36,17.46,2,0.1,0.05,100.53991130574562,17.41,0.05999999999999872,0.24949118239482398
37,sneer,17.52,17.92,5,0.4,0.08,123.7016307685837,17.72,0.019999999999999574,0.51146241278331
38,of,17.94,18.02,2,0.08,0.04,97.64830436240956,17.98,0.05999999999999872,0.09685581046245907
39,cold,18.08,18.32,4,0.24,0.06,116.71852932222332,18.2,0.03999999999999915,0.34095120282276686
