,Word,Start,End,length,time_spent,std_time_spent,pitch,amplitude2,time,post_space,speed
0,i,1.18,1.28,1,0.1,0.1,,0.191600478,1.23,0.06000000000000005,10.0
1,made,1.34,1.44,4,0.1,0.025,,0.484151077,1.3900000000000001,0.020000000000000018,40.0
2,a,1.46,1.48,1,0.02,0.02,,0.431473225,1.47,0.06000000000000005,50.0
3,traveler,1.54,1.98,8,0.44,0.055,,0.27907748,1.76,0.040000000000000036,18.181818181818183
4,from,2.02,2.14,4,0.12,0.03,,0.064421708,2.08,0.020000000000000018,33.333333333333336
5,an,2.16,2.2,2,0.04,0.02,,0.262566,2.18,0.020000000000000018,50.0
6,antique,2.22,2.54,7,0.32,0.045714285714285714,,0.221928154,2.38,0.0,21.875
7,gland,2.54,2.94,5,0.4,0.08,,0.285823177,2.74,0.020000000000000018,12.5
8,who,2.96,3.02,3,0.06,0.02,,0.172632595,2.99,0.08000000000000007,50.0
9,said,3.1,3.38,4,0.28,0.07,,0.231717269,3.24,1.0600000000000005,14.285714285714285
10,to,4.44,4.54,2,0.1,0.05,,0.412704021,4.49,0.1200000000000001,20.0
11,vast,4.66,5.08,4,0.42,0.105,,0.402595785,4.87,0.040000000000000036,9.523809523809524
12,and,5.12,5.2,3,0.08,0.02666666666666667,,0.382266521,5.16,0.040000000000000036,37.5
13,trunkless,5.24,5.68,9,0.44,0.04888888888888889,,0.377979379,5.46,0.040000000000000036,20.454545454545453
14,slakes,5.72,6.06,6,0.34,0.05666666666666667,,0.419889791,5.89,0.020000000000000462,17.64705882352941
15,of,6.08,6.16,2,0.08,0.04,,0.368034244,6.12,0.05999999999999961,25.0
16,stone,6.22,6.68,5,0.46,0.092,,0.321247339,6.449999999999999,0.5200000000000005,10.869565217391305
17,stand,7.2,7.6,5,0.4,0.08,,0.263978678,7.4,0.020000000000000462,12.5
18,in,7.62,7.68,2,0.06,0.03,,0.091122419,7.65,0.040000000000000036,33.333333333333336
19,the,7.72,7.76,3,0.04,0.013333333333333334,,0.095746338,7.74,0.040000000000000036,75.0
20,desert,7.8,8.12,6,0.32,0.05333333333333334,,0.148179599,7.959999999999999,1.1400000000000006,18.75
21,and,9.26,9.34,3,0.08,0.02666666666666667,,0.091148987,9.3,0.040000000000000924,37.5
22,beside,9.38,9.76,6,0.38,0.06333333333333334,,0.476830202,9.57,0.040000000000000924,15.789473684210526
23,them,9.8,9.92,4,0.12,0.03,,0.148323548,9.86,0.9399999999999995,33.333333333333336
