,Word,Start,End,length,time_spent,std_time_spent,pitch,amplitude2,time,post_space
8,i,6.78,6.9,1,0.12,0.752941176,,0.191249033,6.84,0.06
9,met,6.96,7.12,3,0.16,0.282352941,,0.249741486,7.04,0.04
10,a,7.16,7.2,1,0.04,0.188235294,,0.121895134,7.18,0.06
11,traveler,7.26,7.8,8,0.54,0.382352941,,0.232079423,7.53,0.1
12,from,7.9,8.06,4,0.16,0.188235294,,0.09879492,7.98,0.02
13,an,8.08,8.16,2,0.08,0.188235294,,0.103648297,8.12,0.06
14,antique,8.22,8.7,7,0.48,0.389915966,,0.134097874,8.46,0.04
15,land,8.74,9.24,4,0.5,0.788235294,,0.128752549,8.99,0.42
16,who,9.66,9.84,3,0.18,0.329411765,,0.071881269,9.75,0.08
17,said,9.92,10.32,4,0.4,0.611764706,,0.213569585,10.12,0.86
18,two,11.18,11.42,3,0.24,0.470588235,,0.20782547,11.3,0.1
19,vast,11.52,12,4,0.48,0.752941176,,0.252491665,11.76,0.04
20,and,12.04,12.12,3,0.08,0.094117647,,0.095009108,12.08,0.08
21,trunkless,12.2,12.7,9,0.5,0.298039216,,0.198733239,12.45,0.06
22,legs,12.76,13.14,4,0.38,0.576470588,,0.177292854,12.95,0.04
23,of,13.18,13.26,2,0.08,0.188235294,,0.150944367,13.22,0.06
24,stone,13.32,13.8,5,0.48,0.583529412,,0.147371383,13.56,0.06
25,stand,13.86,14.26,5,0.4,0.470588235,,0.207787977,14.06,0.02
26,in,14.28,14.34,2,0.06,0.117647059,,0.106904507,14.31,0.04
27,the,14.38,14.42,3,0.04,0,,0.106499553,14.4,0.06
28,desert,14.48,14.96,6,0.48,0.470588235,,0.173598369,14.72,1.48
29,near,16.44,16.68,4,0.24,0.329411765,,0.314596796,16.56,0.06
30,them,16.74,17,4,0.26,0.364705882,,0.111572097,16.87,0.3
31,on,17.3,17.48,2,0.18,0.541176471,,0.256636568,17.39,0.04
32,the,17.52,17.58,3,0.06,0.047058824,,0.232486029,17.55,0.08
33,sand,17.66,18.12,4,0.46,0.717647059,,0.2077914,17.89,0.08
34,half,18.2,18.54,4,0.34,0.505882353,,0.211198203,18.37,0.08
35,sunker,18.62,19.02,6,0.4,0.376470588,,0.184977187,18.82,0.06
36,shattered,19.08,19.5,9,0.42,0.235294118,,0.241335869,19.29,0.06
37,visions,19.56,19.98,7,0.42,0.329411765,,0.143860632,19.77,0.16
38,lies,20.14,20.76,4,0.62,1,,0.206941287,20.45,0.34
39,whose,21.1,21.38,5,0.28,0.301176471,,0.112651636,21.24,0.06
40,frowned,21.44,21.92,7,0.48,0.389915966,,0.238940148,21.68,0.02
41,and,21.94,22.02,3,0.08,0.094117647,,0.063069791,21.98,0.04
42,wrinkled,22.06,22.42,8,0.36,0.223529412,,0.124632637,22.24,0.04
43,lip,22.46,22.76,3,0.3,0.611764706,,0.10615756,22.61,0.3
44,and,23.06,23.2,3,0.14,0.235294118,,0.179307997,23.13,0.1
45,sneer,23.3,23.7,5,0.4,0.470588235,,0.219111877,23.5,0.04
46,of,23.74,23.82,2,0.08,0.188235294,,0.050620635,23.78,0.04
47,cold,23.86,24.22,4,0.36,0.541176471,,0.170906559,24.04,0.06
48,command,24.28,24.94,7,0.66,0.571428571,,0.124512015,24.61,0.44
49,tell,25.38,25.72,4,0.34,0.505882353,,0.270358358,25.55,0.06
50,that,25.78,25.92,4,0.14,0.152941176,,0.232930303,25.85,0.02
51,it,25.94,26.04,2,0.1,0.258823529,,0.060414243,25.99,0.06
52,sculpture,26.1,26.62,9,0.52,0.31372549,,0.172870972,26.36,0.06
53,well,26.68,26.94,4,0.26,0.364705882,,0.304317669,26.81,0.02
54,those,26.96,27.2,5,0.24,0.244705882,,0.131170976,27.08,0.04
55,passions,27.24,27.78,8,0.54,0.382352941,,0.127970022,27.51,0.04
56,red,27.82,28.12,3,0.3,0.611764706,,0.180215065,27.97,0.06
57,which,28.18,28.36,5,0.18,0.16,,0.119644433,28.27,0.06
58,yet,28.42,28.66,3,0.24,0.470588235,,0.136242162,28.54,0.06
59,survive,28.72,29.42,7,0.7,0.611764706,,0.134410366,29.07,0.76
60,stamped,30.18,30.68,7,0.5,0.410084034,,0.167843862,30.43,0.1
61,on,30.78,30.9,2,0.12,0.329411765,,0.166171765,30.84,0.06
62,these,30.96,31.14,5,0.18,0.16,,0.071927458,31.05,0.04
63,lifeless,31.18,31.68,8,0.5,0.347058824,,0.114624912,31.43,0.06
64,things,31.74,32.26,6,0.52,0.517647059,,0.069812894,32,0.42
65,the,32.68,32.78,3,0.1,0.141176471,,0.18316564,32.73,0.12
66,hand,32.9,33.32,4,0.42,0.647058824,,0.154300253,33.11,0.02
67,that,33.34,33.46,4,0.12,0.117647059,,0.16939338,33.4,0.06
68,mocked,33.52,33.84,6,0.32,0.282352941,,0.157390629,33.68,0.04
69,them,33.88,34.12,4,0.24,0.329411765,,0.085363901,34,0.56
70,and,34.68,34.82,3,0.14,0.235294118,,0.047018071,34.75,0.02
71,the,34.84,34.9,3,0.06,0.047058824,,0.110474507,34.87,0.06
72,heart,34.96,35.34,5,0.38,0.442352941,,0.194939584,35.15,0.04
73,that,35.38,35.54,4,0.16,0.188235294,,0.113081523,35.46,0.08
74,fed,35.62,36,3,0.38,0.8,,0.13449344,35.81,0.7
75,and,36.7,36.9,3,0.2,0.376470588,,0.099976851,36.8,0.08
76,on,36.98,37.22,2,0.24,0.752941176,,0.290079021,37.1,0.04
77,the,37.26,37.3,3,0.04,0,,0.172286689,37.28,0.06
78,pedestal,37.36,38,8,0.64,0.470588235,,0.13761746,37.68,0.14
79,these,38.14,38.38,5,0.24,0.244705882,,0.083877569,38.26,0.06
80,words,38.44,38.84,5,0.4,0.470588235,,0.15169312,38.64,0.04
81,appear,38.88,39.36,6,0.48,0.470588235,,0.108926614,39.12,1.28
82,my,40.64,40.8,2,0.16,0.470588235,,0.296978644,40.72,0.1
83,name,40.9,41.32,4,0.42,0.647058824,,0.178548866,41.11,0.24
84,is,41.56,41.74,2,0.18,0.541176471,,0.070746504,41.65,0.1
85,aussie,41.84,42.22,6,0.38,0.352941176,,0.16008666,42.03,0.02
86,mandius,42.24,42.92,7,0.68,0.591596639,,0.113891297,42.58,0.56
87,king,43.48,43.74,4,0.26,0.364705882,,0.185174617,43.61,0.02
88,of,43.76,43.84,2,0.08,0.188235294,,0.088849962,43.8,0.06
89,kings,43.9,44.44,5,0.54,0.668235294,,0.092351986,44.17,0.72
90,look,45.16,45.46,4,0.3,0.435294118,,0.160060571,45.31,0.22
91,on,45.68,45.82,2,0.14,0.4,,0.219180465,45.75,0.04
92,my,45.86,45.98,2,0.12,0.329411765,,0.23576107,45.92,0.06
93,works,46.04,46.46,5,0.42,0.498823529,,0.128852844,46.25,0.18
94,you,46.64,46.74,3,0.1,0.141176471,,0.126477122,46.69,0.08
95,mighty,46.82,47.18,6,0.36,0.329411765,,0.19868873,47,0.12
96,and,47.3,47.4,3,0.1,0.141176471,,0.118409939,47.35,0.04
97,despair,47.44,48.08,7,0.64,0.551260504,,0.171243456,47.76,1.44
98,nothing,49.52,49.92,7,0.4,0.309243697,,0.189632079,49.72,0.06
99,beside,49.98,50.5,6,0.52,0.517647059,,0.232622407,50.24,0.04
100,remains,50.54,51.16,7,0.62,0.531092437,,0.131997055,50.85,0.66
101,round,51.82,52.16,5,0.34,0.385882353,,0.281341489,51.99,0.02
102,the,52.18,52.24,3,0.06,0.047058824,,0.151241928,52.21,0.04
103,decay,52.28,52.7,5,0.42,0.498823529,,0.225469192,52.49,0.04
104,of,52.74,52.8,2,0.06,0.117647059,,0.131889045,52.77,0.04
105,that,52.84,53,4,0.16,0.188235294,,0.214637092,52.92,0.04
106,colossal,53.04,53.6,8,0.56,0.4,,0.231989841,53.32,0.04
107,wreck,53.64,54,5,0.36,0.414117647,,0.126191163,53.82,0.44
108,boundless,54.44,55,9,0.56,0.345098039,,0.197637995,54.72,0.04
109,and,55.04,55.12,3,0.08,0.094117647,,0.071538528,55.08,0.08
110,bear,55.2,55.62,4,0.42,0.647058824,,0.222113596,55.41,0.42
111,the,56.04,56.16,3,0.12,0.188235294,,0.199192357,56.1,0.06
112,loan,56.22,56.64,4,0.42,0.647058824,,0.188918008,56.43,0.08
113,and,56.72,56.82,3,0.1,0.141176471,,0.142120671,56.77,0.06
114,level,56.88,57.2,5,0.32,0.357647059,,0.248063207,57.04,0.08
115,sands,57.28,57.86,5,0.58,0.724705882,,0.190023537,57.57,0.18
116,stretch,58.04,58.46,7,0.42,0.329411765,,0.191673093,58.25,0.16
117,far,58.62,58.88,3,0.26,0.517647059,,0.281432217,58.75,0.06
118,away,58.94,59.36,4,0.42,0.647058824,,0.193803827,59.15,
