,Word,Start,End,length,time_spent,std_time_spent,pitch,time,post_space,amplitude
0,i,6.78,6.9,1,0.12,0.12,143.99519725666823,6.84,0.05999999999999961,0.47399957162202483
1,met,6.96,7.12,3,0.16,0.05333333333333334,249.33973154120042,7.04,0.040000000000000036,0.7748734237631896
2,a,7.16,7.2,1,0.04,0.04,242.87279725305893,7.18,0.05999999999999961,0.5833524612143046
3,traveler,7.26,7.8,8,0.54,0.0675,184.05901633782108,7.53,0.10000000000000053,0.7169317031344168
4,from,7.9,8.06,4,0.16,0.04,184.14461695246803,7.98,0.019999999999999574,0.2589701813774974
5,an,8.08,8.16,2,0.08,0.04,187.61631952303213,8.12,0.0600000000000005,0.33083491375909413
6,antique,8.22,8.7,7,0.48,0.06857142857142857,186.29713078415583,8.46,0.040000000000000924,0.4255896472104345
7,land,8.74,9.24,4,0.5,0.125,189.14620115918478,8.99,0.41999999999999993,0.39678078254987237
8,who,9.66,9.84,3,0.18,0.06,229.77526297678588,9.75,0.08000000000000007,0.19072943741866916
9,said,9.92,10.32,4,0.4,0.1,198.96459056643573,10.12,0.8599999999999994,0.6382121908685646
10,two,11.18,11.42,3,0.24,0.08,285.3855000422525,11.3,0.09999999999999964,0.6271070620929114
11,vast,11.52,12.0,4,0.48,0.12,200.92803866075684,11.76,0.03999999999999915,0.7778605894124985
12,and,12.04,12.12,3,0.08,0.02666666666666667,184.96560975686327,12.08,0.08000000000000007,0.32489189664886065
13,trunkless,12.2,12.7,9,0.5,0.05555555555555555,198.66235721748447,12.45,0.0600000000000005,0.5668620920401027
14,legs,12.76,13.14,4,0.38,0.095,184.0165543038401,12.95,0.03999999999999915,0.5388696385064135
15,of,13.18,13.26,2,0.08,0.04,174.8257405649815,13.22,0.0600000000000005,0.31772138315648074
16,stone,13.32,13.8,5,0.48,0.096,175.22207805430625,13.56,0.05999999999999872,0.4615599592514716
17,stand,13.86,14.26,5,0.4,0.08,185.9316712687538,14.06,0.019999999999999574,0.6392153178081553
18,in,14.28,14.34,2,0.06,0.03,170.84034107322768,14.31,0.040000000000000924,0.348908575436056
19,the,14.38,14.42,3,0.04,0.013333333333333334,170.09854452490512,14.4,0.0600000000000005,0.49209755019668755
20,desert,14.48,14.96,6,0.48,0.08,173.39841202732066,14.72,1.4800000000000004,0.5286323689154434
21,near,16.44,16.68,4,0.24,0.06,297.28708112055847,16.56,0.05999999999999872,1.0
22,them,16.74,17.0,4,0.26,0.065,165.21403499878033,16.87,0.3000000000000007,0.3925488999862545
23,on,17.3,17.48,2,0.18,0.09,188.302218296352,17.39,0.03999999999999915,0.7947166921781956
24,the,17.52,17.58,3,0.06,0.02,240.54449084024986,17.55,0.08000000000000185,0.8301295806600802
25,sand,17.66,18.12,4,0.46,0.115,164.72757924722268,17.89,0.0799999999999983,0.6545145343133517
26,half,18.2,18.54,4,0.34,0.085,236.50250127703436,18.37,0.08000000000000185,0.6547938704869536
27,sunker,18.62,19.02,6,0.4,0.06666666666666667,195.66611170051493,18.82,0.05999999999999872,0.518487828454915
28,shattered,19.08,19.5,9,0.42,0.04666666666666666,188.67990746229916,19.29,0.05999999999999872,0.7269439808833806
29,visions,19.56,19.98,7,0.42,0.06,191.92953200081794,19.77,0.16000000000000014,0.4222184420708141
30,lies,20.14,20.76,4,0.62,0.155,179.56795381434765,20.45,0.33999999999999986,0.6733829800245171
31,whose,21.1,21.38,5,0.28,0.05600000000000001,201.38672430717946,21.24,0.060000000000002274,0.33190655793968643
32,frowned,21.44,21.92,7,0.48,0.06857142857142857,213.09723709176455,21.68,0.019999999999999574,0.742131254683348
33,and,21.94,22.02,3,0.08,0.02666666666666667,176.59429930746222,21.98,0.03999999999999915,0.1804854516533339
34,wrinkled,22.06,22.42,8,0.36,0.045,202.95070908879788,22.24,0.03999999999999915,0.34815456323759875
35,lip,22.46,22.76,3,0.3,0.09999999999999999,200.8196737290129,22.61,0.29999999999999716,0.3483387356483361
36,and,23.06,23.2,3,0.14,0.04666666666666667,181.5041337287646,23.13,0.10000000000000142,0.49550941926742564
37,sneer,23.3,23.7,5,0.4,0.08,220.45127046782477,23.5,0.03999999999999915,0.6846440993155392
38,of,23.74,23.82,2,0.08,0.04,178.61754612878133,23.78,0.03999999999999915,0.2156056412671062
39,cold,23.86,24.22,4,0.36,0.09,207.5317702639214,24.04,0.060000000000002274,0.5029717571377457
40,command,24.28,24.94,7,0.66,0.09428571428571429,187.84838554101992,24.61,0.4399999999999977,0.39243629748259906
41,tell,25.38,25.72,4,0.34,0.085,192.96507753842778,25.55,0.060000000000002274,0.8211355092089919
42,that,25.78,25.92,4,0.14,0.035,169.61194918973038,25.85,0.019999999999999574,0.7286842708348535
43,it,25.94,26.04,2,0.1,0.05,179.04138478260953,25.99,0.060000000000002274,0.1979330544929859
44,sculpture,26.1,26.62,9,0.52,0.05777777777777778,189.22134307876235,26.36,0.05999999999999872,0.49730292013264704
45,well,26.68,26.94,4,0.26,0.065,181.3328848449579,26.81,0.019999999999999574,0.9703844205134511
46,those,26.96,27.2,5,0.24,0.048,163.8127142841452,27.08,0.03999999999999915,0.40982478383026055
47,passions,27.24,27.78,8,0.54,0.0675,168.9303136849602,27.51,0.03999999999999915,0.35082141443321463
48,red,27.82,28.12,3,0.3,0.09999999999999999,173.74840324674034,27.97,0.05999999999999872,0.5674856884106612
49,which,28.18,28.36,5,0.18,0.036,166.13783421223522,28.27,0.060000000000002274,0.2762580471843124
50,yet,28.42,28.66,3,0.24,0.08,164.85105351471694,28.54,0.05999999999999872,0.42606994684249233
51,survive,28.72,29.42,7,0.7,0.09999999999999999,176.55718785508495,29.07,0.759999999999998,0.42636765753668987
