,Unnamed: 0,Unnamed: 0.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,amplitude2,time
0,0,0,i,14.61,14.73,100.0,0.12,1,0.7692307692307692,0.0,0.4969156353526824,0.7478909651600253,14.67
1,1,1,met,14.73,14.94,100.0,0.21,3,0.3846153846153845,0.0,0.4790555821221315,0.9316167715762815,14.835
2,2,2,a,14.94,15.0,100.0,0.06,1,0.3076923076923076,0.0299999999999993,0.2550840578030566,0.3545805102462033,14.969999999999999
3,3,3,traveller,15.03,15.54,100.0,0.51,9,0.282051282051282,0.0300000000000011,0.3741100458887494,0.6032852721856208,15.285
4,4,4,from,15.57,15.75,100.0,0.18,4,0.1923076923076923,0.0,0.4298531678705975,0.6461741494126056,15.66
5,5,5,the,15.75,15.84,100.0,0.09,3,0.0769230769230769,0.0,0.4875018019968292,0.7363024944341331,15.795
6,6,6,antique,15.84,16.32,100.0,0.48,7,0.3736263736263736,0.0,0.3754926777889622,0.5490199597223971,16.08
7,7,7,land,16.32,16.77,100.0,0.45,4,0.7115384615384615,0.0,0.3809943139705911,0.5429937610691321,16.545
8,8,8,who,16.77,16.89,100.0,0.12,3,0.1538461538461538,0.0,0.3259120456601451,0.5738552222021559,16.83
9,9,9,said,16.89,17.31,100.0,0.42,4,0.6538461538461537,0.5700000000000003,0.325591585694596,0.5429767721698391,17.1
10,10,10,too,17.88,18.24,83.9807,0.36,3,0.7692307692307692,0.0899999999999998,0.4710880916577868,0.5898686804456336,18.06
11,11,11,fast,18.33,18.9,100.0,0.57,4,0.9423076923076922,0.0,0.4438567460641288,0.7093480512004111,18.615
12,12,12,and,18.9,19.02,100.0,0.12,3,0.1538461538461538,0.0,0.3527028248159722,0.5161790178072331,18.96
13,13,13,trunk,19.02,19.41,100.0,0.39,5,0.4461538461538461,0.0,0.3474232729963487,0.5903354999871002,19.215
14,14,14,less,19.41,19.589308,89.1598,0.179308,4,0.190976923076923,0.0,0.488299463859906,0.7583238545392736,19.499654
15,15,15,legs,19.589308,19.95,100.0,0.360692,4,0.5397923076923077,0.0,0.3544756508637474,0.5863958564454029,19.769654
16,16,16,of,19.95,20.07,100.0,0.12,2,0.3076923076923076,0.0,0.3483483927966661,0.7893627822201853,20.009999999999998
17,17,17,stone,20.07,20.58,100.0,0.51,5,0.6307692307692307,0.0300000000000011,0.48485188838665,0.7074276540772829,20.325
18,18,18,stand,20.61,21.03,100.0,0.42,5,0.4923076923076921,0.0,0.406282975245241,0.6097993825989492,20.82
19,19,19,in,21.03,21.12,100.0,0.09,2,0.1923076923076923,0.0,0.4357222713890154,0.6398756520069749,21.075000000000003
20,20,20,the,21.12,21.18,54.1292,0.06,3,0.0,0.0,0.2429908482828521,0.5301187890818456,21.15
21,21,21,desert,21.18,21.66,100.0,0.48,6,0.4615384615384615,0.9899999999999984,0.1919343548162229,0.4368172422741821,21.42
22,22,22,near,22.65,22.92,100.0,0.27,4,0.3653846153846153,0.0,0.6625861336371264,0.730090169320729,22.785
23,23,23,them,22.92,23.1,100.0,0.18,4,0.1923076923076923,0.0,0.2624485114873261,0.5113363955989922,23.01
24,24,24,on,23.1,23.25,100.0,0.15,2,0.423076923076923,0.0,0.4221778525206893,0.6097020502379518,23.175
25,25,25,the,23.25,23.34,100.0,0.09,3,0.0769230769230769,0.0,0.3411968627983913,0.7500223848772323,23.295
26,26,26,sand,23.34,23.88,100.0,0.54,4,0.8846153846153846,0.0,0.3973760238016761,0.6419902950257537,23.61
27,27,27,half,23.88,24.27,100.0,0.39,4,0.5961538461538461,0.0,0.2315769876129406,0.5579232243793141,24.075
28,28,28,sunk,24.27,24.78,100.0,0.51,4,0.8269230769230769,0.2399999999999984,0.3216116264165261,0.5231655541371185,24.525
