,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,14.61,14.73,100.0,0.12,1,0.12,0.0,0.7009450167880152,14.67,93.78530747192548
1,1,1,met,14.73,14.94,100.0,0.21,3,0.06999999999999999,0.0,0.8153312633071367,14.835,154.32691518908413
2,2,2,a,14.94,15.0,100.0,0.06,1,0.06,0.02999999999999936,0.3169201869431458,14.97,
3,3,3,traveller,15.03,15.54,100.0,0.51,9,0.05666666666666667,0.030000000000001137,0.5609754409111587,15.285,109.97478946604441
4,4,4,from,15.57,15.75,100.0,0.18,4,0.045,0.0,0.5698260541847145,15.66,133.7351413775349
5,5,5,the,15.75,15.84,100.0,0.09,3,0.03,0.0,0.7697072123170204,15.795,97.68690412313944
6,6,6,antique,15.84,16.32,100.0,0.48,7,0.06857142857142857,0.0,0.49199855769442646,16.08,166.67477513272183
7,7,7,land,16.32,16.77,100.0,0.45,4,0.1125,0.0,0.5015888001353419,16.545,149.17442105479117
8,8,8,who,16.77,16.89,100.0,0.12,3,0.04,0.0,0.3965077797466345,16.83,140.97030564505118
9,9,9,said,16.89,17.31,100.0,0.42,4,0.105,0.5700000000000003,0.5178631058402496,17.1,167.2735411529141
10,10,10,too,17.88,18.24,83.9807,0.36,3,0.12,0.08999999999999986,0.5236344021262416,18.06,143.6485650379448
11,11,11,fast,18.33,18.9,100.0,0.57,4,0.1425,0.0,0.6271865454307731,18.615,151.86723073906774
12,12,12,and,18.9,19.02,100.0,0.12,3,0.04,0.0,0.43923190653936534,18.96,153.24941705112337
13,13,13,trunk,19.02,19.41,100.0,0.39,5,0.078,0.0,0.5408355566787513,19.215,154.18514222162975
14,14,14,less,19.41,19.589308,89.1598,0.179308,4,0.044827,0.0,0.6967664052407244,19.499654,102.00545712518826
15,15,15,legs,19.589308,19.95,100.0,0.360692,4,0.090173,0.0,0.5379116786733994,19.769654,158.96796058970608
16,16,16,of,19.95,20.07,100.0,0.12,2,0.06,0.0,0.5933843954198836,20.01,
17,17,17,stone,20.07,20.58,100.0,0.51,5,0.10200000000000001,0.030000000000001137,0.6617650391893375,20.325,124.72920928795797
18,18,18,stand,20.61,21.03,100.0,0.42,5,0.08399999999999999,0.0,0.5701582919937673,20.82,154.3734874876061
19,19,19,in,21.03,21.12,100.0,0.09,2,0.045,0.0,0.601893110396315,21.075000000000003,148.2347903519796
20,20,20,the,21.12,21.18,54.1292,0.06,3,0.02,0.0,0.3283396873913188,21.15,142.93507273700524
21,21,21,desert,21.18,21.66,100.0,0.48,6,0.08,0.9899999999999984,0.4028077204776203,21.42,133.80867120889909
22,22,22,near,22.65,22.92,100.0,0.27,4,0.0675,0.0,0.7471255990539494,22.785,165.13159979961316
23,23,23,them,22.92,23.1,100.0,0.18,4,0.045,0.0,0.4360234568462815,23.01,141.91255071180302
24,24,24,on,23.1,23.25,100.0,0.15,2,0.075,0.0,0.5487993108005965,23.175,141.265013470164
25,25,25,the,23.25,23.34,100.0,0.09,3,0.03,0.0,0.46930130795290803,23.295,138.1458542333759
26,26,26,sand,23.34,23.88,100.0,0.54,4,0.135,0.0,0.6212685054715624,23.61,141.8224784321232
27,27,27,half,23.88,24.27,100.0,0.39,4,0.0975,0.0,0.45880149780860974,24.075,190.2294926422808
28,28,28,sunk,24.27,24.78,100.0,0.51,4,0.1275,0.23999999999999844,0.5065726188687835,24.525,144.1006742638145
29,29,29,a,25.02,25.11,100.0,0.09,1,0.09,0.0,0.3768359585458347,25.065,146.43165343042364
30,30,30,shattered,25.11,25.59,100.0,0.48,9,0.05333333333333333,0.0,0.5745959817548763,25.35,214.506360293593
31,31,31,visage,25.59,26.04,100.0,0.45,6,0.075,0.0,0.48410649042866194,25.815,173.20528425190022
32,32,32,lies,26.04,26.61,100.0,0.57,4,0.1425,0.6900000000000013,0.4530104322544989,26.325,167.0951737506019
33,33,33,whose,27.3,27.57,100.0,0.27,5,0.054000000000000006,0.0,0.4226144791073024,27.435,104.93948699863314
34,34,34,frown,27.57,28.2,100.0,0.63,5,0.126,0.15000000000000213,0.5570800388685301,27.885,88.99294225882964
35,35,35,and,28.35,28.53,100.0,0.18,3,0.06,0.0,0.6257812948968381,28.44,148.84398227334853
36,36,36,wrinkled,28.53,28.98,100.0,0.45,8,0.05625,0.0,0.5032657117919218,28.755000000000003,136.0434715688483
37,37,37,lip,28.98,29.37,100.0,0.39,3,0.13,0.4499999999999993,0.406324011205272,29.175,189.67862303628107
38,38,38,and,29.82,30.0,100.0,0.18,3,0.06,0.0,0.6087684627375504,29.91,75.57397250954669
39,39,39,sneer,30.0,30.57,100.0,0.57,5,0.11399999999999999,0.0,0.6687225000175325,30.285,154.2646239868763
40,40,40,of,30.57,30.72,100.0,0.15,2,0.075,0.030000000000001137,0.20937288354289346,30.645,279.68064554571595
41,41,41,cold,30.75,31.14,100.0,0.39,4,0.0975,0.0,0.48930257429468876,30.945,191.02536224961622
42,42,42,command,31.14,31.77,100.0,0.63,7,0.09,0.08999999999999986,0.4656052373692336,31.455,143.46414895088273
43,43,43,tell,31.86,32.28,100.0,0.42,4,0.105,0.0,0.5006599119790845,32.07,142.0605684101156
44,44,44,that,32.28,32.49,100.0,0.21,4,0.0525,0.0,0.24346802349978497,32.385000000000005,135.84138820880733
45,45,45,it's,32.49,32.61,100.0,0.12,4,0.03,0.0,0.5615964284597454,32.55,113.44100411682504
46,46,46,sculptor,32.61,33.12,100.0,0.51,8,0.06375,0.0,0.5043658725902826,32.864999999999995,148.55708134321978
47,47,47,well,33.12,33.48,100.0,0.36,4,0.09,0.0,0.5047819380540447,33.3,147.54209368203013
48,48,48,those,33.48,33.72,100.0,0.24,5,0.048,0.0,0.3262721932552919,33.599999999999994,129.53875857192583
49,49,49,passions,33.72,34.2,100.0,0.48,8,0.06,0.0,0.3301836975600786,33.96,145.91827665729542
50,50,50,read,34.2,34.53,100.0,0.33,4,0.0825,0.0,0.3004128724650453,34.365,142.3820945105281
51,51,51,which,34.53,34.74,100.0,0.21,5,0.041999999999999996,0.0,0.21945598656318654,34.635000000000005,140.39152456864502
52,52,52,yet,34.74,34.98,100.0,0.24,3,0.08,0.0,0.43242551964887077,34.86,127.8603242471921
53,53,53,survive,34.98,35.64,100.0,0.66,7,0.09428571428571429,0.7199999999999989,0.30811770136619726,35.31,134.8572760671716
54,54,54,stamped,36.36,37.02,100.0,0.66,7,0.09428571428571429,0.0,0.5605002254084127,36.69,141.36797638765967
55,55,55,on,37.02,37.14,100.0,0.12,2,0.06,0.0,0.37235936982683443,37.08,136.53321984885903
56,56,56,these,37.14,37.32,100.0,0.18,5,0.036,0.0,0.3191198932943109,37.23,123.97192432226318
57,57,57,lifeless,37.32,38.01,100.0,0.69,8,0.08625,0.0,0.45857657555361575,37.665,149.59154679301813
58,58,58,things,38.01,38.58,100.0,0.57,6,0.09499999999999999,0.8100000000000023,0.5195120155438486,38.295,96.54109813770626
59,59,59,the,39.39,39.54,100.0,0.15,3,0.049999999999999996,0.0,0.6622449091026416,39.465,119.65004381066177
60,60,60,hand,39.54,39.99,100.0,0.45,4,0.1125,0.0,0.84852708059041,39.765,172.2438857463574
61,61,61,that,39.99,40.17,100.0,0.18,4,0.045,0.0,0.6880061331479528,40.08,98.67318442213556
62,62,62,mocked,40.17,40.62,100.0,0.45,6,0.075,0.0,0.5581092891991358,40.395,133.7934175572482
63,63,63,them,40.62,40.83,100.0,0.21,4,0.0525,0.0,0.5783344587674223,40.725,102.59817053195599
64,64,64,and,40.83,40.92,77.2929,0.09,3,0.03,0.0,0.5449610765274344,40.875,75.64110767612507
65,65,65,the,40.92,40.98,100.0,0.06,3,0.02,0.0,0.3342594147026877,40.95,127.61298016710073
66,66,66,heart,40.98,41.37,100.0,0.39,5,0.078,0.030000000000001137,0.4520742304438521,41.175,177.68508084977373
67,67,67,that,41.4,41.58,100.0,0.18,4,0.045,0.0,0.3625681539550526,41.49,107.32400602633305
68,68,68,fed,41.58,42.03,100.0,0.45,3,0.15,1.6799999999999997,0.3851668273357395,41.805,127.77659082432892
69,69,69,and,43.71,43.89,100.0,0.18,3,0.06,0.0,0.7661257473392141,43.8,158.75651353280966
70,70,70,on,43.89,44.04,100.0,0.15,2,0.075,0.0,0.8901629364487026,43.965,137.19177152874326
71,71,71,the,44.04,44.13,100.0,0.09,3,0.03,0.0,0.44951818891250567,44.085,74.66706913283201
72,72,72,pedestal,44.13,44.73,100.0,0.6,8,0.075,0.0,0.5564179330745753,44.43,144.8726258962801
73,73,73,these,44.73,45.12,100.0,0.39,5,0.078,0.0,0.46392292365825033,44.925,145.66975744636372
74,74,74,words,45.12,45.48,100.0,0.36,5,0.072,0.0,0.42258067938105137,45.3,134.6095125612783
75,75,75,appear,45.48,45.99,100.0,0.51,6,0.085,1.0799999999999983,0.2488834647305066,45.735,155.79180176900388
76,76,76,my,47.07,47.34,100.0,0.27,2,0.135,0.0,0.5492291935582149,47.205,150.46261704270694
77,77,77,name,47.34,47.85,100.0,0.51,4,0.1275,0.030000000000001137,0.6784233693732489,47.595,152.32904373539495
78,78,78,is,47.88,48.09,100.0,0.21,2,0.105,0.02999999999999403,0.5915647209439218,47.985,176.63380936332817
79,79,79,ozymandias,48.12,48.96,100.0,0.84,10,0.08399999999999999,0.0899999999999963,0.6860615324730781,48.54,139.3015461157207
80,80,80,king,49.05,49.44,100.0,0.39,4,0.0975,0.0,0.5930464486687013,49.245,158.45401127768977
81,81,81,of,49.44,49.65,100.0,0.21,2,0.105,0.0,0.41995772497688866,49.545,80.16193581377406
82,82,82,kings,49.65,50.37,100.0,0.72,5,0.144,0.6300000000000026,0.46940308028202776,50.01,182.68860413469991
