,time,amplitude,pitch
0,0.0,,
1,0.01,,
2,0.02,,
3,0.03,,
4,0.04,,
5,0.05,,
6,0.06,,
7,0.07,,
8,0.08,,
9,0.09,,
10,0.1,,
11,0.11,,
12,0.12,,
13,0.13,,
14,0.14,,
15,0.15,,
16,0.16,,
17,0.17,,
18,0.18,,
19,0.19,,
20,0.2,,
21,0.21,,
22,0.22,,
23,0.23,,
24,0.24,,
25,0.25,,
26,0.26,,
27,0.27,,
28,0.28,,
29,0.29,,
30,0.3,,
31,0.31,,
32,0.32,,
33,0.33,,
34,0.34,,
35,0.35000000000000003,,
36,0.36,,
37,0.37,,
38,0.38,,
39,0.39,,
40,0.4,,
41,0.41000000000000003,,
42,0.42,,
43,0.43,,
44,0.44,,
45,0.45,,
46,0.46,,
47,0.47000000000000003,,
48,0.48,,
49,0.49,,
50,0.5,,
51,0.51,,
52,0.52,,
53,0.53,,
54,0.54,,
55,0.55,,
56,0.56,,
57,0.5700000000000001,,
58,0.58,,
59,0.59,,
60,0.6,,
61,0.61,,
62,0.62,,
63,0.63,,
64,0.64,,
65,0.65,,
66,0.66,,
67,0.67,,
68,0.68,,
69,0.6900000000000001,,
70,0.7000000000000001,,
71,0.71,,
72,0.72,,
73,0.73,,
74,0.74,,
75,0.75,,
76,0.76,,
77,0.77,,
78,0.78,,
79,0.79,,
80,0.8,,
81,0.81,,
82,0.8200000000000001,,
83,0.8300000000000001,,
84,0.84,,
85,0.85,,
86,0.86,,
87,0.87,,
88,0.88,,
89,0.89,,
90,0.9,,
91,0.91,,
92,0.92,,
93,0.93,,
94,0.9400000000000001,,
95,0.9500000000000001,,
96,0.96,,
97,0.97,,
98,0.98,,
99,0.99,,
100,1.0,,
101,1.01,,
102,1.02,,
103,1.03,,
104,1.04,,
105,1.05,,
106,1.06,,
107,1.07,,
108,1.08,,
109,1.09,,
110,1.1,,
111,1.11,,100.45390927413446
112,1.12,,94.22538506675347
113,1.1300000000000001,,
114,1.1400000000000001,,
115,1.1500000000000001,,
116,1.16,,
117,1.17,,
118,1.18,,
119,1.19,,
120,1.2,,
121,1.21,,
122,1.22,,
123,1.23,,
124,1.24,,
125,1.25,,
126,1.26,,
127,1.27,,
128,1.28,,73.71069562859694
129,1.29,,76.34442921969126
130,1.3,,67.87570980052024
131,1.31,,69.63691657384162
132,1.32,,72.49279076484025
133,1.33,,78.2690224023744
134,1.34,,75.63422740530756
135,1.35,,93.7475126750801
136,1.36,,94.29664387358306
137,1.37,,100.58482854438225
138,1.3800000000000001,,
139,1.3900000000000001,,
140,1.4000000000000001,,
141,1.41,,
142,1.42,,
143,1.43,,
144,1.44,,
145,1.45,,
146,1.46,,
147,1.47,,
148,1.48,,
149,1.49,,
150,1.5,,
151,1.51,,
152,1.52,,
153,1.53,,
154,1.54,,
155,1.55,,
156,1.56,,
157,1.57,,
158,1.58,,
159,1.59,,
160,1.6,,
161,1.61,,
162,1.62,,
163,1.6300000000000001,,
164,1.6400000000000001,,
165,1.6500000000000001,,
166,1.6600000000000001,,
167,1.67,,
168,1.68,,97.97678614431076
169,1.69,,89.29911522924034
170,1.7,,86.17712433908893
171,1.71,,77.27275218898465
172,1.72,,97.3554784381436
173,1.73,,92.64315169063075
174,1.74,,102.19089069936703
175,1.75,,
176,1.76,,
177,1.77,,
178,1.78,,
179,1.79,,
180,1.8,,
181,1.81,,
182,1.82,,
183,1.83,,
184,1.84,,119.0874985558893
185,1.85,,109.76476027662703
186,1.86,,157.19473966359212
187,1.87,,141.70009942442698
188,1.8800000000000001,0.13222027558303592,192.88800574999107
189,1.8900000000000001,0.12154722878209631,196.4330559997803
190,1.9000000000000001,,169.9025162082247
191,1.9100000000000001,,196.14824146665293
192,1.92,,177.9061710833811
193,1.93,,
194,1.94,,117.00816912364519
195,1.95,,113.43931878338546
196,1.96,0.10060375260125651,104.77732032862505
197,1.97,,94.2302585796363
198,1.98,,84.76228319934074
199,1.99,,99.59252636157503
200,2.0,,81.33753596054054
201,2.0100000000000002,,88.93511362322252
202,2.02,,96.38550581840397
203,2.0300000000000002,,97.9122842815607
204,2.04,,
205,2.05,,
206,2.06,,
207,2.07,,
208,2.08,,
209,2.09,,
210,2.1,,
211,2.11,,
212,2.12,,
213,2.13,,
214,2.14,0.10722839226950007,
215,2.15,0.1039213775272149,89.48620043475697
216,2.16,,87.80901891308444
217,2.17,,
218,2.18,,
219,2.19,,
220,2.2,,
221,2.21,,
222,2.22,,
223,2.23,,225.36543479269886
224,2.24,,226.0148361402743
225,2.25,,202.12142908841537
226,2.2600000000000002,,195.04899327080523
227,2.27,,
228,2.2800000000000002,,
229,2.29,,283.4552542558078
230,2.3000000000000003,,233.9994449240292
231,2.31,,174.04053580227733
232,2.32,,213.87556302756624
233,2.33,,178.531642339479
234,2.34,,227.53262546155813
235,2.35,,220.23305220920633
236,2.36,,247.25607226122682
237,2.37,,207.9143325964614
238,2.38,,
239,2.39,,
240,2.4,,
241,2.41,,
242,2.42,,
243,2.43,,
244,2.44,,
245,2.45,,
246,2.46,0.10140531719393314,187.60297666442557
247,2.47,0.10153514384755019,204.07140241722567
248,2.48,,
249,2.49,,
250,2.5,,
251,2.5100000000000002,,
252,2.52,,230.08001589934776
253,2.5300000000000002,,234.76631061032845
254,2.54,,227.76609791598597
255,2.5500000000000003,,216.6268327544535
256,2.56,,
257,2.57,,
258,2.58,,
259,2.59,,
260,2.6,,
261,2.61,,
262,2.62,,110.98542909875378
263,2.63,,115.42313762479411
264,2.64,,123.89809757575075
265,2.65,,
266,2.66,,
267,2.67,,
268,2.68,,
269,2.69,0.11095143186930259,
270,2.7,,
271,2.71,,
272,2.72,,
273,2.73,,
274,2.74,0.10007150647388238,224.8958418776296
275,2.75,,211.31234800019118
276,2.7600000000000002,,
277,2.77,,
278,2.7800000000000002,,88.66377456061183
279,2.79,0.1194186133604851,81.46120071462254
