,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,i,0.82,0.92,1,0.10000000000000009,0.10000000000000009,9.999999999999991,0.07999999999999996
1,met,1.0,1.16,3,0.15999999999999992,0.05333333333333331,18.75000000000001,0.040000000000000036
2,a,1.2,1.24,1,0.040000000000000036,0.040000000000000036,24.99999999999998,0.06000000000000005
3,traveller,1.3,1.88,9,0.5799999999999998,0.06444444444444443,15.517241379310349,0.06000000000000005
4,from,1.94,2.1,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.020000000000000018
5,an,2.12,2.18,2,0.06000000000000005,0.030000000000000027,33.33333333333331,0.09999999999999964
6,antique,2.28,2.86,7,0.5800000000000001,0.08285714285714287,12.068965517241377,0.06000000000000005
7,land,2.92,3.34,4,0.41999999999999993,0.10499999999999998,9.523809523809526,0.040000000000000036
8,who,3.38,3.5,3,0.1200000000000001,0.040000000000000036,24.99999999999998,0.06000000000000005
9,said,3.56,3.86,4,0.2999999999999998,0.07499999999999996,13.333333333333341,0.8000000000000003
10,two,4.66,4.9,3,0.2400000000000002,0.08000000000000007,12.49999999999999,0.09999999999999964
11,vast,5.0,5.54,4,0.54,0.135,7.4074074074074066,0.019999999999999574
12,and,5.56,5.64,3,0.08000000000000007,0.02666666666666669,37.499999999999964,0.0600000000000005
13,trunkless,5.7,6.24,9,0.54,0.060000000000000005,16.666666666666664,0.09999999999999964
14,legs,6.34,6.68,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.020000000000000462
15,of,6.7,6.78,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.05999999999999961
16,stone,6.84,7.28,5,0.4400000000000004,0.08800000000000008,11.363636363636354,0.08000000000000007
17,standing,7.36,7.74,8,0.3799999999999999,0.04749999999999999,21.052631578947373,0.019999999999999574
18,the,7.76,7.82,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.040000000000000036
19,desert,7.86,8.26,6,0.39999999999999947,0.06666666666666658,15.00000000000002,0.8800000000000008
20,near,9.14,9.32,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.0600000000000005
21,them,9.38,9.62,4,0.23999999999999844,0.05999999999999961,16.666666666666774,0.3200000000000003
22,on,9.94,10.12,2,0.17999999999999972,0.08999999999999986,11.111111111111128,0.040000000000000924
23,the,10.16,10.22,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.08000000000000007
24,sand,10.3,10.78,4,0.47999999999999865,0.11999999999999966,8.333333333333357,0.3600000000000012
25,half,11.14,11.4,4,0.2599999999999998,0.06499999999999995,15.384615384615397,0.0600000000000005
26,sunk,11.46,11.84,4,0.379999999999999,0.09499999999999975,10.526315789473712,0.4800000000000004
27,a,12.32,12.42,1,0.09999999999999964,0.09999999999999964,10.000000000000036,0.11999999999999922
28,shattered,12.54,13.0,9,0.46000000000000085,0.051111111111111204,19.565217391304312,0.0600000000000005
29,visage,13.06,13.46,6,0.40000000000000036,0.06666666666666672,14.999999999999988,0.03999999999999915
30,lies,13.5,13.96,4,0.46000000000000085,0.11500000000000021,8.695652173913027,0.6399999999999988
31,whose,14.6,14.88,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.05999999999999872
32,frown,14.94,15.34,5,0.40000000000000036,0.08000000000000007,12.49999999999999,0.040000000000000924
33,and,15.38,15.46,3,0.08000000000000007,0.02666666666666669,37.499999999999964,0.0799999999999983
34,wrinkled,15.54,15.94,8,0.40000000000000036,0.050000000000000044,19.999999999999982,0.040000000000000924
35,lip,15.98,16.3,3,0.3200000000000003,0.10666666666666676,9.374999999999991,0.17999999999999972
36,and,16.48,16.62,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.11999999999999744
37,sneer,16.74,17.24,5,0.5,0.1,10.0,0.08000000000000185
38,of,17.32,17.42,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.05999999999999872
39,cold,17.48,17.78,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.05999999999999872
40,command,17.84,18.34,7,0.5,0.07142857142857142,14.0,0.4400000000000013
41,tell,18.78,19.08,4,0.29999999999999716,0.07499999999999929,13.33333333333346,0.08000000000000185
42,that,19.16,19.32,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.019999999999999574
43,it,19.34,19.44,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.05999999999999872
44,sculptor,19.5,19.98,8,0.4800000000000004,0.06000000000000005,16.666666666666654,0.0799999999999983
45,well,20.06,20.36,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.10000000000000142
46,those,20.46,20.7,5,0.23999999999999844,0.04799999999999969,20.83333333333347,0.03999999999999915
47,passions,20.74,21.22,8,0.4800000000000004,0.06000000000000005,16.666666666666654,0.060000000000002274
48,red,21.28,21.52,3,0.23999999999999844,0.07999999999999947,12.500000000000082,0.03999999999999915
49,which,21.56,21.72,5,0.16000000000000014,0.03200000000000003,31.24999999999997,0.0400000000000027
50,yet,21.76,21.94,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.019999999999999574
51,survive,21.96,22.52,7,0.5599999999999987,0.07999999999999982,12.500000000000028,0.8399999999999999
52,stamped,23.36,23.76,7,0.40000000000000213,0.057142857142857446,17.499999999999908,0.019999999999999574
53,on,23.78,23.88,2,0.09999999999999787,0.049999999999998934,20.000000000000426,0.019999999999999574
