,Unnamed: 0,Unnamed: 0.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,amplitude2,time
0,0,0,i,6.39,6.51,100.0,0.12,1,0.7058823529411764,0.0,0.7813722727663087,0.8016045940223026,6.449999999999999
1,1,1,met,6.51,6.72,100.0,0.21,3,0.3137254901960783,0.0,0.6928116460426459,0.6389355860394859,6.615
2,2,2,a,6.72,6.78,100.0,0.06,1,0.2352941176470588,0.0,0.0834228846423398,0.34761482370978075,6.75
3,3,3,traveller,6.78,7.14,100.0,0.36,9,0.0784313725490196,0.0,0.5670121295989509,0.7350439519528652,6.96
4,4,4,from,7.14,7.32,100.0,0.18,4,0.1176470588235294,0.0,0.4441382235981112,0.7953913776168918,7.23
5,5,5,an,7.32,7.44,100.0,0.12,2,0.2352941176470588,0.0,0.467974118665827,0.8861459639854453,7.380000000000001
6,6,6,antique,7.44,7.95,100.0,0.51,7,0.3361344537815126,0.0,0.3352666087296855,0.4897126420875374,7.695
7,7,7,land,7.95,8.49,100.0,0.54,4,0.823529411764706,0.0600000000000005,0.3532688879626542,0.5776896006056237,8.22
8,8,8,who,8.55,8.73,100.0,0.18,3,0.2352941176470588,0.0,0.1886805412816663,0.4900576507758145,8.64
9,9,9,said,8.73,9.09,100.0,0.36,4,0.4705882352941176,0.870000000000001,0.2239146763482763,0.4530939066440339,8.91
10,10,10,two,9.96,10.2,100.0,0.24,3,0.392156862745098,0.0,0.5934921152591908,0.6509337775431531,10.08
11,11,11,vast,10.2,10.83,100.0,0.63,4,1.0,0.0,0.4853611080407896,0.4919212887754445,10.515
12,12,12,and,10.83,11.07,100.0,0.24,3,0.392156862745098,0.0,0.1669178454067671,0.42625416652035336,10.95
13,13,13,trunk,11.07,11.34,87.6396,0.27,5,0.1882352941176471,0.0,0.4262930144755509,0.5070199354880428,11.205
14,14,14,less,11.34,11.55,76.113,0.21,4,0.1764705882352941,0.0,0.5114556729085253,0.5498101298212985,11.445
15,15,15,legs,11.55,11.85,100.0,0.3,4,0.3529411764705882,0.0,0.3760421222560033,0.6251778214935897,11.7
16,16,16,of,11.85,11.97,100.0,0.12,2,0.2352941176470588,0.0,0.3018514351724661,0.4653393406457037,11.91
17,17,17,stone,11.97,12.54,100.0,0.57,5,0.6588235294117646,0.0,0.4351240095487123,0.5454940213820865,12.254999999999999
18,18,18,stand,12.54,12.96,100.0,0.42,5,0.4235294117647058,0.0,0.3428011568052585,0.6746560178601876,12.75
19,19,19,in,12.96,13.08,100.0,0.12,2,0.2352941176470588,0.0,0.6086414563488698,0.6106883839952434,13.02
20,20,20,the,13.08,13.2,100.0,0.12,3,0.0784313725490196,0.0,0.3258736327699633,0.61548216233244,13.14
21,21,21,desert,13.2,13.62,100.0,0.42,6,0.3137254901960783,0.5100000000000016,0.1804762583225706,0.4806516592574359,13.41
22,22,22,near,14.13,14.43,100.0,0.3,4,0.3529411764705882,0.0,0.8895008942232663,0.7535677918276736,14.280000000000001
23,23,23,them,14.43,14.67,100.0,0.24,4,0.2352941176470588,0.0,0.5099178158948294,0.6297804822918837,14.55
24,24,24,on,14.67,14.85,100.0,0.18,2,0.4705882352941176,0.0,0.7010214499424883,0.7517864217035098,14.76
25,25,25,the,14.85,14.94,100.0,0.09,3,0.0,0.0,0.6570437054472972,0.5260463668044796,14.895
26,26,26,sand,14.94,15.39,100.0,0.45,4,0.6470588235294118,0.2400000000000002,0.3569765633823922,0.4935476768282965,15.165
27,27,27,half,15.63,15.87,100.0,0.24,4,0.2352941176470588,0.0,0.335240965838517,0.5669836012031898,15.75
28,28,28,sunk,15.87,16.32,100.0,0.45,4,0.6470588235294118,0.6000000000000014,0.2598506584290435,0.4425267495886525,16.095
29,29,29,a,16.92,16.98,100.0,0.06,1,0.2352941176470588,0.0,0.6085452249078215,0.6627878295501539,16.950000000000003
30,30,30,shattered,16.98,17.46,100.0,0.48,9,0.1830065359477124,0.0,0.5513686608747419,0.5697908140009402,17.22
31,31,31,visage,17.46,17.94,100.0,0.48,6,0.392156862745098,0.0,0.3901213668335602,0.5635956584629418,17.700000000000003
32,32,32,lies,17.94,18.39,100.0,0.45,4,0.6470588235294118,0.6600000000000001,0.233099848280148,0.570709956963339,18.165
33,33,33,whose,19.05,19.29,100.0,0.24,5,0.1411764705882353,0.0,0.3309941849931853,0.5265896615406435,19.17
34,34,34,frown,19.29,19.83,100.0,0.54,5,0.611764705882353,0.0600000000000022,0.5776610525771759,0.6315012831820142,19.56
35,35,35,and,19.89,20.07,100.0,0.18,3,0.2352941176470588,0.0,0.4250853126978471,0.678644588782297,19.98
36,36,36,wrinkled,20.07,20.43,100.0,0.36,8,0.1176470588235294,0.0,0.4548954019342082,0.6451495742594927,20.25
37,37,37,lip,20.43,20.76,100.0,0.33,3,0.6274509803921569,0.0599999999999987,0.1523774144536156,0.36061173286222153,20.595
38,38,38,and,20.82,21.03,100.0,0.21,3,0.3137254901960783,0.0,0.3929384698207929,0.7356305073706495,20.925
39,39,39,sneer,21.03,21.39,100.0,0.36,5,0.3294117647058823,0.0,0.5870406141055012,0.7142980727893705,21.21
40,40,40,of,21.39,21.48,100.0,0.09,2,0.1176470588235294,0.0,0.046237361724395,0.24511770920730683,21.435000000000002
41,41,41,cold,21.48,21.81,100.0,0.33,4,0.411764705882353,0.0,0.2825044265150306,0.5931472961712602,21.645
42,42,42,command,21.81,22.35,100.0,0.54,7,0.3697478991596639,0.5399999999999991,0.4134901018507091,0.5502368245047569,22.08
43,43,43,tell,22.89,23.13,100.0,0.24,4,0.2352941176470588,0.0,0.8342506555144269,0.7471160986192166,23.009999999999998
44,44,44,that,23.13,23.28,100.0,0.15,4,0.0588235294117647,0.0299999999999975,0.5176868912765773,0.6511761630545175,23.205
45,45,45,it's,23.31,23.46,100.0,0.15,4,0.0588235294117647,0.0,0.3725545157971743,0.546966003181018,23.384999999999998
46,46,46,sculptor,23.46,24.06,100.0,0.6,8,0.3529411764705882,0.0,0.5263982117960313,0.6130647832892785,23.759999999999998
47,47,47,well,24.06,24.36,100.0,0.3,4,0.3529411764705882,0.0,0.6888310078869644,0.6946476258206473,24.21
48,48,48,those,24.36,24.63,100.0,0.27,5,0.1882352941176471,0.0,0.3055755205515353,0.5281678114644329,24.494999999999997
49,49,49,passions,24.63,25.08,100.0,0.45,8,0.2058823529411765,0.0,0.2706739354203721,0.5354224971814089,24.854999999999997
50,50,50,read,25.08,25.44,100.0,0.36,4,0.4705882352941176,0.0299999999999975,0.2875564820083734,0.5451426875898691,25.259999999999998
51,51,51,which,25.47,25.77,100.0,0.3,5,0.2352941176470588,0.0,0.0,0.2883582449734196,25.619999999999997
52,52,52,yet,25.77,26.1,100.0,0.33,3,0.6274509803921569,0.0,0.1798908517177278,0.4522698110791059,25.935000000000002
