,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,was,0.3,0.48,3,0.18,0.06,16.666666666666668,0.040000000000000036,0.39
1,amanda's,0.52,1.1,8,0.5800000000000001,0.07250000000000001,13.793103448275861,0.17999999999999994,0.81
2,by,1.28,1.42,2,0.1399999999999999,0.06999999999999995,14.285714285714295,0.040000000000000036,1.35
3,persebas,1.46,2.06,8,0.6000000000000001,0.07500000000000001,13.333333333333332,0.06000000000000005,1.76
4,shelley,2.12,2.52,7,0.3999999999999999,0.05714285714285713,17.500000000000004,3.86,2.3200000000000003
5,i,6.38,6.46,1,0.08,0.08,12.5,0.05999999999999961,6.42
6,met,6.52,6.66,3,0.1400000000000005,0.046666666666666835,21.42857142857135,0.040000000000000036,6.59
7,a,6.7,6.72,1,0.0199999999999995,0.0199999999999995,50.00000000000125,0.0600000000000005,6.71
8,traveller,6.78,7.12,9,0.3399999999999998,0.03777777777777776,26.470588235294134,0.019999999999999574,6.95
9,from,7.14,7.28,4,0.1400000000000005,0.03500000000000013,28.571428571428466,0.019999999999999574,7.21
10,an,7.3,7.38,2,0.08,0.04,25.0,0.040000000000000036,7.34
11,antique,7.42,7.92,7,0.5,0.07142857142857142,14.0,0.040000000000000036,7.67
12,land,7.96,8.42,4,0.4599999999999999,0.11499999999999998,8.695652173913045,0.14000000000000057,8.19
13,who,8.56,8.68,3,0.1199999999999992,0.03999999999999974,25.000000000000167,0.0600000000000005,8.620000000000001
14,said,8.74,8.98,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.9399999999999995,8.86
15,two,9.92,10.14,3,0.2200000000000006,0.07333333333333354,13.636363636363598,0.09999999999999964,10.030000000000001
16,vast,10.24,10.78,4,0.5399999999999991,0.1349999999999998,7.407407407407419,0.0600000000000005,10.51
17,and,10.84,10.96,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.09999999999999964,10.9
18,trunkless,11.06,11.52,9,0.4599999999999991,0.05111111111111101,19.565217391304387,0.040000000000000924,11.29
19,legs,11.56,11.82,4,0.2599999999999998,0.06499999999999995,15.384615384615397,0.019999999999999574,11.690000000000001
20,of,11.84,11.92,2,0.08,0.04,25.0,0.08000000000000007,11.879999999999999
21,stone,12.0,12.52,5,0.5199999999999996,0.10399999999999991,9.615384615384624,0.040000000000000924,12.26
22,stand,12.56,12.92,5,0.3599999999999994,0.07199999999999987,13.888888888888912,0.040000000000000924,12.74
23,in,12.96,13.02,2,0.0599999999999987,0.02999999999999935,33.33333333333405,0.0600000000000005,12.99
24,the,13.08,13.14,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.05999999999999872,13.11
25,desert,13.2,13.58,6,0.3800000000000008,0.06333333333333346,15.789473684210494,0.5600000000000005,13.39
26,near,14.14,14.38,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.03999999999999915,14.260000000000002
27,them,14.42,14.6,4,0.1799999999999997,0.04499999999999992,22.22222222222226,0.08000000000000007,14.51
28,on,14.68,14.78,2,0.0999999999999996,0.0499999999999998,20.000000000000078,0.040000000000000924,14.73
29,the,14.82,14.88,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.05999999999999872,14.850000000000001
30,sand,14.94,15.36,4,0.4199999999999999,0.10499999999999997,9.523809523809527,0.2599999999999998,15.149999999999999
31,half,15.62,15.86,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.040000000000000924,15.739999999999998
32,sunk,15.9,16.26,4,0.3600000000000012,0.0900000000000003,11.111111111111073,0.5799999999999983,16.080000000000002
33,a,16.84,16.94,1,0.1000000000000014,0.1000000000000014,9.999999999999861,0.05999999999999872,16.89
34,shattered,17.0,17.42,9,0.4200000000000017,0.046666666666666856,21.428571428571342,0.05999999999999872,17.21
35,visage,17.48,17.88,6,0.3999999999999986,0.06666666666666643,15.000000000000053,0.0400000000000027,17.68
36,lies,17.92,18.32,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.6999999999999993,18.12
37,whose,19.02,19.26,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.03999999999999915,19.14
38,frown,19.3,19.78,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.0799999999999983,19.54
39,and,19.86,19.98,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.05999999999999872,19.92
40,wrinkled,20.04,20.34,8,0.3000000000000007,0.03750000000000009,26.666666666666604,0.10000000000000142,20.189999999999998
41,lip,20.44,20.72,3,0.2799999999999976,0.09333333333333253,10.714285714285806,0.10000000000000142,20.58
42,and,20.82,20.94,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.0799999999999983,20.880000000000003
43,sneer,21.02,21.34,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.03999999999999915,21.18
44,of,21.38,21.44,2,0.0600000000000022,0.0300000000000011,33.333333333332114,0.03999999999999915,21.41
45,cold,21.48,21.76,4,0.2800000000000011,0.07000000000000027,14.285714285714231,0.03999999999999915,21.62
46,command,21.8,22.3,7,0.5,0.07142857142857142,14.0,0.5599999999999987,22.05
47,tell,22.86,23.1,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.019999999999999574,22.98
48,that,23.12,23.26,4,0.1400000000000005,0.03500000000000013,28.571428571428466,0.019999999999999574,23.19
49,it,23.28,23.38,2,0.0999999999999978,0.0499999999999989,20.00000000000044,0.060000000000002274,23.33
50,sculptor,23.44,24.0,8,0.5599999999999987,0.06999999999999984,14.285714285714318,0.0799999999999983,23.72
51,well,24.08,24.34,4,0.2600000000000015,0.06500000000000038,15.384615384615296,0.03999999999999915,24.21
52,those,24.38,24.58,5,0.1999999999999993,0.039999999999999855,25.00000000000009,0.0400000000000027,24.479999999999997
53,passions,24.62,25.04,8,0.4199999999999981,0.05249999999999976,19.047619047619133,0.03999999999999915,24.83
54,red,25.08,25.36,3,0.2800000000000011,0.0933333333333337,10.714285714285673,0.120000000000001,25.22
55,which,25.48,25.68,5,0.1999999999999993,0.039999999999999855,25.00000000000009,0.120000000000001,25.58
56,yet,25.8,26.04,3,0.2399999999999984,0.07999999999999947,12.500000000000083,0.08000000000000185,25.92
57,survive,26.12,26.68,7,0.5599999999999987,0.07999999999999982,12.500000000000028,0.35999999999999943,26.4
58,stamped,27.04,27.48,7,0.4400000000000013,0.06285714285714304,15.909090909090862,0.03999999999999915,27.259999999999998
59,on,27.52,27.6,2,0.0800000000000018,0.0400000000000009,24.999999999999435,0.05999999999999872,27.560000000000002
60,these,27.66,27.88,5,0.2199999999999988,0.04399999999999976,22.72727272727285,0.0400000000000027,27.77
61,lifeless,27.92,28.38,8,0.4599999999999973,0.05749999999999966,17.39130434782619,0.060000000000002274,28.15
62,things,28.44,28.82,6,0.379999999999999,0.06333333333333317,15.789473684210568,0.6999999999999993,28.630000000000003
63,the,29.52,29.62,3,0.1000000000000014,0.0333333333333338,29.99999999999958,0.0799999999999983,29.57
64,hand,29.7,30.06,4,0.3599999999999994,0.08999999999999984,11.11111111111113,0.08000000000000185,29.88
