,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,14.7,14.88,100.0,0.18,1,0.18,0.0,0.7853680549341117,14.79,96.23326134654015
1,1,1,met,14.88,15.09,100.0,0.21,3,0.06999999999999999,0.0,0.5482037504922316,14.985,125.0109364822888
2,2,2,a,15.09,15.21,100.0,0.12,1,0.12,0.02999999999999936,0.2602201744994132,15.15,104.28584193219142
3,3,3,traveller,15.24,16.08,100.0,0.84,9,0.09333333333333332,0.9300000000000033,0.38854230680306634,15.66,82.32413910327416
4,4,4,from,17.01,17.25,100.0,0.24,4,0.06,0.0,0.6408711616000253,17.130000000000003,85.30444199988986
5,5,5,an,17.25,17.4,100.0,0.15,2,0.075,0.0,0.36199525657934534,17.325,85.13642830585839
6,6,6,antique,17.4,18.18,100.0,0.78,7,0.11142857142857143,0.0,0.38526483188925714,17.79,97.0162099681076
7,7,7,land,18.18,18.72,100.0,0.54,4,0.135,0.0,0.441948661620432,18.45,81.42224287803788
8,8,8,who,18.72,18.9,100.0,0.18,3,0.06,0.0,0.2291536696768313,18.81,69.0636117698484
9,9,9,said,18.9,19.41,100.0,0.51,4,0.1275,2.34,0.258949981894389,19.155,77.93498041665325
10,10,10,too,21.75,22.29,99.8087,0.54,3,0.18000000000000002,0.15000000000000213,0.42195472703277115,22.02,117.16290581822663
11,11,11,fast,22.44,23.19,99.8087,0.75,4,0.1875,0.0,0.3887026023936101,22.815,95.27486550430417
12,12,12,and,23.19,23.49,100.0,0.3,3,0.09999999999999999,0.18000000000000327,0.3709281084076174,23.34,72.85079588533425
13,13,13,thankless,23.67,24.36,42.793,0.69,9,0.07666666666666666,0.08999999999999986,0.28455349669445734,24.015,87.9749956237165
14,14,14,legs,24.45,24.99,100.0,0.54,4,0.135,0.0,0.2991040153106994,24.72,76.01856355599142
15,15,15,of,24.99,25.17,100.0,0.18,2,0.09,0.0,0.1566169001426532,25.08,68.07210212166194
16,16,16,stone,25.17,26.01,100.0,0.84,5,0.16799999999999998,0.11999999999999744,0.2964960242164922,25.590000000000003,80.66316029336599
17,17,17,stand,26.13,26.76,100.0,0.63,5,0.126,0.0,0.21388850565516504,26.445,68.329405599069
