,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,uh,1.62,1.62,2,0.0,0.0,inf,2.76,1.62
1,uh,4.38,4.42,2,0.04,0.02,50.0,2.1799999999999997,4.4
2,uh,6.6,6.64,2,0.04,0.02,50.0,8.0,6.619999999999999
3,i,14.64,14.76,1,0.1199999999999992,0.1199999999999992,8.333333333333389,0.120000000000001,14.7
4,met,14.88,15.06,3,0.1799999999999997,0.059999999999999894,16.666666666666696,0.03999999999999915,14.97
5,a,15.1,15.14,1,0.0400000000000009,0.0400000000000009,24.999999999999435,0.09999999999999964,15.120000000000001
6,traveler,15.24,16.0,8,0.7599999999999998,0.09499999999999997,10.526315789473687,0.9800000000000004,15.620000000000001
7,from,16.98,17.2,4,0.2199999999999988,0.0549999999999997,18.18181818181828,0.03999999999999915,17.09
8,an,17.24,17.32,2,0.0800000000000018,0.0400000000000009,24.999999999999435,0.0799999999999983,17.28
9,antique,17.4,18.08,7,0.6799999999999997,0.0971428571428571,10.294117647058828,0.14000000000000057,17.74
10,land,18.22,18.68,4,0.4600000000000008,0.1150000000000002,8.695652173913029,0.019999999999999574,18.45
11,who,18.7,18.8,3,0.1000000000000014,0.0333333333333338,29.99999999999958,0.120000000000001,18.75
12,said,18.92,19.28,4,0.3599999999999994,0.08999999999999984,11.11111111111113,2.4599999999999973,19.1
13,to,21.74,21.94,2,0.2000000000000028,0.1000000000000014,9.999999999999861,0.5,21.84
14,fast,22.44,22.92,4,0.4800000000000004,0.1200000000000001,8.333333333333327,0.259999999999998,22.68
15,and,23.18,23.38,3,0.1999999999999993,0.06666666666666643,15.000000000000053,0.240000000000002,23.28
16,trentless,23.62,24.32,9,0.6999999999999993,0.0777777777777777,12.85714285714287,0.120000000000001,23.97
17,legs,24.44,24.94,4,0.5,0.125,8.0,0.03999999999999915,24.69
18,of,24.98,25.1,2,0.120000000000001,0.0600000000000005,16.66666666666653,0.09999999999999787,25.04
19,stone,25.2,25.76,5,0.5600000000000023,0.11200000000000046,8.928571428571392,0.41999999999999815,25.48
20,stand,26.18,26.72,5,0.5399999999999991,0.10799999999999983,9.259259259259274,0.0400000000000027,26.45
21,in,26.76,26.86,2,0.0999999999999978,0.0499999999999989,20.00000000000044,0.03999999999999915,26.810000000000002
22,the,26.9,26.98,3,0.0800000000000018,0.02666666666666727,37.499999999999154,0.0799999999999983,26.939999999999998
23,desert,27.06,27.56,6,0.5,0.08333333333333333,12.0,4.280000000000001,27.31
24,near,31.84,32.06,4,0.2200000000000024,0.0550000000000006,18.181818181817984,0.0799999999999983,31.950000000000003
25,them,32.14,32.36,4,0.2199999999999988,0.0549999999999997,18.18181818181828,0.28000000000000114,32.25
26,on,32.64,32.76,2,0.1199999999999974,0.0599999999999987,16.666666666667027,0.060000000000002274,32.7
27,the,32.82,32.9,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.10000000000000142,32.86
28,sand,33.0,33.54,4,0.5399999999999991,0.1349999999999998,7.407407407407419,0.8000000000000043,33.269999999999996
29,half,34.34,34.68,4,0.3399999999999963,0.08499999999999908,11.76470588235307,0.10000000000000142,34.510000000000005
30,son,34.78,35.14,3,0.3599999999999994,0.11999999999999979,8.333333333333348,1.2199999999999989,34.96
31,a,36.36,36.46,1,0.1000000000000014,0.1000000000000014,9.999999999999861,0.10000000000000142,36.41
32,shattered,36.56,37.18,9,0.6199999999999974,0.06888888888888861,14.516129032258124,0.14000000000000057,36.870000000000005
33,visit,37.32,37.76,5,0.4399999999999977,0.08799999999999955,11.363636363636422,0.0,37.54
34,july,37.76,38.08,4,0.3200000000000003,0.08000000000000007,12.49999999999999,1.6600000000000037,37.92
35,who's,39.74,40.0,5,0.259999999999998,0.0519999999999996,19.23076923076938,0.10000000000000142,39.870000000000005
36,frown,40.1,40.68,5,0.5799999999999983,0.11599999999999966,8.62068965517244,0.03999999999999915,40.39
37,and,40.72,40.86,3,0.1400000000000005,0.046666666666666835,21.42857142857135,0.259999999999998,40.79
38,rinkled,41.12,41.74,7,0.6200000000000045,0.08857142857142922,11.290322580645078,0.1599999999999966,41.43
39,lip,41.9,42.24,3,0.3400000000000034,0.11333333333333447,8.823529411764618,0.10000000000000142,42.07
40,and,42.34,42.48,3,0.1399999999999934,0.04666666666666447,21.428571428572436,0.17999999999999972,42.41
41,sneer,42.66,43.38,5,0.720000000000006,0.14400000000000118,6.944444444444387,0.05999999999999517,43.019999999999996
42,of,43.44,43.54,2,0.1000000000000014,0.0500000000000007,19.999999999999723,0.1600000000000037,43.489999999999995
43,cold,43.7,44.28,4,0.5799999999999983,0.14499999999999957,6.896551724137951,0.0799999999999983,43.99
44,command,44.36,44.88,7,0.5200000000000031,0.07428571428571473,13.46153846153838,2.1799999999999997,44.620000000000005
45,terrible,47.06,47.46,8,0.3999999999999986,0.04999999999999982,20.00000000000007,0.03999999999999915,47.260000000000005
46,that,47.5,47.64,4,0.1400000000000005,0.03500000000000013,28.571428571428466,0.01999999999999602,47.57
47,it,47.66,47.78,2,0.1200000000000045,0.06000000000000225,16.666666666666043,0.060000000000002274,47.72
48,scoped,47.84,48.4,6,0.5599999999999952,0.09333333333333253,10.714285714285806,0.35999999999999943,48.120000000000005
49,will,48.76,49.22,4,0.4600000000000008,0.1150000000000002,8.695652173913029,0.1600000000000037,48.989999999999995
50,those,49.38,49.82,5,0.4399999999999977,0.08799999999999955,11.363636363636422,0.11999999999999744,49.6
51,passions,49.94,50.62,8,0.6799999999999997,0.08499999999999996,11.764705882352946,0.10000000000000142,50.28
52,red,50.72,51.02,3,0.3000000000000042,0.10000000000000141,9.99999999999986,0.1599999999999966,50.870000000000005
53,which,51.18,51.42,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.0799999999999983,51.3
54,yet,51.5,51.74,3,0.240000000000002,0.08000000000000067,12.499999999999897,0.0799999999999983,51.620000000000005
55,survive,51.82,52.38,7,0.5600000000000023,0.08000000000000032,12.499999999999948,3.8399999999999963,52.1
56,the,56.22,56.22,3,0.0,0.0,inf,1.0600000000000023,56.22
57,stamp,57.28,57.78,5,0.5,0.1,10.0,0.01999999999999602,57.53
58,done,57.8,58.04,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.03999999999999915,57.92
59,these,58.08,58.46,5,0.3800000000000025,0.0760000000000005,13.15789473684202,0.10000000000000142,58.269999999999996
60,life,58.56,58.98,4,0.4199999999999946,0.10499999999999865,9.523809523809646,0.0800000000000054,58.769999999999996
61,listing,59.06,59.76,7,0.6999999999999957,0.0999999999999994,10.00000000000006,1.8400000000000034,59.41
62,the,61.6,61.6,3,0.0,0.0,inf,0.6999999999999957,61.6
63,the,62.3,62.4,3,0.1000000000000014,0.0333333333333338,29.99999999999958,0.0799999999999983,62.349999999999994
64,hand,62.48,62.86,4,0.3800000000000025,0.09500000000000063,10.526315789473616,0.03999999999999915,62.67
65,that,62.9,63.04,4,0.1400000000000005,0.03500000000000013,28.571428571428466,0.0799999999999983,62.97
66,marked,63.12,63.52,6,0.4000000000000057,0.06666666666666761,14.999999999999787,0.01999999999999602,63.32
67,them,63.54,63.72,4,0.1799999999999997,0.04499999999999992,22.22222222222226,1.0600000000000023,63.629999999999995
68,and,64.78,64.92,3,0.1400000000000005,0.046666666666666835,21.42857142857135,0.03999999999999204,64.85
69,the,64.96,65.04,3,0.0800000000000125,0.026666666666670835,37.49999999999414,0.09999999999999432,65.0
70,heart,65.14,65.5,5,0.3599999999999994,0.07199999999999987,13.888888888888912,0.09999999999999432,65.32
71,that,65.6,65.76,4,0.1600000000000108,0.0400000000000027,24.999999999998312,2.559999999999988,65.68
72,the,68.32,68.32,3,0.0,0.0,inf,0.9400000000000119,68.32
73,the,69.26,69.26,3,0.0,0.0,inf,0.6999999999999886,69.26
74,and,69.96,70.16,3,0.2000000000000028,0.0666666666666676,14.99999999999979,0.020000000000010232,70.06
75,on,70.18,70.34,2,0.1599999999999966,0.0799999999999983,12.500000000000266,0.03999999999999204,70.26
76,the,70.38,70.44,3,0.0600000000000022,0.020000000000000732,49.99999999999817,0.0799999999999983,70.41
77,pedestal,70.52,71.2,8,0.6800000000000068,0.08500000000000085,11.764705882352823,0.20000000000000284,70.86
78,these,71.4,71.98,5,0.5799999999999983,0.11599999999999966,8.62068965517244,0.0799999999999983,71.69
79,words,72.06,72.7,5,0.6400000000000006,0.1280000000000001,7.812499999999993,0.060000000000002274,72.38
80,appear,72.76,73.26,6,0.5,0.08333333333333333,12.0,2.299999999999997,73.01
81,my,75.56,75.8,2,0.2399999999999948,0.1199999999999974,8.333333333333513,0.14000000000000057,75.68
82,name,75.94,76.32,4,0.3799999999999954,0.09499999999999885,10.526315789473811,0.04000000000000625,76.13
