,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,the,5.38,5.38,3,0.0,0.0,2.1799999999999997,5.38
1,the,7.56,7.56,3,0.0,0.0,2.1000000000000005,7.56
2,the,9.66,9.66,3,0.0,0.0,1.6199999999999992,9.66
3,the,11.28,11.28,3,0.0,0.0,1.1600000000000001,11.28
4,it's,12.44,12.58,4,0.1400000000000005,0.03500000000000013,0.0600000000000005,12.51
5,six,12.64,12.84,3,0.1999999999999993,0.06666666666666643,0.019999999999999574,12.74
6,o'clock,12.86,13.22,7,0.3600000000000012,0.0514285714285716,0.019999999999999574,13.04
7,in,13.24,13.28,2,0.0399999999999991,0.01999999999999955,0.02000000000000135,13.26
8,the,13.3,13.36,3,0.0599999999999987,0.019999999999999567,0.040000000000000924,13.33
9,morning,13.4,13.78,7,0.379999999999999,0.054285714285714146,0.8800000000000008,13.59
10,pitch,14.66,14.92,5,0.2599999999999998,0.051999999999999956,0.040000000000000924,14.79
11,black,14.96,15.2,5,0.2399999999999984,0.04799999999999968,0.02000000000000135,15.08
12,outside,15.22,15.74,7,0.5199999999999996,0.07428571428571422,0.9799999999999986,15.48
13,my,16.72,16.84,2,0.120000000000001,0.0600000000000005,0.08000000000000185,16.78
14,fourteen,16.92,17.28,8,0.3599999999999994,0.04499999999999992,0.019999999999999574,17.1
15,year,17.3,17.4,4,0.0999999999999978,0.02499999999999945,0.0,17.35
16,old,17.4,17.52,3,0.120000000000001,0.040000000000000334,0.03999999999999915,17.46
17,son,17.56,17.8,3,0.240000000000002,0.08000000000000067,0.03999999999999915,17.68
18,is,17.84,17.94,2,0.1000000000000014,0.0500000000000007,0.05999999999999872,17.89
19,fast,18.0,18.32,4,0.3200000000000003,0.08000000000000007,0.03999999999999915,18.16
20,asleep,18.36,18.72,6,0.3599999999999994,0.059999999999999894,0.019999999999999574,18.54
21,in,18.74,18.8,2,0.0600000000000022,0.0300000000000011,0.019999999999999574,18.77
22,his,18.82,18.94,3,0.120000000000001,0.040000000000000334,0.03999999999999915,18.880000000000003
23,bed,18.98,19.32,3,0.3399999999999998,0.11333333333333327,0.6999999999999993,19.15
24,sleeping,20.02,20.4,8,0.379999999999999,0.047499999999999876,0.020000000000003126,20.21
25,the,20.42,20.5,3,0.0799999999999983,0.0266666666666661,0.0799999999999983,20.46
26,reckless,20.58,21.18,8,0.6000000000000014,0.07500000000000018,0.26000000000000156,20.88
27,deep,21.44,21.7,4,0.259999999999998,0.0649999999999995,0.060000000000002274,21.57
28,sleep,21.76,22.1,5,0.3399999999999998,0.06799999999999996,0.03999999999999915,21.93
29,of,22.14,22.2,2,0.0599999999999987,0.02999999999999935,0.019999999999999574,22.17
30,a,22.22,22.26,1,0.0400000000000027,0.0400000000000027,0.05999999999999872,22.240000000000002
31,teenager,22.32,22.84,8,0.5199999999999996,0.06499999999999995,1.1999999999999993,22.58
32,i,24.04,24.14,1,0.1000000000000014,0.1000000000000014,0.05999999999999872,24.09
33,flip,24.2,24.42,4,0.2200000000000024,0.0550000000000006,0.03999999999999915,24.310000000000002
34,on,24.46,24.52,2,0.0599999999999987,0.02999999999999935,0.03999999999999915,24.490000000000002
35,the,24.56,24.62,3,0.0600000000000022,0.020000000000000732,0.03999999999999915,24.59
36,light,24.66,24.98,5,0.3200000000000003,0.06400000000000006,0.5,24.82
37,and,25.48,25.62,3,0.1400000000000005,0.046666666666666835,0.14000000000000057,25.55
38,physically,25.76,26.24,10,0.4799999999999969,0.04799999999999969,0.060000000000002274,26.0
39,shake,26.3,26.54,5,0.2399999999999984,0.04799999999999968,0.03999999999999915,26.42
40,the,26.58,26.62,3,0.0400000000000027,0.013333333333334233,0.03999999999999915,26.6
41,poor,26.66,26.82,4,0.1600000000000001,0.04000000000000002,0.019999999999999574,26.740000000000002
42,boy,26.84,27.06,3,0.2199999999999988,0.07333333333333293,0.019999999999999574,26.95
43,awake,27.08,27.44,5,0.360000000000003,0.07200000000000059,0.6199999999999974,27.259999999999998
44,because,28.06,28.28,7,0.2200000000000024,0.03142857142857177,0.0,28.17
45,i,28.28,28.34,1,0.0599999999999987,0.0599999999999987,0.05999999999999872,28.310000000000002
46,know,28.4,28.6,4,0.2000000000000028,0.0500000000000007,0.09999999999999787,28.5
47,that,28.7,28.9,4,0.1999999999999993,0.04999999999999982,0.22000000000000242,28.799999999999997
48,like,29.12,29.26,4,0.1400000000000005,0.03500000000000013,0.019999999999999574,29.19
49,ripping,29.28,29.5,7,0.2199999999999988,0.03142857142857126,0.019999999999999574,29.39
50,off,29.52,29.62,3,0.1000000000000014,0.0333333333333338,0.03999999999999915,29.57
51,a,29.66,29.68,1,0.0199999999999995,0.0199999999999995,0.03999999999999915,29.67
52,bandaid,29.72,30.24,7,0.5199999999999996,0.07428571428571422,0.4800000000000004,29.979999999999997
53,it's,30.72,30.88,4,0.1600000000000001,0.04000000000000002,0.0400000000000027,30.799999999999997
54,better,30.92,31.14,6,0.2199999999999988,0.036666666666666466,0.019999999999999574,31.03
55,to,31.16,31.22,2,0.0599999999999987,0.02999999999999935,0.0400000000000027,31.189999999999998
56,get,31.26,31.38,3,0.1199999999999974,0.039999999999999133,0.019999999999999574,31.32
57,it,31.4,31.48,2,0.0800000000000018,0.0400000000000009,0.019999999999999574,31.439999999999998
58,over,31.5,31.72,4,0.2199999999999988,0.0549999999999997,0.019999999999999574,31.61
59,with,31.74,31.88,4,0.1400000000000005,0.03500000000000013,0.060000000000002274,31.81
60,quickly,31.94,32.36,7,0.4199999999999981,0.05999999999999973,1.9600000000000009,32.15
61,i,34.32,34.4,1,0.0799999999999983,0.0799999999999983,0.0799999999999983,34.36
62,have,34.48,34.58,4,0.1000000000000014,0.02500000000000035,0.020000000000003126,34.53
63,a,34.6,34.66,1,0.0599999999999951,0.0599999999999951,0.060000000000002274,34.629999999999995
64,friend,34.72,35.12,6,0.3999999999999986,0.06666666666666643,0.03999999999999915,34.92
65,who,35.16,35.28,3,0.1200000000000045,0.0400000000000015,0.060000000000002274,35.22
66,yells,35.34,35.58,5,0.2399999999999948,0.04799999999999896,0.0799999999999983,35.46
67,fire,35.66,36.22,4,0.5600000000000023,0.14000000000000057,0.46000000000000085,35.94
68,just,36.68,36.98,4,0.2999999999999971,0.07499999999999928,0.060000000000002274,36.83
69,to,37.04,37.12,2,0.0799999999999983,0.03999999999999915,0.03999999999999915,37.08
70,rouse,37.16,37.44,5,0.2800000000000011,0.056000000000000216,0.03999999999999915,37.3
71,her,37.48,37.58,3,0.1000000000000014,0.0333333333333338,0.03999999999999915,37.53
72,sleeping,37.62,37.98,8,0.3599999999999994,0.04499999999999992,0.04000000000000625,37.8
73,team,38.02,38.42,4,0.3999999999999986,0.09999999999999964,0.6999999999999957,38.22
74,and,39.12,39.28,3,0.1600000000000037,0.053333333333334565,0.01999999999999602,39.2
75,another,39.3,39.64,7,0.3400000000000034,0.04857142857142906,0.03999999999999915,39.47
76,who,39.68,39.78,3,0.1000000000000014,0.0333333333333338,0.03999999999999915,39.730000000000004
77,got,39.82,39.98,3,0.1599999999999966,0.0533333333333322,0.10000000000000142,39.9
78,so,40.08,40.32,2,0.240000000000002,0.120000000000001,0.10000000000000142,40.2
79,fed,40.42,40.66,3,0.2399999999999948,0.07999999999999827,0.04000000000000625,40.54
80,up,40.7,40.88,2,0.1799999999999997,0.08999999999999984,0.27999999999999403,40.790000000000006
81,that,41.16,41.28,4,0.1200000000000045,0.030000000000001126,0.01999999999999602,41.22
82,she,41.3,41.38,3,0.0800000000000054,0.026666666666668466,0.05999999999999517,41.34
83,had,41.44,41.58,3,0.1400000000000005,0.046666666666666835,0.0,41.51
84,to,41.58,41.64,2,0.0600000000000022,0.0300000000000011,0.03999999999999915,41.61
85,dump,41.68,41.86,4,0.1799999999999997,0.04499999999999992,0.0799999999999983,41.769999999999996
86,cold,41.94,42.32,4,0.3800000000000025,0.09500000000000063,0.03999999999999915,42.129999999999995
87,water,42.36,42.74,5,0.3800000000000025,0.0760000000000005,0.03999999999999915,42.55
88,on,42.78,42.86,2,0.0799999999999983,0.03999999999999915,0.03999999999999915,42.82
89,her,42.9,42.98,3,0.0799999999999983,0.0266666666666661,0.060000000000002274,42.94
90,son's,43.04,43.32,5,0.2800000000000011,0.056000000000000216,0.03999999999999915,43.18
91,head,43.36,43.64,4,0.2800000000000011,0.07000000000000027,0.3999999999999986,43.5
92,just,44.04,44.46,4,0.4200000000000017,0.10500000000000043,0.060000000000002274,44.25
93,to,44.52,44.58,2,0.0599999999999951,0.02999999999999755,0.060000000000002274,44.55
94,get,44.64,44.74,3,0.1000000000000014,0.0333333333333338,0.01999999999999602,44.69
95,him,44.76,44.84,3,0.0800000000000054,0.026666666666668466,0.01999999999999602,44.8
96,out,44.86,44.98,3,0.1199999999999974,0.039999999999999133,0.0,44.92
97,of,44.98,45.06,2,0.0800000000000054,0.0400000000000027,0.05999999999999517,45.019999999999996
98,bed,45.12,45.46,3,0.3400000000000034,0.11333333333333447,1.259999999999998,45.29
99,sound,46.72,46.96,5,0.240000000000002,0.048000000000000397,0.03999999999999915,46.84
100,brutal,47.0,47.4,6,0.3999999999999986,0.06666666666666643,1.0200000000000031,47.2
101,but,48.42,48.56,3,0.1400000000000005,0.046666666666666835,0.05999999999999517,48.49
102,perhaps,48.62,49.24,7,0.6200000000000045,0.08857142857142922,0.0799999999999983,48.93
103,familiar,49.32,49.9,8,0.5799999999999983,0.07249999999999979,1.8000000000000043,49.61
104,every,51.7,52.02,5,0.3200000000000003,0.06400000000000006,0.03999999999999915,51.86
105,morning,52.06,52.52,7,0.4600000000000008,0.06571428571428582,0.0799999999999983,52.290000000000006
106,i,52.6,52.68,1,0.0799999999999983,0.0799999999999983,0.10000000000000142,52.64
107,ask,52.78,53.12,3,0.3399999999999963,0.1133333333333321,0.060000000000002274,52.95
108,myself,53.18,53.72,6,0.5399999999999991,0.08999999999999986,0.8800000000000026,53.45
109,how,54.6,54.78,3,0.1799999999999997,0.059999999999999894,0.03999999999999915,54.69
110,can,54.82,55.04,3,0.2199999999999988,0.07333333333333293,0.0799999999999983,54.93
111,i,55.12,55.2,1,0.0800000000000054,0.0800000000000054,0.9799999999999969,55.16
112,knowing,56.18,56.6,7,0.4200000000000017,0.06000000000000024,0.03999999999999915,56.39
113,what,56.64,56.76,4,0.1199999999999974,0.02999999999999935,0.03999999999999915,56.7
114,i,56.8,56.86,1,0.0600000000000022,0.0600000000000022,0.11999999999999744,56.83
115,know,56.98,57.14,4,0.1600000000000037,0.040000000000000924,0.7199999999999989,57.06
116,and,57.86,58.02,3,0.1600000000000037,0.053333333333334565,0.05999999999999517,57.94
117,doing,58.08,58.36,5,0.2800000000000011,0.056000000000000216,0.03999999999999915,58.22
118,what,58.4,58.52,4,0.1200000000000045,0.030000000000001126,0.01999999999999602,58.46
119,i,58.54,58.58,1,0.0399999999999991,0.0399999999999991,0.10000000000000142,58.56
120,do,58.68,58.78,2,0.1000000000000014,0.0500000000000007,0.11999999999999744,58.730000000000004
121,for,58.9,59.04,3,0.1400000000000005,0.046666666666666835,0.020000000000003126,58.97
122,a,59.06,59.1,1,0.0399999999999991,0.0399999999999991,0.05999999999999517,59.08
123,living,59.16,59.58,6,0.4200000000000017,0.07000000000000028,0.7800000000000011,59.37
124,be,60.36,60.46,2,0.1000000000000014,0.0500000000000007,0.03999999999999915,60.41
125,doing,60.5,60.72,5,0.2199999999999988,0.04399999999999976,0.020000000000003126,60.61
126,this,60.74,60.92,4,0.1799999999999997,0.04499999999999992,0.10000000000000142,60.83
127,to,61.02,61.1,2,0.0799999999999983,0.03999999999999915,0.03999999999999915,61.06
128,my,61.14,61.24,2,0.1000000000000014,0.0500000000000007,0.05999999999999517,61.19
129,own,61.3,61.46,3,0.1600000000000037,0.053333333333334565,0.0799999999999983,61.379999999999995
130,son,61.54,61.92,3,0.3800000000000025,0.1266666666666675,1.1599999999999966,61.730000000000004
131,you,63.08,63.2,3,0.1200000000000045,0.0400000000000015,0.0799999999999983,63.14
132,see,63.28,63.46,3,0.1799999999999997,0.059999999999999894,0.9600000000000009,63.370000000000005
133,i'm,64.42,64.62,3,0.2000000000000028,0.0666666666666676,0.03999999999999204,64.52000000000001
134,asleep,64.66,65.14,6,0.480000000000004,0.08000000000000067,0.04000000000000625,64.9
135,researcher,65.18,65.86,10,0.6799999999999926,0.06799999999999926,2.5600000000000023,65.52000000000001
136,so,68.42,68.52,2,0.0999999999999943,0.04999999999999715,0.060000000000002274,68.47
137,i,68.58,68.62,1,0.0400000000000062,0.0400000000000062,0.060000000000002274,68.6
138,know,68.68,68.82,4,0.1399999999999863,0.034999999999996576,0.060000000000002274,68.75
139,far,68.88,69.1,3,0.2199999999999988,0.07333333333333293,0.060000000000002274,68.99
140,too,69.16,69.24,3,0.0799999999999983,0.0266666666666661,0.060000000000002274,69.19999999999999
141,much,69.3,69.44,4,0.1400000000000005,0.03500000000000013,0.01999999999999602,69.37
142,about,69.46,69.62,5,0.1600000000000108,0.03200000000000216,0.0799999999999983,69.53999999999999
143,sleep,69.7,70.18,5,0.480000000000004,0.09600000000000079,0.09999999999999432,69.94
144,and,70.28,70.36,3,0.0799999999999983,0.0266666666666661,0.01999999999999602,70.32
145,the,70.38,70.44,3,0.0600000000000022,0.020000000000000732,0.04000000000000625,70.41
146,consequences,70.48,71.12,12,0.6400000000000006,0.05333333333333338,0.01999999999999602,70.80000000000001
147,of,71.14,71.2,2,0.0600000000000022,0.0300000000000011,0.060000000000002274,71.17
148,sleep,71.26,71.54,5,0.2800000000000011,0.056000000000000216,0.03999999999999204,71.4
149,loss,71.58,71.98,4,0.4000000000000057,0.10000000000000142,0.9200000000000017,71.78
150,i,72.9,72.98,1,0.0799999999999983,0.0799999999999983,0.09999999999999432,72.94
151,know,73.08,73.3,4,0.2199999999999988,0.0549999999999997,0.10000000000000853,73.19
152,that,73.4,73.5,4,0.0999999999999943,0.024999999999998575,0.01999999999999602,73.45
153,i'm,73.52,73.62,3,0.1000000000000085,0.033333333333336164,0.03999999999999204,73.57
154,depriving,73.66,74.24,9,0.5799999999999983,0.06444444444444425,0.04000000000000625,73.94999999999999
155,my,74.28,74.38,2,0.0999999999999943,0.04999999999999715,0.060000000000002274,74.33
156,son,74.44,74.72,3,0.2800000000000011,0.0933333333333337,0.04000000000000625,74.58
157,of,74.76,74.82,2,0.059999999999988,0.029999999999994,0.060000000000002274,74.78999999999999
158,the,74.88,74.94,3,0.0600000000000022,0.020000000000000732,0.060000000000002274,74.91
159,sleep,75.0,75.36,5,0.3599999999999994,0.07199999999999987,0.04000000000000625,75.18
160,he,75.4,75.46,2,0.059999999999988,0.029999999999994,0.10000000000000853,75.43
161,desperately,75.56,76.12,11,0.5600000000000023,0.05090909090909112,0.0799999999999983,75.84
162,needs,76.2,76.62,5,0.4200000000000017,0.08400000000000034,0.37999999999999545,76.41
163,as,77.0,77.16,2,0.1599999999999966,0.0799999999999983,0.04000000000000625,77.08
164,a,77.2,77.24,1,0.039999999999992,0.039999999999992,0.060000000000002274,77.22
165,rapidly,77.3,77.74,7,0.4399999999999977,0.06285714285714253,0.04000000000000625,77.52
166,growing,77.78,78.1,7,0.3199999999999932,0.04571428571428474,0.04000000000000625,77.94
167,teenager,78.14,78.72,8,0.5799999999999983,0.07249999999999979,0.9000000000000057,78.43
168,i,79.62,79.7,1,0.0799999999999983,0.0799999999999983,0.0799999999999983,79.66
169,also,79.78,80.04,4,0.2600000000000051,0.06500000000000128,0.0799999999999983,79.91
170,know,80.12,80.36,4,0.2399999999999948,0.0599999999999987,0.2600000000000051,80.24000000000001
171,that,80.62,80.74,4,0.1199999999999903,0.029999999999997574,0.04000000000000625,80.68
172,by,80.78,80.9,2,0.1200000000000045,0.06000000000000225,0.05999999999998806,80.84
173,waking,80.96,81.24,6,0.2800000000000011,0.04666666666666685,0.020000000000010232,81.1
174,him,81.26,81.38,3,0.1199999999999903,0.03999999999999677,0.020000000000010232,81.32
175,up,81.4,81.54,2,0.1400000000000005,0.07000000000000026,0.19999999999998863,81.47
176,hours,81.74,82.26,5,0.5200000000000102,0.10400000000000205,0.05999999999998806,82.0
177,before,82.32,82.72,6,0.4000000000000057,0.06666666666666761,0.0799999999999983,82.52
178,his,82.8,82.94,3,0.1400000000000005,0.046666666666666835,0.060000000000002274,82.87
179,natural,83.0,83.42,7,0.4200000000000017,0.06000000000000024,0.01999999999999602,83.21000000000001
180,biological,83.44,84.04,10,0.6000000000000085,0.06000000000000085,0.03999999999999204,83.74000000000001
181,clock,84.08,84.4,5,0.3200000000000074,0.06400000000000147,0.28000000000000114,84.24000000000001
182,tells,84.68,84.94,5,0.2599999999999909,0.05199999999999818,0.01999999999999602,84.81
183,him,84.96,85.06,3,0.1000000000000085,0.033333333333336164,0.060000000000002274,85.00999999999999
184,he's,85.12,85.28,4,0.1599999999999966,0.03999999999999915,0.03999999999999204,85.2
185,ready,85.32,85.64,5,0.3200000000000074,0.06400000000000147,0.7399999999999949,85.47999999999999
186,i'm,86.38,86.54,3,0.1600000000000108,0.05333333333333693,0.05999999999998806,86.46000000000001
187,literally,86.6,86.96,9,0.3599999999999994,0.03999999999999993,0.0800000000000125,86.78
188,robbing,87.04,87.42,7,0.3799999999999954,0.054285714285713625,0.03999999999999204,87.23
189,him,87.46,87.6,3,0.1400000000000005,0.046666666666666835,0.04000000000000625,87.53
190,of,87.64,87.72,2,0.0799999999999983,0.03999999999999915,0.04000000000000625,87.68
191,his,87.76,87.9,3,0.1400000000000005,0.046666666666666835,0.05999999999998806,87.83000000000001
192,dreams,87.96,88.54,6,0.5800000000000125,0.09666666666666875,0.9199999999999875,88.25
193,the,89.46,89.54,3,0.0800000000000125,0.026666666666670835,0.03999999999999204,89.5
194,type,89.58,89.86,4,0.2800000000000011,0.07000000000000027,0.01999999999999602,89.72
195,of,89.88,89.96,2,0.0799999999999983,0.03999999999999915,0.0800000000000125,89.91999999999999
196,sleep,90.04,90.48,5,0.4399999999999977,0.08799999999999955,0.3199999999999932,90.26
197,most,90.8,91.18,4,0.3800000000000096,0.0950000000000024,0.01999999999999602,90.99000000000001
198,associated,91.2,92.06,10,0.8599999999999994,0.08599999999999994,0.28000000000000114,91.63
199,with,92.34,92.48,4,0.1400000000000005,0.03500000000000013,0.09999999999999432,92.41
200,learning,92.58,93.18,8,0.6000000000000085,0.07500000000000107,0.3999999999999915,92.88
201,memory,93.58,94.0,6,0.4200000000000017,0.07000000000000028,0.060000000000002274,93.78999999999999
202,consolidation,94.06,94.94,13,0.8799999999999955,0.06769230769230734,0.35999999999999943,94.5
203,and,95.3,95.42,3,0.1200000000000045,0.0400000000000015,0.03999999999999204,95.36
204,emotional,95.46,95.98,9,0.5200000000000102,0.05777777777777891,0.060000000000002274,95.72
205,processing,96.04,96.7,10,0.6599999999999966,0.06599999999999966,1.1400000000000006,96.37
206,but,97.84,98.0,3,0.1599999999999966,0.0533333333333322,0.04000000000000625,97.92
207,it's,98.04,98.18,4,0.1400000000000005,0.03500000000000013,0.03999999999999204,98.11000000000001
208,not,98.22,98.38,3,0.1599999999999966,0.0533333333333322,0.0799999999999983,98.3
209,just,98.46,98.64,4,0.1800000000000068,0.0450000000000017,0.060000000000002274,98.55
210,my,98.7,98.82,2,0.1199999999999903,0.05999999999999515,0.060000000000002274,98.75999999999999
211,kid,98.88,99.1,3,0.2199999999999988,0.07333333333333293,0.020000000000010232,98.99
212,that's,99.12,99.26,6,0.1400000000000005,0.023333333333333418,0.03999999999999204,99.19
213,being,99.3,99.44,5,0.1400000000000005,0.0280000000000001,0.01999999999999602,99.37
214,deprived,99.46,99.86,8,0.4000000000000057,0.05000000000000071,0.01999999999999602,99.66
215,of,99.88,99.94,2,0.0600000000000022,0.0300000000000011,0.060000000000002274,99.91
216,sleep,100.0,100.38,5,0.3799999999999954,0.07599999999999908,1.5200000000000102,100.19
217,sleep,101.9,102.24,5,0.3399999999999892,0.06799999999999784,0.04000000000000625,102.07
218,deprivation,102.28,102.92,11,0.6400000000000006,0.05818181818181823,0.0799999999999983,102.6
