,Word,Start,End,length,time_spent,std_time_spent,post_space
0,the,5.38,5.38,3,0.0,0.0,2.1799999999999997
1,the,7.56,7.56,3,0.0,0.0,2.1000000000000005
2,the,9.66,9.66,3,0.0,0.0,1.6199999999999992
3,the,11.28,11.28,3,0.0,0.0,1.2800000000000011
4,uh,12.56,12.56,2,0.0,0.0,0.6999999999999993
5,yeah,13.26,13.46,4,0.20000000000000107,0.050000000000000266,2.9399999999999977
6,when,16.4,16.54,4,0.14000000000000057,0.03500000000000014,0.019999999999999574
7,i,16.56,16.6,1,0.0400000000000027,0.0400000000000027,0.05999999999999872
8,was,16.66,16.76,3,0.10000000000000142,0.033333333333333805,0.019999999999999574
9,a,16.78,16.82,1,0.03999999999999915,0.03999999999999915,0.05999999999999872
10,kid,16.88,17.2,3,0.3200000000000003,0.10666666666666676,0.1999999999999993
11,my,17.4,17.54,2,0.14000000000000057,0.07000000000000028,0.03999999999999915
12,mom,17.58,17.78,3,0.20000000000000284,0.06666666666666761,0.019999999999999574
13,and,17.8,17.88,3,0.0799999999999983,0.0266666666666661,0.0400000000000027
14,i,17.92,17.98,1,0.05999999999999872,0.05999999999999872,0.259999999999998
15,made,18.24,18.42,4,0.18000000000000327,0.04500000000000082,0.019999999999999574
16,this,18.44,18.56,4,0.11999999999999744,0.02999999999999936,0.0400000000000027
17,steel,18.6,18.96,5,0.35999999999999943,0.07199999999999988,0.6199999999999974
18,i,19.58,19.68,1,0.10000000000000142,0.10000000000000142,0.08000000000000185
19,was,19.76,19.86,3,0.09999999999999787,0.033333333333332625,0.060000000000002274
20,allowed,19.92,20.24,7,0.31999999999999673,0.04571428571428525,0.0400000000000027
21,to,20.28,20.38,2,0.09999999999999787,0.049999999999998934,0.08000000000000185
22,take,20.46,20.82,4,0.35999999999999943,0.08999999999999986,0.21999999999999886
23,three,21.04,21.3,5,0.26000000000000156,0.05200000000000031,0.14000000000000057
24,mental,21.44,21.76,6,0.3200000000000003,0.05333333333333338,0.03999999999999915
25,health,21.8,22.04,6,0.23999999999999844,0.03999999999999974,0.03999999999999915
26,rest,22.08,22.32,4,0.240000000000002,0.0600000000000005,0.0799999999999983
27,days,22.4,22.66,4,0.26000000000000156,0.06500000000000039,0.0799999999999983
28,every,22.74,23.04,5,0.3000000000000007,0.060000000000000143,0.08000000000000185
29,semester,23.12,23.64,8,0.5199999999999996,0.06499999999999995,0.0799999999999983
30,as,23.72,23.84,2,0.120000000000001,0.0600000000000005,0.03999999999999915
31,long,23.88,24.12,4,0.240000000000002,0.0600000000000005,0.019999999999999574
32,as,24.14,24.22,2,0.0799999999999983,0.03999999999999915,0.0400000000000027
33,i,24.26,24.3,1,0.03999999999999915,0.03999999999999915,0.05999999999999872
34,continue,24.36,24.76,8,0.40000000000000213,0.050000000000000266,0.03999999999999915
35,to,24.8,24.86,2,0.05999999999999872,0.02999999999999936,0.03999999999999915
36,do,24.9,25.0,2,0.10000000000000142,0.05000000000000071,0.0799999999999983
37,well,25.08,25.2,4,0.120000000000001,0.03000000000000025,0.03999999999999915
38,in,25.24,25.3,2,0.060000000000002274,0.030000000000001137,0.05999999999999872
39,school,25.36,25.7,6,0.33999999999999986,0.05666666666666664,1.1400000000000006
40,this,26.84,26.98,4,0.14000000000000057,0.03500000000000014,0.019999999999999574
41,was,27.0,27.12,3,0.120000000000001,0.040000000000000334,0.03999999999999915
