Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,today,0.18,0.48,0.3,0.44,1,5,0.409090909090964,0.39477607596962977
1,i,0.92,0.98,0.0599999999999999,0.06,1,1,0.40909090909096335,0.32603714067985345
2,want,1.04,1.16,0.1199999999999998,0.0,1,4,0.20454545454548168,0.44439019051102874
3,to,1.16,1.2,0.04,0.06,1,2,0.1363636363636547,0.4047176229504326
4,tell,1.26,1.42,0.1599999999999999,0.04,1,4,0.2727272727273092,0.4342113767428669
5,you,1.46,1.54,0.08,0.06,1,3,0.18181818181820625,0.43197433808064817
6,three,1.6,1.78,0.1799999999999999,0.06,1,5,0.24545454545457832,0.31515143657744055
7,stories,1.84,2.18,0.3400000000000001,0.02,1,7,0.33116883116887574,0.4156082635379383
8,from,2.2,2.3,0.0999999999999996,0.04,1,4,0.17045454545456767,0.2731793043361633
9,my,2.34,2.44,0.1,0.06,1,2,0.34090909090913674,0.3773668264397218
10,life,2.5,2.8,0.2999999999999998,0.6000000000000001,1,4,0.5113636363637047,0.2849772151470596
11,that's,3.4,3.62,0.2200000000000002,0.04,1,6,0.2500000000000338,0.28014285367843267
12,it,3.66,3.82,0.1599999999999997,0.3599999999999999,1,2,0.5454545454546177,0.2739784900751397
13,no,4.18,4.26,0.08,0.0600000000000005,1,2,0.2727272727273094,0.35261084095463363
14,big,4.32,4.44,0.1200000000000001,0.04,1,3,0.2727272727273096,0.20304451934973003
15,deal,4.48,4.76,0.2799999999999993,0.6600000000000001,1,4,0.4772727272727902,0.2757209810432212
16,just,5.42,5.62,0.2000000000000001,0.0599999999999996,1,4,0.34090909090913685,0.16346060665185383
17,three,5.68,5.84,0.1600000000000001,0.0600000000000005,1,5,0.2181818181818476,0.15623356780477815
18,stories,5.9,6.32,0.4199999999999999,3.08,1,7,0.40909090909096396,0.20238043835404812
19,yeah,9.4,9.4,0.0,0.9000000000000004,1,4,0.0,
20,the,10.3,10.38,0.08,0.0599999999999987,1,3,0.18181818181820625,0.296899551310413
21,first,10.44,10.64,0.200000000000001,0.0399999999999991,1,5,0.27272727272731073,0.5520362462601894
22,story,10.68,11.06,0.3800000000000008,0.8399999999999999,1,5,0.5181818181818888,0.4981730074474049
23,is,11.9,12.02,0.1199999999999992,0.0199999999999995,1,2,0.40909090909096135,0.2510251013665875
24,about,12.04,12.24,0.200000000000001,0.0399999999999991,1,5,0.27272727272731073,0.3104144951037878
25,connecting,12.28,12.66,0.3800000000000008,0.0399999999999991,1,10,0.2590909090909444,0.29766002841399375
26,the,12.7,12.74,0.0400000000000009,0.0399999999999991,1,3,0.09090909090910518,0.37841241499111405
27,dots,12.78,13.2,0.4199999999999999,2.1000000000000014,1,4,0.7159090909091869,0.3022941158884066
28,i,15.3,15.38,0.08,0.08,1,1,0.5454545454546188,0.18119530781848997
29,dropped,15.46,15.76,0.2999999999999989,0.0199999999999995,1,7,0.2922077922078304,0.34724844289524454
30,out,15.78,15.88,0.1000000000000014,0.0,1,3,0.227272727272761,0.5253870020214174
31,of,15.88,15.92,0.0399999999999991,0.0400000000000009,1,2,0.13636363636365162,0.6579712060376162
