,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude
0,0,word,0.0,0.24,90.926,0.24,4,0.06,0.0,0.10171287634655642
1,1,count,0.24,0.75,90.926,0.51,5,0.102,0.4499999999999999,0.01990953173804244
2,2,in,1.2,1.47,100.0,0.27,2,0.135,0.06,0.08539871237605767
3,3,a,1.53,1.62,100.0,0.09,1,0.09,0.0,0.10536451813074767
4,4,given,1.62,2.01,100.0,0.3899999999999997,5,0.0779999999999999,0.0,0.07366000098456851
5,5,text,2.01,2.43,100.0,0.4200000000000004,4,0.1050000000000001,0.48,0.011312572272057385
6,6,next,2.91,3.198098,56.6227,0.2880979999999997,4,0.0720244999999999,0.0,0.05086628847448716
7,7,slot,3.198098,3.54,100.0,0.3419020000000001,4,0.0854755,1.29,0.02437408888493376
8,8,so,4.83,5.04,100.0,0.2099999999999999,2,0.1049999999999999,0.0,0.09689917943864054
9,9,why,5.04,5.4,100.0,0.3600000000000003,3,0.1200000000000001,0.0,0.1465778057687557
10,10,shouldn't,5.4,5.82,100.0,0.4199999999999999,9,0.0466666666666666,0.0,0.08917100233105395
11,11,it,5.82,5.88,69.9457,0.0599999999999996,2,0.0299999999999998,0.0531430000000003,0.046948422109729306
12,12,work,5.933143,6.18,100.0,0.2468569999999994,4,0.0617142499999998,0.2700000000000004,0.0592127976425426
13,13,well,6.45,6.63,100.0,0.1799999999999997,4,0.0449999999999999,0.0,0.1279149630953365
14,14,here's,6.63,6.9,100.0,0.2700000000000004,6,0.045,0.0,0.1369351359551826
15,15,this,6.9,7.08,100.0,0.1799999999999997,4,0.0449999999999999,0.0,0.1776164336719931
16,16,is,7.08,7.2,100.0,0.1200000000000001,2,0.06,0.0,0.14296740288997545
17,17,the,7.2,7.29,79.3097,0.0899999999999998,3,0.0299999999999999,0.0,0.1254531887263007
18,18,funny,7.29,7.53,100.0,0.2400000000000002,5,0.048,0.0,0.11229275900220113
19,19,thing,7.53,7.74,100.0,0.2099999999999999,5,0.0419999999999999,0.0299999999999993,0.046524949110348504
20,20,if,7.77,7.92,100.0,0.1500000000000003,2,0.0750000000000001,0.0,0.10721860440139598
21,21,you,7.92,8.07,100.0,0.1500000000000003,3,0.0500000000000001,0.0,0.2168083346619898
22,22,sit,8.07,8.43,91.7215,0.3599999999999994,3,0.1199999999999997,0.0899999999999998,0.09108795450508039
23,23,and,8.52,8.76,100.0,0.2400000000000002,3,0.08,0.120000000000001,0.0825803530369396
24,24,try,8.88,9.03,46.7992,0.1499999999999985,3,0.0499999999999994,0.0,0.07748751708799839
25,25,to,9.03,9.155257,46.7992,0.1252570000000012,2,0.0626285000000006,0.0547430000000002,0.09937183067990248
26,26,try,9.21,9.39,91.7998,0.1799999999999997,3,0.0599999999999998,0.0,0.07994089969972364
27,27,to,9.39,9.51,100.0,0.1199999999999992,2,0.0599999999999996,0.0,0.06205123820632854
28,28,think,9.51,9.75,100.0,0.2400000000000002,5,0.048,0.0,0.07338361963573407
29,29,about,9.75,10.05,100.0,0.3000000000000007,5,0.0600000000000001,0.0,0.057451638288779056
30,30,why,10.05,10.29,100.0,0.2399999999999984,3,0.0799999999999994,0.0,0.08117154179787149
31,31,these,10.29,10.53,100.0,0.2400000000000002,5,0.048,0.0300000000000011,0.062244017378272926
32,32,high,10.56,10.74,29.5667,0.1799999999999997,4,0.0449999999999999,0.0020959999999998,0.0428821605048993
33,33,clouds,10.742096,11.22,100.0,0.4779040000000005,6,0.0796506666666667,0.0899999999999998,0.07695882337146295
34,34,were,11.31,11.52,67.5189,0.209999999999999,4,0.0524999999999997,0.0300000000000011,0.06361934034526509
35,35,clouds,11.55,11.88,100.0,0.33,6,0.055,0.0,0.06990616514716683
36,36,like,11.88,12.06,100.0,0.1799999999999997,4,0.0449999999999999,0.0,0.06603832057454058
37,37,this,12.06,12.27,100.0,0.209999999999999,4,0.0524999999999997,0.3900000000000005,0.05335814493828285
38,38,why,12.66,13.02,100.0,0.3599999999999994,3,0.1199999999999997,0.0,0.09022575218871548
39,39,they're,13.02,13.17,84.8794,0.1500000000000003,7,0.0214285714285714,0.0,0.10316153805272109
40,40,bad,13.17,13.56,100.0,0.3900000000000005,3,0.1300000000000001,0.2999999999999989,0.06768608437048029
41,41,it's,13.86,14.07,100.0,0.2100000000000008,4,0.0525000000000002,0.0,0.12025975444741388
42,42,actually,14.07,14.46,100.0,0.3900000000000005,8,0.04875,0.0,0.11906879628437246
43,43,very,14.46,15.0,100.0,0.5399999999999991,4,0.1349999999999998,0.0,0.11478694275983928
44,44,very,15.0,15.39,100.0,0.3900000000000005,4,0.0975000000000001,0.0299999999999993,0.0812544987654851
45,45,easy,15.42,15.72,100.0,0.3000000000000007,4,0.0750000000000001,0.0599999999999987,0.056486401662444494
46,46,to,15.78,15.9,100.0,0.120000000000001,2,0.0600000000000005,0.0,0.08569560840286636
47,47,come,15.9,16.11,100.0,0.209999999999999,4,0.0524999999999997,0.0,0.08971903357852318
48,48,up,16.11,16.26,100.0,0.1500000000000021,2,0.075000000000001,0.0,0.03984678561094577
49,49,with,16.26,16.41,100.0,0.1499999999999985,4,0.0374999999999996,0.0,0.06324243293237433
50,50,reasons,16.41,16.92,100.0,0.5100000000000016,7,0.072857142857143,0.0299999999999975,0.042881972124787414
51,51,you,16.95,17.1,100.0,0.1500000000000021,3,0.0500000000000007,0.0,0.07588134212018141
52,52,know,17.1,17.28,100.0,0.1799999999999997,4,0.0449999999999999,0.4199999999999981,0.04762261530769715
