,time,amplitude,pitch
0,0.0,,
1,0.01,,
2,0.02,,
3,0.03,,
4,0.04,,
5,0.05,,
6,0.06,,
7,0.07,,
8,0.08,,
9,0.09,,
10,0.1,,
11,0.11,,
12,0.12,,
13,0.13,,
14,0.14,,
15,0.15,,
16,0.16,,
17,0.17,,
18,0.18,,
19,0.19,,
20,0.2,,
21,0.21,,
22,0.22,,
23,0.23,,
24,0.24,,
25,0.25,,
26,0.26,,
27,0.27,,
28,0.28,,
29,0.29,,
30,0.3,,
31,0.31,,
32,0.32,,
33,0.33,,
34,0.34,,
35,0.35000000000000003,,
36,0.36,,
37,0.37,,
38,0.38,,
39,0.39,,
40,0.4,,
41,0.41000000000000003,,
42,0.42,,
43,0.43,,
44,0.44,,
45,0.45,,
46,0.46,,
47,0.47000000000000003,,
48,0.48,,
49,0.49,,
50,0.5,,
51,0.51,,
52,0.52,,
53,0.53,,
54,0.54,,
55,0.55,,
56,0.56,,
57,0.5700000000000001,,
58,0.58,,
59,0.59,,
60,0.6,,
61,0.61,,
62,0.62,,
63,0.63,,
64,0.64,,
65,0.65,,
66,0.66,,
67,0.67,,
68,0.68,,
69,0.6900000000000001,,
70,0.7000000000000001,,
71,0.71,,
72,0.72,,
73,0.73,,
74,0.74,,
75,0.75,,
76,0.76,,
77,0.77,,
78,0.78,,
79,0.79,,
80,0.8,,
81,0.81,,
82,0.8200000000000001,,
83,0.8300000000000001,,
84,0.84,,
85,0.85,,
86,0.86,,
87,0.87,,
88,0.88,,
89,0.89,,
90,0.9,,
91,0.91,,
92,0.92,,
93,0.93,0.14211677717155544,
94,0.9400000000000001,0.24477807656837622,
95,0.9500000000000001,0.3686566004833938,
96,0.96,0.48861868368102146,
97,0.97,0.5725664997530044,
98,0.98,0.5866304747652727,111.83455991993013
99,0.99,0.532143950273057,105.81904504547866
100,1.0,0.44790214750493185,102.28699233476127
101,1.01,0.3689603737510761,98.3964177860357
102,1.02,0.31625759184783814,97.94144108755098
103,1.03,0.30299717191363046,96.63419990005555
104,1.04,0.30550404106867124,95.43539729892079
105,1.05,0.286459595676977,94.17766156371977
106,1.06,0.24028988769575582,94.22036901773973
107,1.07,0.1923391515373193,93.0182759862014
108,1.08,0.16014650620211596,90.94010919942595
109,1.09,0.1402927722745308,90.78013026747942
110,1.1,0.12654966498414544,90.2460781107873
111,1.11,0.1135029969501619,89.26227945219591
112,1.12,,90.27249271897077
113,1.1300000000000001,,90.06661942642454
114,1.1400000000000001,,92.88564204913321
115,1.1500000000000001,,91.85351510682081
116,1.16,,
117,1.17,,
118,1.18,,
119,1.19,,
120,1.2,,
121,1.21,,
122,1.22,,
123,1.23,,
124,1.24,,
125,1.25,,
126,1.26,,
127,1.27,,
128,1.28,,
129,1.29,,
130,1.3,,
131,1.31,,
132,1.32,,
133,1.33,,
134,1.34,,
135,1.35,,
136,1.36,,
137,1.37,,
138,1.3800000000000001,,
139,1.3900000000000001,,
140,1.4000000000000001,,
141,1.41,,
142,1.42,,
143,1.43,,
144,1.44,,
145,1.45,,
146,1.46,,
147,1.47,,
148,1.48,,
149,1.49,,
150,1.5,,
151,1.51,,
152,1.52,,
153,1.53,,
154,1.54,,
155,1.55,,
156,1.56,,
157,1.57,,
158,1.58,,
159,1.59,,
160,1.6,,
161,1.61,,
162,1.62,,
163,1.6300000000000001,,
164,1.6400000000000001,,
165,1.6500000000000001,,
166,1.6600000000000001,,
167,1.67,,
168,1.68,,
169,1.69,,
170,1.7,,
171,1.71,,
172,1.72,,
173,1.73,,
174,1.74,,
175,1.75,,
176,1.76,,
177,1.77,,176.28205556486665
178,1.78,,164.68540596658374
179,1.79,,
180,1.8,,
181,1.81,,
182,1.82,,
183,1.83,,
184,1.84,,
185,1.85,,
186,1.86,,
187,1.87,,
188,1.8800000000000001,,
189,1.8900000000000001,,
190,1.9000000000000001,,
191,1.9100000000000001,,
192,1.92,,
193,1.93,,
194,1.94,,
195,1.95,,
196,1.96,,
197,1.97,,
198,1.98,,
199,1.99,,
200,2.0,,
201,2.0100000000000002,,
202,2.02,,
203,2.0300000000000002,,
204,2.04,,
205,2.05,,
206,2.06,,
207,2.07,,
208,2.08,,
209,2.09,,
210,2.1,,
211,2.11,,
212,2.12,,
213,2.13,,
214,2.14,,
215,2.15,0.11091696990132108,
216,2.16,0.1845650873400999,
217,2.17,0.21714823309766204,
218,2.18,0.24337365048720788,95.29418997775107
219,2.19,0.3045640683548961,98.90315093900468
220,2.2,0.36690608419346243,105.50005907158219
221,2.21,0.357706338873225,107.11390378940067
222,2.22,0.2665652494025718,111.62453093557144
223,2.23,0.16230685277489412,109.63381386259778
224,2.24,,99.58638079783083
225,2.25,,92.77376309663255
226,2.2600000000000002,,89.84855224212792
227,2.27,,
228,2.2800000000000002,,
229,2.29,,
230,2.3000000000000003,,
231,2.31,,
232,2.32,,
233,2.33,,
234,2.34,,
235,2.35,,
236,2.36,,
237,2.37,,
238,2.38,,
239,2.39,0.15621206848950678,
240,2.4,0.2005943443169676,
241,2.41,0.24933846545703595,126.58477503538779
242,2.42,0.35020907876532675,101.12100150900432
243,2.43,0.485849341583702,116.42605272281507
244,2.44,0.5759517881638533,116.26414379504871
245,2.45,0.5760389083195309,117.79311331494486
246,2.46,0.5296681041499172,118.24409221263811
247,2.47,0.4820926497519625,119.18524603563513
248,2.48,0.4155000276331206,116.39893609696418
249,2.49,0.292196863927962,
250,2.5,0.13754567179990151,
251,2.5100000000000002,,
252,2.52,,
253,2.5300000000000002,,
254,2.54,,
255,2.5500000000000003,,
256,2.56,,
257,2.57,,
258,2.58,,
259,2.59,,
260,2.6,0.11606750222806833,
261,2.61,0.17786545089439793,
262,2.62,0.22220120562835527,172.0020123720423
263,2.63,0.21776101010887158,169.38258006881148
264,2.64,0.1751193909840407,169.81335849891695
265,2.65,0.1356166555259771,171.07931860689877
266,2.66,0.11900916670541015,171.28657755067053
