,Word,Start,End,length,time_spent,std_time_spent,post_space
0,dr,7.46,7.6,2,0.13999999999999968,0.06999999999999984,0.9000000000000004
1,i,8.5,8.58,1,0.08000000000000007,0.08000000000000007,0.09999999999999964
2,present,8.68,9.2,7,0.5199999999999996,0.07428571428571422,0.9400000000000013
3,donald,10.14,10.74,6,0.5999999999999996,0.09999999999999994,0.16000000000000014
4,jane,10.9,11.34,4,0.4399999999999995,0.10999999999999988,0.08000000000000007
5,trump,11.42,11.86,5,0.4399999999999995,0.0879999999999999,0.4800000000000004
6,for,12.34,12.46,3,0.120000000000001,0.040000000000000334,0.03999999999999915
7,the,12.5,12.56,3,0.0600000000000005,0.020000000000000167,0.03999999999999915
8,degree,12.6,12.9,6,0.3000000000000007,0.05000000000000012,0.3200000000000003
9,of,13.22,13.32,2,0.09999999999999964,0.04999999999999982,2.08
10,honor,15.4,15.7,5,0.29999999999999893,0.05999999999999979,6.0
11,professor,21.7,22.16,9,0.46000000000000085,0.051111111111111204,0.0799999999999983
12,john,22.24,22.5,4,0.26000000000000156,0.06500000000000039,0.05999999999999872
13,moran,22.56,23.04,5,0.4800000000000004,0.09600000000000009,0.060000000000002274
14,professor,23.1,23.56,9,0.4599999999999973,0.05111111111111081,0.019999999999999574
15,of,23.58,23.62,2,0.0400000000000027,0.02000000000000135,0.05999999999999872
16,business,23.68,24.12,8,0.4400000000000013,0.05500000000000016,0.4399999999999977
17,will,24.56,24.7,4,0.14000000000000057,0.03500000000000014,0.0
18,assist,24.7,25.06,6,0.35999999999999943,0.05999999999999991,0.10000000000000142
19,with,25.16,25.28,4,0.120000000000001,0.03000000000000025,0.05999999999999872
20,placing,25.34,25.74,7,0.3999999999999986,0.05714285714285694,0.060000000000002274
21,the,25.8,25.88,3,0.0799999999999983,0.0266666666666661,1.2200000000000024
22,shoulders,27.1,27.62,9,0.5199999999999996,0.057777777777777733,0.41999999999999815
23,of,28.04,28.18,2,0.14000000000000057,0.07000000000000028,0.03999999999999915
24,donald,28.22,28.7,6,0.4800000000000004,0.08000000000000007,7.559999999999999
25,wager,36.26,36.74,5,0.480000000000004,0.09600000000000079,0.10000000000000142
26,college,36.84,37.32,7,0.4799999999999969,0.06857142857142813,0.03999999999999915
27,well,37.36,37.54,4,0.17999999999999972,0.04499999999999993,0.03999999999999915
28,comes,37.58,37.84,5,0.2600000000000051,0.052000000000001025,0.01999999999999602
29,into,37.86,38.02,4,0.1600000000000037,0.040000000000000924,0.03999999999999915
30,the,38.06,38.12,3,0.05999999999999517,0.01999999999999839,0.03999999999999915
31,ranks,38.16,38.5,5,0.3400000000000034,0.06800000000000068,0.03999999999999915
32,of,38.54,38.6,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
33,its,38.64,38.78,3,0.14000000000000057,0.046666666666666856,0.01999999999999602
34,alumni,38.8,39.32,6,0.5200000000000031,0.08666666666666718,0.10000000000000142
35,today,39.42,39.8,5,0.37999999999999545,0.0759999999999991,0.1600000000000037
36,donald,39.96,40.44,6,0.4799999999999969,0.07999999999999947,0.20000000000000284
37,j,40.64,40.78,1,0.14000000000000057,0.14000000000000057,6.8799999999999955
38,i,47.66,47.8,1,0.14000000000000057,0.14000000000000057,0.0800000000000054
39,knew,47.88,48.12,4,0.23999999999999488,0.05999999999999872,0.060000000000002274
40,your,48.18,48.5,4,0.3200000000000003,0.08000000000000007,0.259999999999998
41,original,48.76,49.56,8,0.8000000000000043,0.10000000000000053,1.4199999999999946
42,everyone,50.98,51.54,8,0.5600000000000023,0.07000000000000028,0.060000000000002274
43,knows,51.6,51.88,5,0.28000000000000114,0.05600000000000023,0.05999999999999517
44,something,51.94,52.3,9,0.35999999999999943,0.03999999999999994,0.04000000000000625
45,about,52.34,52.74,5,0.3999999999999986,0.07999999999999971,0.0799999999999983
46,him,52.82,53.1,3,0.28000000000000114,0.09333333333333371,0.4799999999999969
47,and,53.58,53.72,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
48,everyone,53.76,54.2,8,0.44000000000000483,0.055000000000000604,0.0799999999999983
49,has,54.28,54.48,3,0.19999999999999574,0.06666666666666525,0.020000000000003126
50,an,54.5,54.58,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
51,opinion,54.64,55.2,7,0.5600000000000023,0.08000000000000032,0.0799999999999983
52,concerning,55.28,56.02,10,0.740000000000002,0.0740000000000002,0.03999999999999915
53,you,56.06,56.2,3,0.14000000000000057,0.046666666666666856,1.1799999999999997
54,he,57.38,57.46,2,0.0799999999999983,0.03999999999999915,0.0799999999999983
55,is,57.54,57.64,2,0.10000000000000142,0.05000000000000071,0.060000000000002274
56,brass,57.7,58.28,5,0.5799999999999983,0.11599999999999966,0.060000000000002274
57,demanding,58.34,58.92,9,0.5799999999999983,0.06444444444444425,0.05999999999999517
58,sometimes,58.98,59.56,9,0.5800000000000054,0.06444444444444504,0.09999999999999432
