,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,look,0.66,0.78,4,0.12,0.03,0.05999999999999994,0.72
1,mitch,0.84,1.02,5,0.18,0.036,0.040000000000000036,0.9299999999999999
2,mcconnell's,1.06,1.54,11,0.48,0.04363636363636363,0.040000000000000036,1.3
3,a,1.58,1.62,1,0.04,0.04,0.039999999999999813,1.6
4,disaster,1.66,2.28,8,0.6199999999999999,0.07749999999999999,0.10000000000000009,1.9699999999999998
5,the,2.38,2.44,3,0.06,0.02,0.040000000000000036,2.41
6,republicans,2.48,3.14,11,0.6600000000000001,0.06000000000000001,0.040000000000000036,2.81
7,have,3.18,3.34,4,0.1599999999999997,0.039999999999999925,0.040000000000000036,3.26
8,to,3.38,3.44,2,0.06,0.03,0.06000000000000005,3.41
9,get,3.5,3.62,3,0.1200000000000001,0.040000000000000036,0.020000000000000018,3.56
10,a,3.64,3.68,1,0.04,0.04,0.06000000000000005,3.66
11,new,3.74,3.88,3,0.1399999999999996,0.04666666666666653,0.040000000000000036,3.81
12,leader,3.92,4.22,6,0.2999999999999998,0.04999999999999997,0.40000000000000036,4.07
13,mitch,4.62,4.84,5,0.2199999999999997,0.04399999999999994,0.040000000000000036,4.73
14,mcconnell,4.88,5.34,9,0.4599999999999999,0.0511111111111111,0.040000000000000036,5.109999999999999
15,allowed,5.38,5.74,7,0.3600000000000003,0.051428571428571476,0.040000000000000036,5.5600000000000005
16,this,5.78,5.94,4,0.1600000000000001,0.04000000000000002,0.019999999999999574,5.86
17,to,5.96,6.06,2,0.0999999999999996,0.0499999999999998,0.0600000000000005,6.01
18,happen,6.12,6.52,6,0.3999999999999994,0.06666666666666657,0.2600000000000007,6.32
19,the,6.78,6.86,3,0.08,0.02666666666666667,0.09999999999999964,6.82
20,unfrastructure,6.96,7.72,14,0.7599999999999998,0.05428571428571427,0.040000000000000036,7.34
21,bill,7.76,7.92,4,0.1600000000000001,0.04000000000000002,0.020000000000000462,7.84
22,i,7.94,7.98,1,0.04,0.04,0.08000000000000007,7.960000000000001
23,call,8.06,8.24,4,0.1799999999999997,0.04499999999999992,0.019999999999999574,8.15
24,it,8.26,8.36,2,0.0999999999999996,0.0499999999999998,0.08000000000000007,8.309999999999999
25,unfrastruction,8.44,9.12,14,0.6799999999999997,0.04857142857142855,0.0600000000000005,8.78
26,on,9.18,9.28,2,0.0999999999999996,0.0499999999999998,0.0600000000000005,9.23
27,infrastructure,9.34,9.92,14,0.5800000000000001,0.04142857142857143,0.019999999999999574,9.629999999999999
28,it's,9.94,10.02,4,0.08,0.02,0.040000000000000924,9.98
29,only,10.06,10.24,4,0.1799999999999997,0.04499999999999992,0.08000000000000007,10.15
30,nine,10.32,10.54,4,0.2199999999999988,0.0549999999999997,0.0600000000000005,10.43
31,percent,10.6,11.04,7,0.4399999999999995,0.06285714285714279,0.0600000000000005,10.82
32,infrastructure,11.1,11.84,14,0.7400000000000002,0.05285714285714287,0.5,11.469999999999999
33,so,12.34,12.46,2,0.120000000000001,0.0600000000000005,0.0799999999999983,12.4
34,that,12.54,12.68,4,0.1400000000000005,0.03500000000000013,0.040000000000000924,12.61
35,means,12.72,12.96,5,0.2400000000000002,0.04800000000000004,0.019999999999999574,12.84
36,you,12.98,13.04,3,0.0599999999999987,0.019999999999999567,0.0600000000000005,13.01
37,take,13.1,13.36,4,0.2599999999999998,0.06499999999999995,0.2400000000000002,13.23
38,ninety,13.6,14.0,6,0.4000000000000003,0.06666666666666672,0.08000000000000007,13.8
39,percent,14.08,14.54,7,0.4599999999999991,0.06571428571428559,0.120000000000001,14.309999999999999
40,ninety,14.66,14.98,6,0.3200000000000003,0.05333333333333338,0.08000000000000007,14.82
41,one,15.06,15.22,3,0.1600000000000001,0.053333333333333365,0.05999999999999872,15.14
42,percent,15.28,15.66,7,0.3800000000000008,0.054285714285714395,0.03999999999999915,15.469999999999999
43,of,15.7,15.8,2,0.1000000000000014,0.0500000000000007,0.08000000000000007,15.75
44,the,15.88,15.98,3,0.0999999999999996,0.0333333333333332,0.120000000000001,15.93
45,money,16.1,16.36,5,0.259999999999998,0.0519999999999996,0.060000000000002274,16.23
46,that,16.42,16.5,4,0.0799999999999983,0.019999999999999574,0.03999999999999915,16.46
47,we're,16.54,16.64,5,0.1000000000000014,0.020000000000000278,0.03999999999999915,16.59
48,raising,16.68,17.06,7,0.379999999999999,0.054285714285714146,0.019999999999999574,16.869999999999997
49,is,17.08,17.18,2,0.1000000000000014,0.0500000000000007,0.03999999999999915,17.13
50,going,17.22,17.32,5,0.1000000000000014,0.020000000000000278,0.0,17.27
51,to,17.32,17.36,2,0.0399999999999991,0.01999999999999955,0.03999999999999915,17.34
52,be,17.4,17.46,2,0.0600000000000022,0.0300000000000011,0.0799999999999983,17.43
53,thrown,17.54,17.84,6,0.3000000000000007,0.05000000000000012,0.03999999999999915,17.689999999999998
54,out,17.88,18.04,3,0.1600000000000001,0.053333333333333365,0.019999999999999574,17.96
55,the,18.06,18.14,3,0.0800000000000018,0.02666666666666727,0.03999999999999915,18.1
56,window,18.18,18.56,6,0.379999999999999,0.06333333333333317,0.5400000000000027,18.369999999999997
57,in,19.1,19.2,2,0.0999999999999978,0.0499999999999989,0.03999999999999915,19.15
58,order,19.24,19.44,5,0.2000000000000028,0.040000000000000556,0.019999999999999574,19.34
59,to,19.46,19.52,2,0.0599999999999987,0.02999999999999935,0.05999999999999872,19.490000000000002
60,get,19.58,19.72,3,0.1400000000000005,0.046666666666666835,0.08000000000000185,19.65
61,nine,19.8,20.0,4,0.1999999999999993,0.04999999999999982,0.03999999999999915,19.9
62,percent,20.04,20.38,7,0.3399999999999998,0.04857142857142854,0.0400000000000027,20.21
