Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,hi,0.32,0.44,0.12,0.08,1,2,0.29032258064515915,0.009445019645967298
1,everyone,0.52,0.96,0.4399999999999999,0.28,1,8,0.2661290322580625,0.1315997285592573
2,um,1.24,1.34,0.1,0.9999999999999998,1,2,0.24193548387096597,0.335343973846304
3,it's,2.34,2.5,0.1600000000000001,0.02,1,4,0.19354838709677288,0.010685589566798326
4,exciting,2.52,2.94,0.4199999999999999,0.04,1,8,0.2540322580645142,0.07820841309678526
5,to,2.98,3.06,0.08,0.04,1,2,0.19354838709677277,0.018421192102423257
6,be,3.1,3.2,0.1,0.1399999999999996,1,2,0.24193548387096597,0.02958286867196247
7,here,3.34,3.6,0.2600000000000002,0.56,1,4,0.31451612903225595,0.14475664076411532
8,we're,4.16,4.28,0.1200000000000001,0.0199999999999995,1,5,0.11612903225806376,0.24291656642557372
9,going,4.3,4.4,0.1000000000000005,0.0,1,5,0.09677419354838687,0.16901161485794727
10,to,4.4,4.46,0.0599999999999996,0.0599999999999996,1,2,0.1451612903225786,0.11760771169755056
11,start,4.52,4.74,0.2200000000000006,0.0999999999999996,1,5,0.21290322580645063,0.1913506605961297
12,with,4.84,5.0,0.1600000000000001,0.08,1,4,0.19354838709677288,0.12814119118862122
13,something,5.08,5.6,0.5199999999999996,0.5800000000000001,1,9,0.279569892473116,0.07490837650140476
14,that,6.18,6.44,0.2600000000000007,0.0799999999999991,1,4,0.31451612903225656,0.16472459991439498
15,you,6.52,6.58,0.0600000000000005,0.08,1,3,0.09677419354838719,0.07212748411806327
16,might,6.66,6.84,0.1799999999999997,0.1400000000000005,1,5,0.17419354838709517,0.0867025112972616
17,all,6.98,7.14,0.1599999999999992,0.08,1,3,0.2580645161290291,0.19475591054788624
18,actually,7.22,7.52,0.2999999999999998,0.08,1,8,0.18145161290322437,0.08331944768707639
19,be,7.6,7.66,0.0600000000000005,0.0599999999999996,1,2,0.14516129032258077,0.06088362305433265
20,familiar,7.72,8.1,0.3799999999999999,0.0600000000000005,1,8,0.2298387096774176,0.0686917360066178
21,with,8.16,8.44,0.2799999999999993,0.8000000000000007,1,4,0.3387096774193515,0.018230791953077637
22,and,9.24,9.34,0.0999999999999996,0.0,1,3,0.16129032258064332,0.015860504177762084
23,it's,9.34,9.46,0.120000000000001,0.0399999999999991,1,4,0.14516129032258077,0.07672516601724462
24,called,9.5,9.72,0.2200000000000006,0.0599999999999987,1,6,0.17741935483870888,0.08751356305390876
25,google,9.78,10.02,0.2400000000000002,0.0400000000000009,1,6,0.19354838709677294,0.03816393135566283
26,suggest,10.06,10.64,0.5800000000000001,1.0,1,7,0.4009216589861722,0.03567162262345588
27,and,11.64,11.72,0.08,0.0399999999999991,1,3,0.12903225806451518,0.046091178486053944
28,the,11.76,11.8,0.0400000000000009,0.0399999999999991,1,3,0.06451612903225905,0.1653133991536175
29,way,11.84,11.98,0.1400000000000005,0.0399999999999991,1,3,0.2258064516129024,0.17869633415420388
30,it,12.02,12.1,0.08,0.0600000000000005,1,2,0.19354838709677277,0.09147520878625988
31,works,12.16,12.58,0.4199999999999999,0.0600000000000005,1,5,0.4064516129032227,0.11876291142632714
32,is,12.64,12.82,0.1799999999999997,0.1400000000000005,1,2,0.43548387096773794,0.06604985443062183
33,if,12.96,13.08,0.1199999999999992,0.0199999999999995,1,2,0.2903225806451572,0.03328466689565857
34,i,13.1,13.14,0.0400000000000009,0.08,1,1,0.19354838709677713,0.07104978614249824
35,go,13.22,13.3,0.08,0.0599999999999987,1,2,0.19354838709677277,0.08736638790334846
36,to,13.36,13.42,0.0600000000000005,0.0400000000000009,1,2,0.14516129032258077,0.05728414296828774
37,google,13.46,13.82,0.3599999999999994,0.2599999999999998,1,6,0.29032258064515865,0.08237152806201888
38,and,14.08,14.2,0.1199999999999992,0.0,1,3,0.1935483870967715,0.03235745204033664
39,i,14.2,14.26,0.0600000000000005,0.08,1,1,0.29032258064516153,0.10645978831024865
40,type,14.34,14.58,0.2400000000000002,0.0199999999999995,1,4,0.2903225806451594,0.055689604557891216
41,in,14.6,14.72,0.120000000000001,0.08,1,2,0.29032258064516153,0.042332547428964126
42,say,14.8,15.02,0.2199999999999988,0.4600000000000008,1,3,0.35483870967741477,0.06619387545022684
43,p,15.48,15.58,0.0999999999999996,0.1799999999999997,1,1,0.48387096774193,0.0017101065001399129
44,f,15.76,15.88,0.120000000000001,0.7799999999999994,1,1,0.5806451612903231,0.16542473993263576
45,two,16.66,16.78,0.120000000000001,0.0399999999999991,1,3,0.19354838709677438,0.03831046274359362
46,thousand,16.82,17.18,0.3599999999999994,0.0199999999999995,1,8,0.21774193548386897,0.06954468572229412
47,and,17.2,17.26,0.0600000000000022,0.0799999999999983,1,3,0.09677419354838993,0.05051202757544989
48,ten,17.34,17.68,0.3399999999999998,0.6999999999999993,1,3,0.5483870967741892,0.07816052206670883
49,it,18.38,18.46,0.0800000000000018,0.0599999999999987,1,2,0.19354838709677713,0.05752503999315074
50,gives,18.52,18.72,0.1999999999999993,0.0600000000000022,1,5,0.19354838709677205,0.23824850907751963
51,me,18.78,18.86,0.0799999999999983,0.0600000000000022,1,2,0.19354838709676864,0.3842245430480573
52,a,18.92,18.96,0.0399999999999991,0.0799999999999983,1,1,0.19354838709676842,0.4716869074573209
53,list,19.04,19.5,0.4600000000000008,0.1799999999999997,1,4,0.5564516129032226,0.2490251419435611
54,of,19.68,19.9,0.2199999999999988,0.4400000000000013,1,2,0.5322580645161222,0.3186728796701311
